Japanese,English
、,","
。,.
何,what
あ,Ah
あなた,you
言,Saying
行,line
人,Man
知,Knowledge
）,)
（,(
事,Thing
彼女,Girlfriend
お前,you
話,Talk
来,Come
分か,Divided
者,Person
聞,Listen
死,death
時,Time
ああ,Oh
殺,Killing
前,Before
中,During ~
達,Reaches
必要,necessary
あの,that
気,Care
大丈夫,Fine
」,""""
「,""""
自分,myself
持,Equity
本当,For real
時間,time
我々,we
一,one
的,Target
無,Nothing
ありがとう,Thank you
家,House
会,Meeting
日,Day
年,Year
仕事,jobs
手,hand
一緒,together
後,rear
出来,Can
他,other
入,Input
電話,phone
目,Eye
様,Mr
分,Minute
車,car
所,Place
あんた,Anta
度,Every time
同じ,the same
場所,place
問題,problem
子供,children
愛,Love
金,Money
名前,name
子,Child
信,Trust
さあ,here we go
少し,a little
使,Use
全て,all
世界,world
教え,Teachings
通り,Street
来る,come
上,Up
入れ,Get in
人間,Human beings
行け,go
今日,today
物,Stuff
女,woman
呼,Call
生き,Live
あれ,that
じゃあ,Well then
止め,Stop
心配,worry
母,mother
連れ,Take
関係,Relation
外,Outside
家族,family
起き,Happened
意味,meaning
神,God
警察,police
力,Power
最後,last
作,Work
次,Next
息子,son
取,Preparative
全部,Whole
間,while
書,book
捜査,investigation
起こ,Oko
回,Times
別,Different
情報,information
理由,Reason
数,number
一人,One person
部屋,room
以上,that's all
人生,life
急,Sudden
食べ,eat
女性,Female
続け,continue
事件,Incident
始め,start
最初,the first
連絡,Communication
まあ,Oh dear
調べ,Examined
安全,safety
下さ,Please
楽し,Fun
殺人,murder
下,under
万,Ten thousand
友達,friend
約束,Promise
二,two
結婚,marriage
無理,Unreasonable
感じ,Feeling
得,Obtained
最高,Highest
送,Feed
計画,plan
仲間,Friend
先,Previous
可能,Possible
あいつ,that person
あと,after
明日,tomorrow
変わ,River
聞こえ,Hear
確認,Verification
命,life
着,Wearing
与え,Giving
全員,All members
動,Motion
理解,Understanding
二人,Two persons
開け,open
友人,friend
機,Machine
不,Not
あげ,Up
離れ,Apart
戦,War
先生,teacher
言え,say
質問,Question
置,Location
犯人,Criminal
受け,received
感,Feeling
第,The
あぁ,Ahh
伝え,Tell
素晴らし,Wonderful
ドア,door
本,Book
乗,Multiply
用,for
感謝,Thanks
正し,Correctly
言葉,word
大,Big
立,Stand
写真,Photo
２人,2 people
説明,Explanation
博士,PhD
強,strength
絶対,Absolutely
座,seat
国,Country
向か,Suited
名,Name
ある,is there
野郎,Rascal
番,Ban
一番,Best
重要,important
状況,Status
元気,energy
水,water
変え,Change
十分,sufficient
週間,weekly
やあ,Hi there
父親,father
間違い,mistake
王,king
了解,Roger that
相手,Opponent
員,Member
声,voice
会え,Meet
音,sound
多く,Many
消え,Disappear
会社,Company
簡単,Easy
選,Select
残念,Regret
自由,freedom
自身,Own
等,etc
一体,Really
人々,people
報告,report
読,Read
過ぎ,Past
通,Through
アメリカ,America
元,Origin
命令,order
高,High
体,body
大統領,President
月,Moon
警官,Police officers
語,word
学校,school
対,versus
決め,Deciding
真実,truth
初めて,The first time
口,mouth
大変,very
要,Required
変,Strange
戦争,war
学,Manabu
あそこ,over there
武器,weapon
店,shop
母親,mother
刑事,Detective
気持ち,The feeling
間違,Ma違
運,luck
記録,Record
光,light
手伝,help
深,Depth
落ち着,Fall wear
存在,Existence
実,Fruit
役,Role
病院,hospital
住,Living
責任,responsibility
あっ,Ah
普通,usually
行動,Behavior
大きな,big
監視,Surveillance
協力,Cooperation
多分,Maybe
実際,Practical
足,leg
地球,Earth
生活,life
任せ,Leave
気分,Feeling
解決,Resolution
結果,result
調査,Research
研究,the study
何処,where
発見,Discovery
場,Place
大事,Importance
止ま,Tomah
興味,Interest
大き,big
生,Living
なあ,I
運転,operation
ヶ月,months
多,Multi
１人,1 person
番号,number
状態,State
来い,Come
開,Open
上手,Proficient
済,Already
場合,Case
刑務,Prison
今度,now
以外,Other than
朝,Morning
飛行,Flight
あまり,not really
近く,near
後ろ,back
目的,Purpose
歌,song
面白,Interesting
弁護,Defense
客,Customer
売,Sales
特別,special
昨日,yesterday
少な,Small
認め,Recognized
死体,cadaver
医者,doctor
装置,apparatus
共,Both
唯一,Only
あんな,Anna
不明,unknown
限り,limit
信用,credit
美し,beautiful
用意,Preparation
話せ,Speak
移動,Movement
映画,movies
美咲,Misaki
取引,transaction
最近,Recently
現場,Scene
事故,accident
連中,Colleagues
過去,past
全く,Entirely
選択,Choice
完全,Perfect
信じ,Believe
信頼,Trust
町,town
何故,why
始ま,Begins
精神,spirit
付け,Bill
あら,Oh
女の子,girl
気づ,Care Dzu
記憶,Memory
頑張,Gamba
人,Man
素敵,Lovely
身,Body
価値,value
有,Yes
非常,Emergency
三,three
最も,most
両親,parents
人物,person
生まれ,birth
警備,security
以前,Before
無事,Safety
聞け,Hear
決して,never
銀行,Bank
馬鹿,fool
裁判,trial
降り,Down
大学,University
州,state
今回,this time
空,Sky
経験,experience
本物,Genuine article
部,Part
化,Of
未来,future
正直,Honesty
年間,Year
無駄,Useless
現れ,Appeared
島,island
病気,sick
内,The inner
風,Wind
結構,very well
治療,Treatment
予定,plans
点,point
人,Man
許可,Permission
勇気,courage
最悪,worst
本気,Seriousness
全然,Not at all
任務,mission
日本,Japan
作戦,Strategy
成功,success
進,Susumu
近づ,Closer
品,Goods
消,Consumption
小さな,small
科学,Science
放,Release
向こう,Over there
事実,fact
食,Eclipse
関,Seki
戦い,Fight
少年,boy
爆発,explosion
現実,reality
保護,protection
地下,underground
隊,Corps
地,Earth
別れ,farewell
時代,Era
使え,Use
組織,Organization
式,formula
落ち着け,Calm down
動物,animal
無し,None
下が,The lower
技術,Technology
個人,Individual
期待,Expectation
調子,Condition
線,line
局,Bureau
利用,Use
主人,master
館,Mansion
毎日,every day
付,With
当然,Of course
患者,patient
全,all
今朝,this morning
過ご,Over your
馬,Horse
あー,Ah ~
あたし,I
立て,stand up
地獄,hell
：,:
合,If
続,Continued
陛下,Your majesty
小さ,small
火,fire
平気,Unconcern
世話,Looking after
能力,ability
理子,Riko
検査,Inspection
アレックス,Alex
木,wood
号,issue
山,Mountain
解,Solutions
警部,Police inspector
食事,Meal
幸運,Good luck
構,Structure
侵入,Invasion
駄目,Useless
緊急,emergency
親父,father
気付,care
主,main
速,Fast
代わり,Substitute
休,Holiday
原因,Cause
警告,warning
山里,Yamazato
特に,In particular
部下,Subordinate
運命,Destiny
到着,arrival
自殺,suicide
屋,Ya
現在,Current
一部,part
行為,action
遺体,Dead bodies
大切,important
関わ,Involved
常,Ordinary
感情,Emotion
夕食,dinner
星,Star
達也,Tatsuya
手紙,letter
混乱,confusion
支配,Domination
影響,Impact
受け入れ,receiving
知れ,May
行方,Whereabout
少女,Little girl
位,Place
半分,Half
誕生,birth
超,Super
施設,Facility
殺せ,Kill
向け,Toward
機会,opportunity
人類,Human race
正確,correct
色々,various
活動,Activity
料理,cuisine
要求,request
再,Again
指示,Instruction
部隊,Force
何者,Who
音楽,musics
上げ,Up
管理,management
映像,The video
開始,start
議員,Rep.
反対,Opposition
勝手,Selfishness
器,vessel
反応,reaction
可愛,cute
権利,right
女王,Queen
師,Master
大好き,I love You
面倒,Troublesome
出発,Departure
引,Arguments
保安,security
上が,Above
決ま,Kemah
楽しみ,Pleasure
行き,Going
将軍,Shogun
担当,In charge of
事態,situation
一杯,a cup of
近,Near
発,Departure
取り戻,Regain
偉大,Greatness
結局,After all
ロシア,Russia
司令,command
平和,peace
解放,release
直,straight
事務,Business
瞬間,moment
教授,Professor
示,Shows
教会,Church
優し,Kindness
位置,position
以来,Since then
突然,suddenly
付き合,If attached
集中,Concentration
通信,communication
あっち,Over there
契約,Agreement
異常,Abnormality
殺し,Killing
部分,part
様子,Appearance
沢山,Lot
住所,Street address
参加,Participation
旅,Journey
社,Company
重,Weight
自然,Nature
殺害,Killing
園,Garden
速人,Hayato
途中,En route
証言,testimony
夏美,Natsumi
取れ,Take
前回,The last time
手術,Surgical operation
強盗,robbery
種,seed
魔女,witch
信号,signal
専門,Expert
閣下,Your Honor
会議,Conference
美月,Mizuki
提供,Offer
離,Away
荷物,Baggage
安心,relief
基地,base
目撃,Witness
動き,Movement
指,finger
〜,~
時々,Sometimes
怪物,monster
会話,conversation
受け取,Receive
一致,match
全体,Overall
徳井,Tokui
アンタ,Anta
親,parent
天使,angel
勝利,victory
主義,Principle
旅行,Travel
死亡,death
夫人,Mrs
目標,Goal
個,Pieces
中国,China
生徒,student
建物,building
確信,conviction
出会,encounter
使用,use
台,Table
社会,society
周り,Surroundings
市民,Citizen
色,color
停止,Stop
曲,Tune
実験,Experiment
直接,Direct
川,river
ありがと,Thank you
実行,Execution
半,half
乗せ,Place
後悔,regret
案内,guide
禁止,Ban
距離,distance
次第,Dependent
感染,infection
制御,control
有名,Famous
戦闘,combat
以内,Within
書類,Document
偶然,By chance
機械,machine
最終,Last
無視,ignore
』,""""
王子,prince
呼吸,Respiration
巨人,Giant
軍隊,army
支援,support
大人,grown up
同意,Consent
恋人,Lover
知り合い,acquaintance
努力,effort
白,White
足り,Enough
進め,Underway
惑星,Planet
味方,Ally
回復,recovery
新聞,newspaper
『,""""
話し,story
アパート,Apartment
組,set
アア,Aa
生き残,Survive
一生,lifetime
処理,processing
兵器,weapons
方向,direction
決定,Decision
当た,Per
アクセス,access
満足,Satisfaction
クレア,Claire
神経,Nerve
症,Disease
親友,Close friend
流,Flow
分析,analysis
不思議,Strange
限,Limited
半田,solder
物語,story
ア,A
練習,practice
久し,Eaves
他人,others
両方,Both
南,South
成長,growth
～,~
再び,again
医,Doctor
指揮,Command
最大,maximum
病,disease
記事,article
時計,clock
アラン,Alan
手段,means
高校,high school
太陽,Sun
具合,Condition
青,Green
向,Direction
才能,talent
交換,Exchange
所有,Ownership
最低,The lowest
救急,First aid
魅力,Charm
楽,easy
応答,response
最,Most
修理,Repairing
勉強,study
提案,Proposal
資金,Fund
社長,The President
ありさ,Is there
試合,match
気の毒,Pity
金持ち,Rich man
安定,Stability
指紋,fingerprint
流れ,flow
経,Through
団,Dan
代,Generation
日間,Daily interest rate
午後,afternoon
政治,Politics
正体,True colors
確保,Ensure
機能,function
優秀,excellence
動か,move
発生,Occurrence
英雄,hero
立場,position
電気,Electrical
帽子,hat
効果,effect
アンナ,Anna
条件,conditions
確実,Certainty
連邦,Federal
規則,Rule
土地,land
直ぐ,immediately
卒業,graduate
手がかり,clue
自己,self
列車,train
加減,Addition and subtraction
暴力,violence
立派,fine
石,stone
同様,Same
不安,anxiety
身体,body
ライアン,Ryan
無線,wireless
対処,Deal
権,Authority
起動,Start-up
誤解,Misunderstanding
治,Osamu
雄基,Yuki
接触,contact
名誉,honor
説得,Persuasion
特定,specific
標的,target
正義,justice
見張,Miha
導,Guide
無実,Innocent
アイツ,Guy
興奮,excitement
承知,Consent
納得,Consent
光栄,Honor
本部,Headquarters
変更,Change
大佐,Colonel
空気,air
支払,payment
あらゆる,every
表,table
片付け,Clean up
アダム,Adam
地図,map
法律,law
医療,Medical care
台無し,Spoil
非,Non
貴様,you
形,form
評価,Evaluation
都市,city
出身,Graduate
釈放,release
大した,Big deal
保証,Warranty
予想,Forecast
省,Ministry
疑問,Question
同僚,Colleague
変化,change
交渉,Negotiation
合わせ,Together
生命,life
村,village
作業,work
将来,future
面,surface
悠里子,Yuriko
空港,airport
指輪,ring
巨大,Huge
西,West
手配,Arrangement
工場,factory
城,castle
取り,take
話し合,Story if
東,east
あるいは,Or
目覚め,Wake up
金庫,safe
間違え,Make a mistake
馬場,Baba
内部,internal
艦隊,fleet
食料,food
あり,Yes
保険,insurance
得意,Customer
医師,Doctor
英語,English
離婚,divorce
子ども,Child
違反,violation
公,public
維持,Maintenance
男の子,boy
政子,Masako
味,taste
口座,account
大勢,Many
鉄,iron
親切,Kindness
仕業,Act
贈り物,gift
待機,Stand-by
戦士,Warrior
知らせ,Notice
尋問,Questioning
発射,firing
食べ物,food
系,system
駅,station
開発,development of
事情,Situation
育て,Raising
上司,boss
国家,Nation
大使,Ambassador
機関,organ
生物,Creature
超え,Beyond
天才,genius
量,amount
横,side
観,Look
入り,enter
正気,sanity
人質,hostage
有罪,Guilt
約,about
中止,Discontinuation
発表,Presentation
現金,cash
始末,Settlement
撮影,photograph
衛星,satellite
都合,Convenience
関連,Relation
間に合,If in between
小屋,Hut
公園,park
単純,Simplicity
王国,Kingdom
存知,Zonchi
加え,In addition
道路,road
育,Education
神父,Catholic priest
慎重,Prudence
生存,The survival
注文,order
物質,material
関心,interest
時期,season
駐車,Parking
乗れ,Ride
遺伝,Heredity
返事,reply
エイリアン,alien
化学,Chemistry
数え,Counting
緊張,tension
優先,priority
米国,USA
当て,Against
出来事,Event
設計,design
大量,A large amount
投げ,Throw
内容,Content
機密,Secrecy
授業,Lesson
義務,Obligation
突き止め,Ascertained
広,Wide
通報,Report
文字,letter
アップ,up
学生,student
オリビア,Olivia
暗殺,assassination
注目,Attention
暗号,Code
背中,back
囚人,Prisoner
完成,Complete
休み,Holiday
孤独,Loneliness
アイデア,idea
武装,Armament
果た,It was fruit
地域,area
始まり,Begins
見事,Beautiful
防衛,defense
人形,doll
カリフォルニア,California
着陸,landing
文句,Complaint
委員,Committee member
地元,local
自信,Self-confidence
貴女,you
知識,knowledge
予約,Reservation
メアリー,Mary
椅子,Chair
教師,teacher
賛成,Agree
操作,operation
要請,request
記者,Reporter
今後,from now on
畜生,damn it
伝説,Legend
主張,Claim
民,people
自ら,Personally
死者,dead
アンディ,Andy
機嫌,mood
小,small
アリス,Alice
あきらめ,give up
程,Degree
ばあ,Baa
証人,witness
議論,Discussion
一般,Common
先週,last week
放射,radiation
程度,degree
アホ,Aho
身元,Background
有難う,Thank you
アーサー,Arthur
強力,Powerful
同時,simultaneous
休暇,Holiday
拷問,torture
出口,exit
決断,decision
移,Move
大尉,Captain
小僧,Youngster
態度,attitude
記念,Commemoration
投資,investment
危機,crisis
持て,Able to have
アナタ,you
企業,Company
接近,Access
世紀,century
一方,on the other hand
動け,Move
知ら,Known
否定,denial
保管,Storage
ジュリア,Julia
吉森,Yoshimori
燃料,fuel
源,source
反,Opposite
千,thousand
順調,Favorable
道具,tool
状,Jo
非難,Condemnation
朝食,breakfast
環境,environment
役立,Role standing
午前,a.m.
アーマン,Amann
援護,Assistance
動機,Motive
売春,prostitution
令状,warrant
指導,Leadership
天国,heaven
この世,This life
代表,representative
投票,Vote
作れ,Make
最善,Best
地上,The ground
手助け,help
婚約,engagement
選手,player
保障,security
自動,Auto
呼び出,Call
売れ,Selling
策,Policy
伝言,message
経営,management
中尉,First lieutenant
休憩,break
数学,Math
院,Hospital
夜中,Midnight
番組,program
作品,the work
種類,type
手遅れ,Too late
外れ,Miss
警戒,Warning
ジュリアン,Julian
似合,Well-matched
犯行,crime
基本,Basis
影,Shadow
読め,Read
警報,alarm
不足,Shortage
門,gate
同士,Each other
動揺,upset
手伝い,help
対応,Correspondence
白人,White
科,Department
推測,Guess
航空,Aviation
国民,People
演奏,Performance
屋根,roof
呼べ,Yobe
初,First
神々,Gods
自宅,home
中毒,Poisoning
回収,Collection
特殊,Special
降ろ,Bath
市場,market
放せ,Let go
帝国,Empire
送信,Transmission
四,four
国境,National border
芸術,art
殺し屋,Assassin
人殺し,Murder
資料,Document
親し,Familiarly
年代,Age
飲み物,drink
正当,Legitimate
諜報,Intelligence
単なる,mere
感覚,sense
放送,broadcast
老人,Old people
夢中,Daze
配置,Arrangement
支持,support
来れ,Come
告白,Confession
教育,education
従業,Employment
看護,Nurse
宝石,jewelry
生か,is it raw
利益,Profits
黒人,Negro
農場,farm
金曜,Friday
着け,Wearing
アイス,ice
地区,district
保,Guarantee
候補,Candidate
認識,recognition
家庭,home
近所,Neighborhood
持ち,Have
中心,center
接続,Connection
艦,The ship
取得,Acquisition
臆病,Cowardice
若者,Youth
観察,Observation
大金,Lot of money
速度,speed
今年,this year
使命,mission
数字,The numbers
独り,alone
術,Art
中身,contents
座れ,Sit
登,Noboru
応援,Support
世間,World
不幸,Unhappy
アニー,Annie
済み,Settled
理論,theory
不能,Impossibility
訪問,visit
貴重,valuable
正,Regular
連れ出,Out of him
安,Ahn
阻止,Prevention
外出,Go out
処分,disposal
アレ,Ares
少佐,Major
来週,next week
権力,power
両手,both hands
優れ,Excellent
共有,share
載,Mounting
死刑,Death penalty
余計,Unnecessary
無罪,Not guilty
深刻,serious
対策,Countermeasure
運動,motion
係,Engagement
東京,Tokyo
愛し,I love you
浮気,Unfaithful
登録,Registration
発作,Fit
権限,Authority
か月,Months
輸送,transport
中央,Center
あんまり,not really
集団,Group
引っ張,Tensile
何百,hundreds
限界,limit
下げ,Lowering
波,wave
何事,Everything
ありがた,Thankfully
相当,Equivalent
岩,rock
着替え,Change of clothes
趣味,hobby
全力,Full force
解除,Release
計算,Calculation
降,Later
映,Film
財布,wallet
不満,Discontent
代理,Agency
去年,last year
賞,award
一言,A single word
連続,Continuity
太,Thick
最新,latest
金属,metal
とりあえず,The time being
教,Professor
イタリア,Italy
関与,Participation
人気,Popularity
生き延び,Survived
下ろ,Kudaro
通常,Normal
巡査,Police
報酬,Remuneration
署名,signature
一族,The clan
反逆,Treason
助手,assistant
過ち,Fault
美人,Beauty
進行,Advance
民間,private
余地,room
選挙,election
悲劇,tragedy
含,Including
財産,property
離せ,Tied up
共通,Common
滞在,stay
初め,beginning
合図,Signal
国際,international
事業,business
当時,at that time
成,Formation
電源,Power supply
強制,Force
革命,revolution
潜入,Infiltration
公平,fair
公式,official
復活,Resurrection
派,Faction
尾行,Shadow
軍事,Military affairs
合衆,States of
含め,Including
結,Sintered
物事,things
勿論,Of course
念,Sense
英国,The UK
分け,Divided
地面,Ground
単に,simply
一瞬,Moment
共同,Joint
販売,Sale
体験,Experience
用事,Stuff to Do
存,Exist
身分,Identification
集会,Meeting
火事,fire
車両,vehicle
挑戦,challenging
叔母,aunt
配達,delivery
入手,obtain
資格,Qualification
判事,Judge
小説,novel
呪文,incantation
美味し,Delicious
女房,wife
反乱,Rebellion
マリア,Maria
重大,Significant
聖,St.
産,Production
通過,Passing
正常,normal
アマンダ,Amanda
支え,Support
軍人,Military personnel
期間,period
アーロン,Aaron
加わ,Kuwawa
五,Five
医学,Medicine
不要,Unnecessary
天,Heaven
馬鹿げ,Ridiculous
調整,Adjustment
執行,Enforcement
製,Made by
補,Complement
必死,Frantic
バウアー,Bauer
不正,Injustice
クリア,clear
用件,Business
薬物,Drugs
創造,Creation
乗り越え,Overcome
規模,scale
悪化,Deterioration
置き去り,Left behind
言い訳,excuse
業,Work
申し上げ,I would like to
制服,uniform
顧客,client
護衛,escort
無人,Unmanned
信仰,faith
防,Explosion
造,Concrete
当局,authorities
告発,Indictment
日々,days
設定,Configuration
正解,Correct
変身,Transform
工作,Work
処刑,Punishment
役割,role
一員,member
発砲,Firing
女子,Women
電子,Electron
結論,Conclusion
真面目,serious
予測,Prediction
修正,Correction
対象,Target
一時,Time
風呂,bath
取り出,Eject
手錠,handcuffs
牧師,Pastor
半沢,Hanzawa
実現,Realization
区,Ward
種族,Race
時点,Point in time
代わ,Instead
土曜,Saturday
広が,Spread
戦え,fight
指令,Command
生き物,Living thing
美術,art
自慢,Boast
舞台,stage
上げろ,Raise
質,quality
交通,traffic
引き起こ,Spawning
建て,Built
上昇,Rising
心理,Mentality
楽しめ,enjoy it
検討,Consideration
勤務,Work
作用,Action
料,Fee
付き,Attached to
隠れ家,Hideout
隊長,Commanding officer
世代,generation
前進,Advance
決まり,Determined
繭子,Mayuko
死因,cause of death
続き,Continuation
酸素,oxygen
凶器,Deadly weapons
引き受け,Underwriting
助言,advice
国王,King
外科,Surgery
取り引き,transaction
此処,here
支払い,payment
背後,Back
図書,Books
際,When
症状,Symptom
話しかけ,Talk
引きず,Hikizu
用心,Precaution
転送,transfer
公開,Release
商売,business
隔離,isolation
理想,ideal
月曜,Monday
派遣,Dispatch
並,common
表現,Expression
ジュニア,Junior
乗客,passenger
初めまして,Nice to meet you
目指,Aims
年齢,age
虐殺,Massacre
アン,Ann
問,Asking
悪党,Villain
争,War
使い,use
現,Current
本人,Person himself
十,Ten
報道,Report
分離,Separation
発信,Transmission
印象,impression
正面,front
面会,Interview
ヵ月,Months
上院,House of Lords
目立,Conspicuous
戦略,strategy
下り,Down
艦長,Captain
心当たり,Clue
引退,Retirement
金融,Financial
無くな,Nakuna
何千,Many thousands
婦人,Woman
供給,Supply
同盟,alliance
毎晩,every night
族,Group
商品,Product
見当,Registration
職員,Staff
正式,Official
近づけ,Close
一切,All
祖母,grandmother
群れ,Herd
皇帝,Emperor
王女,princess
共和,Republic
自転,rotation
アブ,Abu
テア,Thea
世の中,world
級,Grade
引っ越,Moving
魔術,Witchcraft
死人,Dead person
進化,evolution
直ちに,right away
期,The period
北部,North
充分,sufficient
部長,Department
祝福,blessing
アイリス,Iris
庁,Agency
アウト,out
給料,salary
同情,sympathy
議会,Parliament
黄色,yellow
外国,Foreign countries
作動,Working
手掛かり,clue
大臣,The Ministry
話題,topic
校長,head teacher
恋愛,love
追加,add to
検索,Retrieval
連行,Taking
立ち上が,Rising
建設,construction
数百,hundreds
成果,Outcome
発言,Speech
苦手,Weak
画像,image
取り組,Taking set
何時,What time
類,Kind
株,stock
司法,Administration of justice
双子,twins
放棄,Abandonment
出番,Turn
電車,Electric train
玄関,Entrance
屋敷,Mansion
当たり前,Naturally
直面,Faced
共犯,Accomplice
笑い声,laughter
指名,name
具体,Concrete
野球,baseball
突入,A rush
救世,Salvation
儀式,Ritual
圧力,pressure
ノア,Noah
キャリア,Career
聖書,Bible
連れ戻,Brought back
アル,Al
周辺,Peripheral
高度,Advanced
及,及
大会,Tournament
職場,workplace
比べ,compared
あた,Ata
日曜,Sunday
アドバイス,advice
知恵,wisdom
融資,Loan
最中,Midst
乗り,Ride
議長,Chairman
信念,belief
連れ去,Tsuresa
入院,Hospitalization
気味,Feeling
借金,debt
整理,Arrangement
資産,Asset
感動,Excitement
検死,Autopsy
アレク,Alec
検察,Prosecutor
引け,Shrinkage
アディ,Adi
生涯,Lifetime
企,Companies
承認,Approval
間抜け,Stupid
アーメン,Amen
買い物,shopping
高速,high speed
解雇,Dismissal
アリバイ,alibi
昼食,lunch
天気,weather
引き金,trigger
獲物,Game
再生,Regeneration
古代,Ancient
降伏,Surrender
南上,On the south
役目,Duty
宗教,religion
一同,Everyone
録,Recording
界,Field
領域,region
ブライアン,Brian
屋上,rooftop
アルファ,alpha
暴行,assault
発明,invention
社員,The employee
静流,Shizuru
検事,Public prosecutor
世,world
半年,Half a year
入り口,Entrance
あたり,Per
同然,As good
悪人,Villain
達成,Achievement
弱点,Weakness
評議,Council
戦場,battlefield
物理,Physics
死に,Death
進展,Progress
受信,Reception
菓子,Pastry
高級,High grade
死ね,Die
アフリカ,Africa
主任,Chief
手順,procedure
野朗,To darn
あちこち,Here and there
時刻,Times of Day
無効,Invalid
防御,defense
送れ,Send
複数,Multiple
下手,poor
港,Harbor
死後,After death
少々,a little
電力,Electric power
分間,Minutes
廊下,Corridor
真ん中,middle
事項,Matter
選べ,Choose
処置,treatment
伝統,Tradition
地点,point
曲が,Song
新人,Newcomer
下ろせ,Orose
発電,Generation
保存,Storage
十字,cross
代償,Compensation
習,Learning
愛情,love
サマリア,Samaria
評判,reputation
誠人,Masato
挙げ,Cited
構築,Construction
解読,Deciphering
昇進,promotion
住民,residents
強化,Strengthening
手続き,procedure
親愛,Dear
直前,Just before
周囲,Surroundings
一歩,one step
博物,Natural history
偽物,fake
拡大,Enlargement
競争,competition
随分,Fairly
寄付,Donation
積,product
以下,Less than
永久,Forever
無用,useless
神聖,sacred
消防,Fire fighting
大物,Big shot
製造,Production
立ち向か,Suited Standing
党,party
公表,Published
録音,recording
素早,Quickness
ウィリアム,William
肉体,body
年寄り,Old
誘導,Induction
起訴,Indictment
内側,Inside
特徴,Feature
友情,friendship
やる気,Motivation
自体,itself
広げ,Spread
取り上げ,Pick up
やり直,Spear straight
不法,Lawlessness
展開,Expansion
予備,Reserve
手下,Minions
＝,=
カ月,Months
匿名,Anonymous
張,Zhang
偵察,reconnaissance
アンジェラ,Angela
アイザック,Isaac
国防,National defense
王妃,Queen
優勝,Championship
黄金,Gold
忠実,Fidelity
利口,Clever
中佐,Lieutenant colonel
取り除,Take removal
分野,Field
果て,Result
登場,Appearance
取締,control
拍手,applause
会計,Treasurer
懸命,Hard
部品,parts
本日,today
提出,Submission
売人,Dealers
谷,valley
争い,Dispute
再開,Resumption
人工,Man-made
座標,Coordinate
色んな,Many
地位,Status
出会い,encounter
置け,Put
開放,Open
経済,Economy
小便,Piss
作家,Writer
率直,Frankness
大声,Loud voice
手放,Teho
基づ,Based on Dzu
毎年,Every year
アビー,Abbey
多少,Some
編集,Editing
数千,Thousands
長年,Many years
独身,Single
材料,material
部門,Department
エリア,area
郡,county
土,soil
出入り,Out
意外,Surprising
参,three
模様,pattern
予言,Prediction
立ち去,Tachisa
植物,plant
文書,documents
善人,Good people
教わ,Attacked
先日,The other day
勝者,winner
追放,Expulsion
付き合い,Socializing
持ち主,Owner
適当,suitable
無料,free
孤児,Orphan
手伝え,Tetsudae
空腹,Hunger
演,Starring
宣言,Declaration
護,Mamoru
引き上げ,Pulling up
明白,Obvious
制限,Restriction
侵略,Invasion
米,Rice
幸福,happiness
