Kazakh,English
мен,and
ол,it
жоқ,no
сен,you
не,what
бұл,This
керек,must
оны,it
ба,whether
ма,whether
жақсы,Good
менің,my
иә,Yes
маған,me
бар,have
бе,whether
деп,that
емес,not
оның,his
сіз,you
біз,we
ал,but
мені,me
де,too
ғой,is
жатыр,uterus
енді,now
үшін,for
олар,they
сенің,your
бір,one
да,too
бірақ,but
қайда,where
саған,to you
сені,you
неге,why
адам,man
осында,here
болады,will be
келеді,I want to
доктор,doctor
оған,him
хаку,Haq
николас,Nicholas
мына,these
болды,was
тек,only
бәрі,everybody
рахмет,thanks
дұрыс,right
сол,that
мүмкін,possible
және,and
тағы,else
жұмыс,work
еді,would
басқа,other
ме,whether
болып,is
егер,if
осы,This
біздің,our
мында,here
солай,so
едім,I would
өтінемін,please
міне,there
президент,president
малдер,Mulder
екен,was
сіздің,your
кетті,Expired
тұр,get up
кәзір,now
болған,was
өте,very
ештеңе,nothing
кім,who
сияқты,kind of
болса,If
қалай,how
білмеймін,I do not know
скалли,Scully
шығар,probably
бізге,U.S
кешіріңіз,I am sorry
джо,Joe
жарайды,OK
алып,giant
әлі,yet
сэн,Sen
сізді,you
пе,whether
сізге,you
ғана,only
жерде,here
ше,What about
бәрін,all
кеттік,let's go
бола,be
сәлем,Hello
жүр,is
шын,real
уганда,Uganda
жерден,from
адамдар,people
туралы,about
жерге,ground
сонда,there
қалды,remained
келді,came
мырза,Sir
тірі,alive
деген,that
болар,have been
білемін,I know
онда,then
әкей,Father
жаңа,new
қой,sheep
әй,hey
қайырлы,good
тихиро,tïxïro
меніңше,it seems
а,a
фбр,FBI
бірге,with
қан,blood
қатты,It is tough
тым,too
себебі,because
таң,morning
екенін,that
кел,Come
келген,any
тауып,found
өз,its
дейді,says
көріп,see
бер,give
тіпті,even
оларды,them
алмаймын,I can not
осылай,so
олай,so
гариган,Gary
білесің,you know
бірдеңе,something
қол,sign
амин,amino
одан,more
бері,since the
жатырмын,I'm
әке,father
қайта,again
мынау,this
ең,most
келе,coming
у,y
қандай,What
апа,grandmother
сондай,such
көп,lot
қажет,necessary
мұнда,here
нәрсе,thing
тұрмын,I have
үлкен,large
әрине,certainly
кешірім,forgiveness
ешкім,nobody
бізді,U.S
па,whether
бүгін,today
қарашы,Look at
іздеп,Looking for
тиіс,should
уәде,promise
сендер,you
менде,me too
қарай,to
дене,body
соң,after the
кейін,after
тез,quickly
юбаба,yubaba
тарт,Pull
біреу,somebody
болмайды,Do not
ана,mother
тыныш,silent
өзім,I
құдай,God
тұрсың,do you
дәл,exactly
жағдай,situation
ойлап,come up with
екі,two
болмаса,If you do not
айтты,said
келдім,I came to
артқа,back
қуаныштымын,I am happy
қарсы,versus
арнайы,special
былай,said
шынымен,really
қиын,difficult
түс,Color
келіп,to come
бол,Be
тоқта,stop
қайдан,Where
барлық,everything
үш,three
комази,komazï
жүріңдер,Walk
ақ,white
әйел,woman
өзің,you
барып,go to
алтын,gold
өтінем,please
өмір,life
көмек,help
отыр,sit down
болу,stay
кәне,come on
қонақ,guest
кішкене,small
әдемі,beautiful
алмай,can not
келмейді,I do not want
әлде,or
керемет,miracle
адамдары,The men
деймін,I want to
жеп,eat
бойы,for
сэр,Sir
дегенмен,however
өзі,self
кей,some
боп,as
шығып,out
табылған,found
тезірек,rather
әрі,and
біраз,somewhat
оларға,them
барлығын,all
бұны,it
бара,going
бұның,it
сенімен,with you
аласың,can
ой,thought
айтып,tell
дем,breathe
алған,received
қош,Welcome
бала,child
күтіп,waiting for
едік,would
ауырып,ill
керегі,need
неткен,What a
бос,free
әшейін,just
қарап,Look at the
аха,aha
маңызды,important
қанша,how many
сізбен,you
айтарым,I have to say
алайда,However
өзен,river
сайтан,devil
қызық,interesting
әкем,father
жоғалып,disappeared
секілді,such as
кетіп,leave
сізде,you
жауап,answer
келдіңіз,Welcome
қолымнан,I could
алды,received
кеткен,has
қалдым,I'm
алмайсың,You can not
сонымен,as well as
джона,John
бо,Wrecked
шақырып,called
адамның,human
кешір,I'm sorry
сау,healthy
дейін,before
соншалықты,so
маккензи,Mackenzie
кезде,when
тамаша,excellent
болатын,was
қашан,when
үйге,home
онымен,with him
қалған,remaining
тұрсыз,You're about to
берші,me
күн,day
сондықтан,therefore
бұрынғы,former
міндетті,mandatory
қорықпа,do not be afraid
жөнінде,about
қазір,now
айтасың,say
дейсіз,you say
болсаң,If you are
жол,road
баланы,child
о,o
жақсымын,i'm fine
келдің,come
қашып,fled
көрген,seen
джонас,Jonas
ден,more
кет,Get away
ұста,blacksmith
аласыз,You can
мынаны,says
жаман,bad
тоқтат,stop
бәрібір,what ever
айт,Tell
мұны,do it
тура,exactly
тоқтай,stop
жақын,close
сара,Sarah
әкеліңдер,Bring
осындай,the same
өлтіреді,kill
ойлаймын,I think
келесі,following
айтшы,tell
сөз,speech
зат,thing
ойлайсың,do you think
рин,Rin
қара,black
жарайсың,well done
иісі,the smell of
ем,treatment
бізде,we have
барады,go to
таба,find
едің,would
береді,gives
жасап,make
істеп,doing
іс,business
балақай,baby
осындамын,here
жұмысқа,to work
жиіркенішті,repulsive
юбабаның,yubabanıñ
фокс,Fox
ауру,sick
хабар,message
болдың,You're
кісі,man
берген,issued
баратын,to go
білесіз,you know
істеуге,to do
қаша,to escape
өмірін,life
сұрап,courtesy
жатырсың,are
тұнба,sediment
моника,Monica
түрде,in the
тоқтаңыз,Stop
васва,vasva
бірі,One of the
күшті,strong
оботтың,obottıñ
ауыру,disease
агент,agent
естіп,hear
рет,time
осыны,this
өлі,dead
айта,say
содан,and
арада,soon
жатқан,being
кеш,It's late
тұрыңдар,Keep
есімім,name
өзіңді,yourself
түсінемін,I understand
бас,head
дейсің,"say,"
құпия,secret
рұқсат,permission
сұрақ,question
көре,view
жеке,private
жұмысы,work
ашық,open
ондай,such a
обот,obot
пойыз,train
қорқып,fear of
қызмет,activity
ер,male
өліп,die
дана,a piece
кейде,sometimes
көмегің,this with
көреміз,see
ұшып,fly
су,water
лас,dirty
дайын,ready
әйтпесе,otherwise
оңай,easy
етіп,so that
алмаймыз,We can not
келмей,not want to
көр,Try
едіңіз,Did you
көмектесе,help
соған,it
шығарсың,You may
отырмын,I'm sitting
вирджиния,Virginia
бұдан,further
жер,land
болсын,Let
біледі,know
нашар,bad
ертең,tomorrow
келсе,If you want to
істейді,There are
шотландияда,Scotland
кристиан,CHRISTIAN
көрдім,I saw
менен,me
болдым,finished
британ,British
ешкімге,anyone
амансыз,Amanda
таптым,I found
сезіп,feel
жалғыз,only
барасың,go to
штаты,The staff of the
сатып,buy
кіріңіз,Come in
алатын,able to
түрлі,various
кедей,poor
қалайсың,how are you
қуып,catch up
ұшақ,aircraft
сезім,feeling
олардың,their
ойладым,thought
британдықтар,British
елден,the country
агентін,Agent
соңғы,last
аш,hungry
қала,city
ұлы,great
ұстап,hold
айтпақшы,by the way
қал,birthmark
екінші,second
жұмысым,work
емдеу,treatment
уақытта,time
малдерді,malderdi
операция,operation
өзімнің,my
қарапайым,simple
анда,there
госпитальға,hospital
экстрасенс,psychic
беріп,giving
қайтайықшы,qaytayıqşı
бітті,completed
істей,do
ұйықтап,asleep
жолмен,way
жәй,just
халық,population
анау,over
айтасыз,do you think
дәрігермін,doctor
еске,memory
маймылдар,monkeys
ақпарат,information
жоғалған,lost
бұрын,ago
жек,hate
көруге,see
тұрыңыз,hold
тамақ,food
мінекей,Well
жіберді,sent
қояды,puts
ата,grandfather
қолы,signature
ешқашан,never
бойынша,according to
жаққа,side
бере,give
артық,excess
олардан,them
көрейік,Let us
сендерге,you
үкімет,government
барамын,go to
алмадым,I could not
екеуміз,I
тұрады,consists of
кете,to leave
мейірімді,kind
ауруы,disease
шешім,decision
болғандықтан,Since
таста,pruning
арналған,for
жайлы,comfortable
жете,to reach
жан,soul
беріңіз,Give
оян,wake up
үйде,at home
сене,trust
тездет,Hurry
болуы,be
өңсіз,faded
сенемін,I hope
естідім,heard
сенбейсің,do not trust
алмайды,can not
берсін,Let
кісілер,contacts
тездетіп,haste
өзіңіз,you
мұз,ice
пайда,profit
тұра,stand
айтамын,I say
беріңізші,Please
бэннан,bénnan
сонша,so
айтқан,said
қай,which
болмақ,will be
көптеген,many
өзінің,his
менімен,me
үстінде,over
министірі,Minister of
жерді,earth
угандаға,Uganda
әне,Here
ақымақ,fool
айттың,Ait
қатысы,related to
ешқандай,no
крис,Chris
ақша,money
қағаз,paper
дедіңіз,said
кетемін,am leaving
өтірікші,liar
отырыңыз,Sit
барам,bars
бірдей,same
сандхофф,you suspect Sandhoff
кеттің,did you
қыз,daughter
ацепромазин,acepromazïn
көресің,you see
сағаттан,hours
терең,deep
әміршісі,the ruler of
гариганмын,garïganmın
қылмыс,offense
ұқсайды,looks like
тұрғаным,down
түсіндім,I realized
жігіт,guy
барлығы,all
дәрі,medicine
алу,pick up
әйелдер,Women
бірнеше,several
заңсыз,unlawful
күтпеген,unexpected
көзіңді,your eyes
дәмді,tasty
ала,get
саулық,health
ел,country
дәрігер,doctor
апам,sister
мұның,it
сосын,and then
қалады,will remain
айтады,says
соны,this
айтыңыз,tell
он,ten
төмен,low
емеспін,I'm not
қарым,relations
басына,the beginning
мінеки,here it is
мүшесін,a member of the
бізбен,contact us
адамға,people
салынған,built
болмай,not
қойшы,shepherd
кімсің,who
келіңіз,Come
анық,obvious
қолым,hand
хабарласып,contact
емхана,clinic
елдің,the country
жоғалт,lose
танысқаныма,to meet
болыңыз,Be
мыналарды,These ones
ұрдым,hit
кетеді,It takes
ас,meal
кешкі,evening
басқаша,otherwise
көреді,sees
аян,a vision
сағат,hour
біртүрлі,strange
белгілі,definite
құдайдан,of God
кісіні,the man who
алдында,before
ричмонд,Richmond
қолдана,the use of
жасалған,made of
үйіңе,house
дәрігерсің,doctors
жаныңда,close
жатырсыз,Are you
дегенің,that the
құрып,to create
кеткір,ketkir
күдікті,suspect
екеуміздің,I
сөзімді,word
бұрында,in the past
ұрлап,stolen
әңгіме,story
баланың,the child
стоун,Stone
көрдіңіз,ever
тұрған,are
өкілі,The representative of the
қою,put
машина,machine
қамап,locked up
адаммен,the person who
сақтап,save
барда,While there is
сөйлесіп,talk
көрсет,Show
отырсың,do you
ағылшын,English
емді,treatment
кез,any
анаң,mother
емханаға,clinic
сөйлесуге,to talk
орнына,instead of
кэмпбел,kémpbel
талғам,taste
адамдарға,people
меннен,me
із,footprint
кімге,to whom
білесіңбе,do you know
шық,dew
батыл,bold
тұрғанда,when the
қолынан,the hands of
шотландық,Scottish
әсіресе,especially
кімсіз,Who
айтқанымды,say
драмми,drammï
өлтірмекші,to kill
президентті,the president
мүшелерін,members of the
болсам,I am
отырған,who
атып,shot
ойын,game
жүріп,walking
ойлайды,think
дым,wet
тоқтамай,does not stop
тырысам,try
дедім,I said
жануар,animal
таптыңыз,find
қосылып,turned on
оқасы,you're welcome
әкеммен,my father
дәрігерімін,doctor
әбден,quite
қойды,signed
етпейді,does not
күйеуім,husband
тыңдашы,Listen
екенсің,Thou art
жас,young
қайдасыз,Where are
байланыс,contact
табады,finds
қалайды,wants
жіберген,sent
мақтан,proud of
шаршадым,I am tired
телефон,phone
себеп,cause
атап,noted
мама,Mum
сенеді,believe
қолында,in the hands of
уақыт,time
етеміз,We will
қайғылы,sad
шықты,came out
күте,wAIT
қыздың,girl
көрдің,Have you seen
алғашқы,first
ауырды,ill
раушан,rose
туалет,toilet
түбі,the bottom
ей,O
иттер,dogs
ақылсыз,foolish
минуспен,mïnwspen
тұтқындар,prisoners
жіберіңдер,send
теңіз,sea
келіңдер,Come to
алады,can
күні,day
тастадым,took
жаншып,crush
мерит,Mérite
ретінде,as
тыңда,listen
беремін,I will give
істейсіз,do you do
алдым,I got
ие,owner
қам,consisting of
әскерлер,troops
сөйлейсіз,speak
боламын,am
ағылшынша,in English
апасын,the quality
батпақ,mud
автобус,bus
елес,ghost
жүреді,happens
қалып,to stay
тыныштал,calm down
зоодүкен,zoodüken
үйшікке,house
аз,less
берем,give
шыдай,withstand
шықтым,I
ашыңдар,Your
жыл,year
бірінші,first
есімімді,wore
тоқтаңдар,toqtañdar
қоғамдық,public
сұрай,ask for
ауыр,heavy
айтам,say
сиқыршы,magician
ұнамайды,do not like
істегім,to do
жібереді,sends
атың,name
өсиеті,the commandment
келуіне,the arrival of
жасай,create
дзэниба,dzénïba
өздері,themselves
астына,underneath
кеттім,I went
ұ,U.
аялдама,stop
отырып,sitting
жолы,the way
жай,simply
деді,said
атаға,Claus
келісімшартқа,contracts
сендердің,you
аузыңды,uP
өзімді,myself
қайтып,return to
жердің,earth
сенбеймін,I do not believe
түсас,tüsas
жұмысын,work
агенті,agent
айналып,bypass
құдайдың,God's
дәрігері,doctor
жылаймын,cry
мақсат,goal
үкіметі,The government of
аминге,Amina
көрінеді,looks
жергілікті,local
адамдарды,people
оларда,they
есіміңді,your name
жүрмін,I'm walking
өлім,death
хат,letter
қызды,girl
келдік,came
батыс,western
берейін,Shall I
келгенін,to come
қолыңнан,You Can Do
заттар,substances
ауылға,to the village
тікен,thorn
жасайтын,create
же,eat
бастап,from
та,too
ішке,inwards
тоқтама,do not stop
бетін,page
бонни,Bonnie
кеше,yesterday
нәрсені,what
алдық,were able to
таза,clean
саламыз,We construct
өлең,poem
әжей,grandmother
келемін,I have
жуынды,drain
рухы,spirit
тақтайша,tiles
нигихаями,nïgïxayamï
адаммын,am
адал,faithful
қылмыскерлерді,criminals
мейман,guest
жағдайына,the state of
көрсеткім,show
мәссаған,Wow
кесіртке,lizard
өзін,yourself
доғар,stop
көмектескен,helped
асығыспын,a hurry
өмірі,life
шеше,mother
есімде,I remember
түсті,color
қонағымыз,guest
жолың,way
атаққа,the title
болғаным,Out of
шексіз,endless
сәл,slightly
толығымен,fully
айда,month
несі,What
қонаққа,to visit
жігіттер,guys
далбаса,Rats
адамдарым,people
түсімде,dream
көргем,'ve seen
ұмыттың,Forgot
сыйлаймын,give
сұраған,asked
оқиғаларға,events
сенесіз,believe
істер,Affairs
жауыз,evil
сыртқы,external
жүрсіңдер,Are
жабық,closed
президенттің,President's
атым,name
іздеу,search
сияқтымын,like
бұрыннан,for a long time
босқа,vain
көріңіз,try
жатып,lying
қалайсыз,how are you
қолмен,manually
алыс,far away
болмасын,Whatever
екіншісі,the second
адамсың,man
бердің,Thou hast
жылдар,years
сөйтіп,so
жібереміз,we will send
сенгім,to believe
ішімдік,liquor
холидей,Holiday
суға,water
хакудың,Hakuba
сендерді,you
бұнымен,the same
маскүнем,alcoholic
шапшаң,fast
көмекші,helper
жағдайы,condition
айналыспаймын,do
еліме,country
жұмысшы,worker
байланысты,it depends
ванна,bath
келмейтін,do not
бөлмесіне,room
жібер,Email
кеңесшімсің,keñesşimsiñ
әрқашан,always
шетке,aside
барын,the existence of
жетеді,reaches
түнде,night
бөлмеге,the room
емі,treatment
естідік,We have heard
жоғарыға,up
кездесетін,meet
кеп,'re
бермейді,does not
көмекшісі,Assistant
сирек,rare
орнында,in place
ұйықтай,sleep
жаным,my soul
айқайлама,cried out
бәлішті,bricks
ұзын,long
ойыңды,thoughts
кісіге,the man who
ойыншықтарды,toys
берді,gave
тастаңызшы,Take
қорқынышты,terrible
жылама,do not Cry
шулап,noise
сұрау,query
кеттіңдер,own souls
тірімін,'m alive
төсектегі,bed
қане,"Joel,"
баға,price
есімің,name
жатпайды,not applicable
іздері,traces
немене,What
қолда,available
жағып,burn
өрескел,rough
қайтарыңдар,Respond
күндей,days
өкпе,lung
өлімге,death
шақырдыңыз,been invited
құдайды,God
келгенше,the arrival of
жылдам,quickly
балам,son
жұмысты,work
транквилизатор,tranquilizer
береміз,give
ары,further
тұрсаңыз,If you
қояншық,hysteria
ауыруы,pain
есімі,the name of
басымды,priority
қойыңыз,Place
қызға,girl
сенікі,yours
нәтижесін,the results of
терапия,therapy
сынап,mercury
құстар,birds
әңгіменің,the story
жина,Gather
ыңғайлы,handy
түсіре,shoot
әлгі,that
басынан,the beginning
тірісің,alive
басып,print
алмақшы,going to
тоқтатты,stopped
кір,laundry
бастады,started
құлатып,the overthrow of
көргім,like to see
істесем,do
тығып,hide
артыңа,look behind
қайдасың,where are
табасыз,You'll find
көлік,transport
дәрігерге,doctor
тұрасыз,do you live
балаға,child
көпірге,bridge
туфлиім,shoe
лайық,deserve
емдеуге,to treat
дакота,Dakota
жап,sHUT
жомарт,generous
президентке,the president
лақтырып,throw
балама,alternative
сенен,you
осымен,thereby
дәрігерлердің,doctors
мүмкіндікті,feature
алғысымды,to thank
алмасам,can not
демалуға,to rest
бәрің,all of you
әкелді,brought
айдаһар,dragon
сыйлығым,something
лифт,Elevator
жарадың,wound
көрінетін,visible
ет,meat
ұстаған,detained
тастадың,did you
көмегіңіз,help
сұра,Ask
алдап,deceive
безгек,fever
бәріне,for all
сандырақ,nonsense
шамалы,minor
hostages,hostages
сыртында,out
көрсете,to show
шығарып,remove the
ентебиге,entebïge
жоққа,deny
кездескен,met
жойып,to destroy
кепілгер,guarantor
болмаған,In the absence of
ұйықта,sleep
материаландырған,materïalandırğan
тимей,does not touch
дәрісін,a lecture
үлгі,sample
ұнайды,like
дәріні,drug
жібергенде,When you send
алыңыз,Get
құрт,worm
тойдым,'m full
жағдайын,the state of
кінәлі,guilty
әкесімен,his father
қараңдар,See
серуендеп,a walk
шығу,Exit
жалаңаш,naked
әр,each
түсінікті,understandable
биші,dancer
ұрланып,stolen
істейсің,do
әлеміне,the world
алғыр,able to
жеткіземін,express
қалу,to stay
агенттің,agent
әкеңнің,your father
бөлме,room
басында,initially
емеспіз,not
жасадың,done
кішкентай,small
қойса,If
минут,minute
қойдым,I have
ханымға,Ms.
апаруға,drop
жалған,false
басым,dominant
қолыңды,your hands
заттармен,substances
нәтижелері,results
анализ,analysis
ойыңа,permissiveness
жасаған,made
томас,Thomas
сомерсет,Somerset
көзімді,fleece
қауіпті,dangerous
ауруханасы,hospital
біліп,know
тіке,spontaneous
әулие,saint
асықпаңдар,asıqpañdar
қатарды,row
шықпаймын,does not appear
ұстаңдар,keep
бармайсың,going
істедік,did
баруға,to go
құтылуым,get rid of
амалым,choice
біратала,biratala
жақта,there
кетуі,take
күнде,day
өзенге,the river
есіме,I remember
өзіміздің,our
бәріміз,all of us
басқару,management
аламыз,we will take
түсірдім,filmed
достарымызға,friends
кохакугава,koxakwgava
құтқару,rescue
тексеру,check
мәжбүр,forced to
кесірінен,because of
пен,and
барыңдар,Go
атымды,my name
әже,grandmother
болмағанда,In the absence of
азиаттарды,azïattardı
келеміз,have been
айтпадың,did not
бәріңе,all of you
ауруына,disease
істеу,do
ауырады,to smile
бұрылма,turn
израилдықтар,Israel
сеніміңізге,trust
тұрып,before
аламын,I can
жарық,light
жұт,jute
алты,six
шошқаға,pigs
естиді,hears
жеуің,eat
түссіз,colorless
уақытты,time
жүгір,run
әкең,father
қояйын,I will not
бұған,it
жегім,erythematosus
дуаны,hermit
сиқыршының,magician
беруге,to give
ірі,large
жатақхана,dormitory
сиқырлы,magic
көмектесуі,help
сөзіңді,your word
дәлел,argument
алам,inquire
оқушысы,pupil
анам,mom
парк,park
қаштық,fled
алма,apple
істемесе,does not
мақаланы,article
оқыдың,read
есікті,the door
түсініктеме,Comment
бүкіл,everything
кіретін,included in the
зым,zım
кесіп,cut
шошқа,pig
ұқтың,grasp
үміттеніп,hope
пайдаланып,using the
жақсылап,well
уайымдама,do not worry
қымбатты,dear
шығарма,essay
сендерсіз,you
келіпсіз,Welcome
үргенін,barking
келуіңізбен,Welcome
байқап,try
африка,Africa
айдаһардың,the dragon
көресіз,you will see
орал,Ural
өзімде,reserve
ғылым,science
сөзіне,According to the
букет,bouquet
қайтам,again
өлу,die
мектеп,school
жетеміз,Reach the
жүрсің,Are
кететін,leave
нені,What
үйің,house
кетсең,If
кезінде,during the
білмейсің,do not know
емессің,Are
көз,eye
негізінде,On the basis of
табылды,Found
дауысын,the voice of
қайт,Back to
жоғалғаннан,disappearance
ойлаймыз,think
виски,whiskey
батып,drowned
тихироның,tïxïronıñ
түсінбедім,I did not understand
күші,force
кері,backwards
шығады,will come out
туған,native
еш,no
уақытымызды,time
жүру,go
асылмашы,Suspension
қылмысқа,crime
күдік,suspicion
аяқ,foot
күт,Wait
бармаймын,I will not go
сөйлес,speak
кешірмеймін,keşirmeymin
жүккөлік,jükkölik
ауа,air
бірден,immediately
агентті,agent
мәселе,issue
естисің,you hear
қақпаға,the gate
шомылдығы,şomıldığı
жұмысың,work
құдайлар,the gods
тап,face
хабарласты,contacted
көрсетемін,show
бергенсің,made a
еттің,meat
алтыншы,sixth
ғимарат,building
сеніп,to believe in
әкел,bring
күйде,state
ұлым,son
ұзақ,long
сөндірулі,switched off
жалынды,emotional
сауыққа,partying
қонамыз,guest
баласы,son
элиосқа,élïosqa
ішінде,within
білмейміз,do not know
атты,the name
кірісейік,Let's get
бүгінгі,today
айтпайсың,do not say
көбірек,more
