Romanian,English
de,of
nu,not
să,to
o,a
în,into the
ce,what the
e,e
că,that
şi,and
la,to
a,of
cu,with
pe,on
am,I have
un,a
mai,May
asta,to stay
pentru,for
este,It is
sunt,are
ai,you
te,yourself
bine,good
da,Yes
ca,that
dar,but
se,it
din,from
fost,former
care,which
fi,be
mă,me
eu,I
aici,here
sa,to
dacă,if
trebuie,must
va,will
cum,How
si,and
tu,you
acum,now
aşa,so
el,he
ar,would
lui,his
ceva,something
când,When
doar,just
eşti,you
ei,They
ne,us
mine,me
tine,YOU
poate,may be
pot,can
voi,Vol
face,do what
cred,I guess
îmi,I
au,have
mea,my
spus,SAPS
ştiu,know
unde,where
vă,yourself
meu,my
ea,she
mult,a lot
vreau,I want
s-a,to
despre,about
vrei,want
sau,or
tot,all
foarte,very
pare,seems
acolo,there
chiar,even
in,into the
noi,we
bună,Hi
ta,your
era,It was
nimic,nothing
faci,do
are,It has
făcut,made
cine,who
nici,neither
putea,can
ştii,Know
fac,do
fie,or
nevoie,need
trebui,have
rău,bad
atunci,then
timp,time
tău,your
spun,I say
și,and
rog,PLEASE
acest,this
îţi,you
nu-i,not
spune,say
avem,we
poţi,You can
al,of
le,they
după,after
vom,we will
deci,so
îl,him
prea,too
mulţumesc,thanks
să-l,shawl
cineva,someone
oh,Oh
toate,all
ani,years
cel,the
suntem,WE
vei,you
bun,good
sigur,sure
vor,will
vrea,like
mare,big
îi,him
iar,and
până,until
cât,How
haide,Come on
crezi,believe
încă,yet
hei,Hey
stai,stay
atât,so much
totul,all
avea,have
venit,income
spui,say
ăsta,to stay
avut,HAD
m-am,I
lucru,working
să-ţi,your
văzut,seen
fel,kind
să-i,Let's
putem,can
ceea,EAEC
n-am,I
să-mi,me
fără,free
ma,me
mama,mother
place,like
aş,I would
decât,than
asa,so
domnule,mister
niciodată,never
regulă,rule
mi-a,Me
prin,through
s-o,and a
esti,you
înainte,before
văd,I'm seeing
mergem,Go
unul,one
uite,look
puţin,little bit
hai,let's
loc,place
nimeni,no one
toată,all
apoi,then
vezi,see
dat,given
întâmplat,happen
fii,sons
l-am,I
naiba,heck
nou,new
oameni,people
ia,takes
facem,we make
zi,day
acasă,the home
multe,many
jos,down
lumea,the world
două,two
toţi,all
nu-mi,I do not
daca,if
timpul,time
această,This one
orice,anything
oamenii,people
auzit,heard
doi,two
dle,Mr.
luat,taken
fiecare,every
peste,over
vrut,WANTED
înapoi,back
într-o,a
astea,these
aţi,you
aia,that
fiu,son
dintre,from
merge,go
lor,their
nişte,some
trei,three
numele,name
om,man
cea,the
găsit,finder
cei,the
doamne,gosh
mele,my
te-ai,you
i,and
stiu,know
aceasta,This one
du-te,Go
viaţa,life
deja,already
ziua,day
duc,lead
dată,date
parte,part
i-am,I
vino,come over
destul,enough
câteva,some
există,there is
serios,seriously
gata,ready
bani,money
vorbesc,I'm talking
ok,K
tatăl,father
aproape,close
vedem,see
afară,outside
dau,give
numai,no more
întâmplă,happen
nostru,our
adevărat,true
noastră,Our
înseamnă,means
într-un,a
una,one
vin,wine
m-a,me
eram,we were
locul,the place
scuze,Sorry
acesta,this
vine,it's coming
repede,quick
zis,said
fapt,fact
ori,or
te-am,I
n-o,In a
putut,could
grijă,care
tale,your
lucruri,things
singur,single
prima,received
casa,House
probabil,probable
ajuns,made
cam,about
exact,exact
ştie,know
sunteţi,you
l-a,it has
dreptate,justice
simt,sense
tocmai,just
noapte,night
cele,the
târziu,Late
trecut,last
zile,days
facă,make
mereu,always
adică,namely
partea,the
seara,in the evening
lucrurile,the things
iau,I take
unui,a
împreună,together
plecat,gone
crezut,thought
omule,man
fata,face
imediat,immediate
ne-am,we
spre,to
azi,today
ţi-am,I
departe,far away
aceste,these
terminat,finished
început,beginning
trebuia,had
iubesc,I love
m-ai,May
stii,Know
măcar,even
pierdut,lost
tata,father
sub,under the
copii,BOYS
frumos,beautiful
banii,the money
mâine,tomorrow
n-ai,pan flute
mi-am,I
mamă,mother
mi,ml
mei,my
treaba,the job
l-ai,you
tată,father
plec,I am leaving
sus,up
păi,Well
n-a,N / A
s-ar,It
vorba,words
ăla,that
greu,hard
viaţă,life
vedea,see
mi-ai,You
d-le,Mr.
dumnezeu,God
tipul,type
desigur,Of course
drumul,the road
nu-ţi,do not
minute,minutes
dracu,hell
înţeleg,I see
trebuit,had
dai,you
murit,DIED
ajuta,it helps
mie,thousand
femeie,woman
idee,idea
copil,child
aveţi,you have
gândit,thought
ultima,last
ale,of
moment,time
tip,type
i-a,takes
primul,the first
aceea,that
multumesc,thanks
pus,put
sper,hope
noastre,our
data,date
merg,go
pic,bit
s-au,or
dus,shower
seama,out
erau,They were
bune,good
aşteaptă,Wait
făcut-o,done it
imi,I
spune-mi,Tell me
lua,take
urmă,follow
tare,loud
griji,worry
înţeles,meaning
cazul,case
poti,You can
vreo,some
problema,problem
buna,Hi
nu-l,not it
cauza,Cause
între,between
ajunge,that's enough
duci,go
ce-i,What's
camera,the room
ajutor,help
mort,dead
noaptea,the night
vorbim,talk
corect,correct
cand,When
întotdeauna,ever
minunat,wonderful
încercat,tried
ele,they
poftim,here you go
îşi,their
ucis,murdered
ore,hours
pune,put
vreodată,ever
vorbeşti,talk
fiul,sonny
ciudat,strange
unei,of a
dumnezeule,Dear good
dr,Dr.
ba,nay
probleme,problems
problemă,problem
vorbit,spoken
adus,brought
familia,the family
simţi,feel
lasă-mă,let me alone
luni,months
vii,are you coming
altă,other
cap,head
faţă,face
cer,heaven
ales,chosen
uită-te,behold
crede,believe
cale,way
credeam,I thought
te-a,you
ascultă,listen
nicio,any
casă,House
duce,lead
dă-mi,give me
bucur,joy
uitat,forgotten
cunosc,know
acel,that
încredere,trust
caz,case
facut,made
singură,one
joc,game
oricum,anyway
mergi,go
altceva,something else
primit,received
asemenea,also
faţa,face
lume,world
ochii,the eyes
acord,agreement
cinci,five
fată,face
veni,come
patru,four
mulţi,many
siguranţă,safety
iei,take
lăsat,dropped off
telefon,phone
prins,caught
fratele,brother
băieţi,boys
simplu,simple
asta-i,that's
salut,Hello
ţi-a,did he
uşor,Easy
maşina,car
prieten,friend
omul,man
dragă,Dear
i-ai,You
important,important
găsi,find
lângă,by
puteţi,you can
grozav,that's great
doamnă,Ms
rau,bad
câte,by
vina,fault
zici,about
şi-a,and
vorbi,TALK
dolari,USD
acea,that
pasă,pasha
mod,mode
ne-a,us
faceţi,make
uh,uh
pun,put
maşină,car
sunat,call
ești,you
mâna,hand
ştim,stimulus
rahat,bullshit
tau,your
știu,know
pleci,leave
prieteni,friendship
odată,once time
pleacă,leaves
stau,stay
drum,road
alte,other
dvs.,you.
as,I would
astfel,so
curând,soon
întors,returned
ora,hour
mi-e,thousand
mic,little
n-ar,would
doua,two
arată,to miss
alt,other
începe,you start
nouă,nine
de-a,of the
s,S
singura,one
gând,thinking
treabă,the job
trimis,Submitted
capul,head
apă,the water
copilul,the child
posibil,possible
singurul,the only one
soţia,wife
alo,Hello
noroc,luck
legătură,link
spate,back
adevărul,truth
frumoasă,beautiful
aveam,I used to have
viata,life
împotriva,against
către,by
veţi,will you
inima,heart
lăsa,leave
tăi,thy
încearcă,try
niciun,none
rămâne,remain
întoarce,turn
oraş,Town
să-şi,to His
contează,counts
auzi,hear
prietenul,the friend
ştiţi,KNOW
așa,so
nume,name
frate,brother
bărbat,man
chestia,the thing
astăzi,today
familie,family
las,coward
pleca,leave
taci,remain silent
întâmpla,happen
spatele,the back
domnul,Mr
copiii,the kids
încerc,try
mers,walking
său,or
vreme,times
ştiam,I knew
pace,peace
mersi,thanks
ajut,help
întorc,return
fiica,daughter
iti,you
an,year
le-am,I
deloc,not at all
motiv,reason
john,john
pui,chicken
minte,mind
întreb,I'm asking
înţelegi,understand
oră,hour
ţine,keep
perfect,perfect
uita,forget
mari,big
amândoi,both
știi,Know
plecăm,leave
sta,stay
jack,jack
erai,you were
persoană,the person
dupa,after
mâinile,hands
ieşi,go out
devreme,early
muncă,the work
parcă,park
sora,sister
fă,Make
gândesc,I think
rămas,remaining
fericit,happy
amintesc,remember
plac,liking
sigură,secure
revedere,revision
dl,Mister
dimineaţa,morning
mică,small
fiindcă,because
prost,dumbass
acelaşi,same
vină,guilt
naibii,hell
putin,little bit
urma,follow
sună,sounds
vreţi,want
nebun,crazy
arma,weapon
buni,Top
aduc,bring
jumătate,half
sânge,blood
intrat,entered
ţi-ai,you
spune-i,tell her
sun,call
aud,I hear
acestea,these
moarte,death
dvs,you
cunoscut,known
numărul,number
restul,restore
găsesc,I find
undeva,somewhere
mi-ar,I would
faptul,the fact
cerut,asked for
asupra,on
pa,bye
aduce,bring
zic,say
doamna,Ms
drept,Right
cumva,perhaps
aflat,found
ah,Ah
momentul,time
vadă,will give
jur,around
fim,be
toti,all
poliţia,the police
luăm,take
drăguţ,cute
ce-ai,what do you have
sam,Sat.
vreun,any
vrem,WANT
afara,outside
ultimul,the last one
sa-l,shawl
moartea,the death
echipa,team
întâi,first
care-i,What
genul,kind
il,it
foc,fire
dă,Yes
uneori,sometimes
altfel,otherwise
ştiut,knew
stat,state
unele,some
acela,that
înăuntru,in
deschide,open
ati,you
pur,pure
scris,written
abia,only
clar,clear
trece,pass
reuşit,successful
ţi,and
dea,give
schimbat,change
dimineaţă,morning
new,new
altcineva,someone else
uşa,door
prietenii,friends
ii,yl
devenit,became
ieri,yesterday
dori,like
aibă,have
pământ,earth
the,the
cameră,the room
amice,pal
tuturor,all
sex,sex
afla,find out
femei,Ladies
frică,fear
totuşi,however
sale,its
folosit,used
vorbeşte,speaks
normal,normal
liber,free
într-adevăr,really
uit,look
intră,get in
lasă,leave
sfârşit,the end
voiam,wanted
soţul,husband
băiat,boy
săptămâni,wEEKLY
ăştia,these
l-au,they
încât,that
multă,much
greşit,wrong
război,war
milioane,MILLION
găsim,find
trecută,last
ci,but
ideea,idea
biroul,the desk
vazut,seen
închisoare,prison
v-am,I
exista,there is
regula,rule
pat,bed
plus,addition
întâlnit,meeting
muri,die
amuzant,funny
sa-ti,to your
zice,say
spital,hospital
arăţi,show
jurul,around
lovit,hit
spună,tell
suficient,sufficient
trage,shoot
şansă,chance
doctor,doctor
plăcere,pleasure
draga,Dear
alea,those
domnilor,gentlemen
direct,direct
petrecere,party
oricine,anybody
plăcut,pleasant
felul,the kind
gura,the mouth
ochi,eyes
ucide,kill
traducerea,translation
telefonul,phone
special,special
şcoală,school
munca,the work
niste,some
omorât,killed
încerca,try
dispărut,missing
voastră,your
întâlnire,meeting
unii,some
cheamă,call
haideţi,come on
şase,six
ieşit,exit
fara,free
complet,completely
dragoste,love
zece,ten
povestea,the story
niciodata,never
sincer,sincere
arăt,show
dreapta,right
laşi,leave
scrie,write
opri,stop
unu,one
obicei,custom
dumneavoastră,your
viitoare,upcoming
vechi,old
aştept,look
îti,you
fugi,run
minut,minute
însă,but
afaceri,business
ţie,to you
plăcea,like
michael,michael
şti,know
mâncare,food
dă-i,gives them
ajung,get
picioare,legs
anul,the year
schimb,change
întrebare,question
aer,air
atâta,so much
charlie,charlie
puternic,strong
toţii,all
rămâi,stay
aminteşti,remember
furat,stealing
intra,get in
ajutorul,help
cafea,coffee
vad,I'm seeing
promit,I promise
poveste,story
frank,frank
scuză-mă,pardon me
gândeam,thinking
deoarece,because
treci,Skip
toata,all
lucrez,I'm working
luptă,the fight
film,movie
întrebat,questioned
prietene,friend
cat,How
anume,certain
mamei,mother
plece,GO OF
bineînţeles,of course
sa-i,to them
mână,hand
mor,I am dying
vedere,view
iubito,honey
seară,in the evening
pana,until
dăm,give
întrebări,question
inca,yet
dreptul,the right
ceilalţi,the others
lupta,the fight
sa-mi,me
apa,the water
caut,I search
voie,will
george,George
lucrat,wrought
săptămână,week
le-a,them
doctore,doctorate
personal,personal
agent,agent
joe,joe
tom,tome
dracului,hell
femeia,woman
super,Super
fete,girls
sã,to
ajute,help
cunoşti,know
puterea,the power
căpitane,Captain
birou,office
david,Davide
pregătit,prepared
mike,mike
celor,the
york,york
adaptarea,the adaptation
mesaj,message
omoare,kill
prietena,girlfriend
meargă,go
gândeşti,think
doresc,I want
dor,longing
staţi,stay
cui,nail
masina,car
absolut,absolute
aceeaşi,same
acele,those
persoane,people
accident,accident
fiind,being
sunteti,are
dl.,Mister.
crimă,crime
părinţii,the parents
evident,obvious
mi-au,me
simte,feels
pierde,lose
l,it
încerci,try
oamenilor,people
ordine,order
domnului,Mr.
spunem,tell
schimba,change
ţin,I hold
uiţi,look
noua,nine
stare,condition
mici,sMALL
continuă,keep going
învăţat,learned
rând,row
salvat,saved
ce-a,the
băiatul,boy
trimite,send
plan,plan
stă,stands
caută,search for
speriat,scared
folosi,use
urăsc,I hate
planul,the plan
fiule,sonny
m-au,me
suna,sounds
închis,closed
m,m
stie,know
foame,hunger
citit,read
secret,secret
lucrează,work
omor,murder
clipă,moment
ţii,keep
mulțumesc,thanks
simţit,sense
privire,look
cauţi,look
presupun,I suppose
văzut-o,saw it
opreşte-te,stop
masă,table
alta,other
fetele,girls
armă,weapon
cere,ask
carte,book
max,MAX
află,find out
femeile,the women
teamă,the fear
rapid,fast
termină,finish
bea,drink
mii,THOUSAND
atat,both
veniţi,coming
zona,area
potrivit,right
asculta,listen
noştri,our
vostru,your
atent,careful
ascultă-mă,hear me out
oprit,torn off
primi,receive
dintr-o,a
acasa,the home
tatălui,father
băut,drinking
dragostea,love
cartea,book
alături,together
mintea,minds
lumina,the light
masa,table
că-i,it's
priveşte,look
întreaga,around
echipă,team
arme,arms
ocupat,busy
cina,dinner
gură,the mouth
droguri,drugs
baie,bathroom
aduci,bring
cuvânt,word
oară,time
stea,star
deschis,open
ocup,deal
dormi,are you sleeping
putere,power
dna,Ms
precum,like
corpul,the body
răspunde,reply
răspuns,answer
poliţie,police
las-o,let her
aminte,memory
intre,between
oraşul,the city
pericol,danger
şeful,head
începem,Started
ies,out
nebunie,madness
săptămâna,week
n,n
uită,forget
bravo,Bravo
rost,sense
dnă,Ms
iubit,beloved
puteam,could
credeţi,think
n-are,n is
plin,full
câştigat,win
altul,another
spuneţi,tell
fericită,happy
luat-o,took
v-aţi,you
lună,month
fugit,FLED
vedeţi,see
aceşti,these
cealaltă,other
ti-am,I've
decis,determined
continua,keep going
modul,module
scumpo,sweetheart
încep,start
interesant,interesting
fiţi,be
crăciun,Christmas
peter,peter
petrece,spend
celălalt,the other one
control,control
căzut,fell
rănit,injured
secunde,seconds
tem,fear
punct,point
tati,Daddy
noul,the new
henry,henry
totdeauna,always
fundul,ass
crescut,grown
tras,fired
scoate,take out
slujba,job
calea,path
ajuţi,help
greşeală,mistake
supărat,upset
james,james
găseşti,find
doamnelor,Ladies
promis,promise
regele,The King
conduce,lead
scăpat,got rid
acestui,this
situaţia,the situation
sens,sense
vorbească,speak
um,um
luna,month
scuzaţi-mă,excuse me
grija,care
cină,dinner
chestii,things
ajutat,helped
vede,sees
băiete,boy
spunea,said
c,c
imposibil,impossible
diferit,different
doare,it hurts
vremea,the weather
arata,to miss
aseară,last night
acestei,this
luaţi,take
întorci,return
rece,cold
n-au,they have
permite,Enable
ţi-e,to you
picioarele,legs
lucrezi,You work
n-aş,nose
avocat,lawyer
ben,ben
atenţie,Careful
paul,Paule
printre,through
câţiva,a few
vieţii,life
prinde,catch
negru,black
muzica,the music
d,d
hey,hey
serviciu,service
v-a,you to
merită,deserve
informaţii,information
rămân,remain
cuvinte,wORDS
ajungem,get
persoana,the person
aveti,you have
hotel,hotel
periculos,dangerous
atac,attack
legătura,link
micul,Breakfast
inainte,before
petrecut,spent
indiferent,indifferent
drăguţă,sweetheart
opt,eight
general,general
proastă,stupid
unde-i,Where
distrus,destroyed
termina,finish
scos,out
numit,appointed
ultimele,latest
america,America
aflu,find
viitor,future
plătit,paid
părea,look
par,hair
propria,own
moară,mill
afacere,business
poliţist,policeman
care-l,that it
aruncat,threw
ascuns,hidden
trec,I pass
adevarat,true
doctorul,doctor
încet,slow
baza,the base
alex,Alexi
aur,gold
apărut,published
folosesc,use
cuvântul,the word
voastre,your
dorit,wanted
succes,success
mâncat,eat
decat,than
arăta,to miss
devine,gets
le-ai,you
ştia,knew
plecaţi,Depart
câine,dog
mary,Maryse
dv,your
unchiul,uncle
băieţii,boys
ăia,that
voia,will
sistemul,the system
motivul,the reason
întâmple,happen
închide,hang up
felicitări,congratulations
lumii,world
jocul,the game
sângele,blood
pierd,lose
familiei,Family
vroiam,I wanted
ajungi,get
trăiesc,I'm alive
cumpărat,bought
moartă,dying
nava,vessel
i-au,I take
diseară,tonight
mori,die
danny,danny
nenorocit,wretched
avion,plane
înţelege,understand
împuşcat,gun
incredibil,incredible
aştepta,wait
real,real
născut,born
locuri,seats
intru,enter
deveni,become
diferite,differently
harry,harry
doilea,second
întoarcem,return
secundă,second
jimmy,jimmy
tatal,FATHER
ce-ar,Why would
aș,I would
ne-au,us
slujbă,work
nu-ti,not your
t,t
ce-am,what I have
lista,list
bate,beat
stăm,stay
linişte,Quiet
bere,beer
plină,full
rea,bad
apropo,by the way
păcat,sin
semn,signal
dimineata,morning
pas,step
câţi,how many
nord,north
petrecerea,party
gasit,finder
tony,tony
crede-mă,believe me
deasupra,on top
salva,save
observat,noticed
sarah,sarah
trezit,woken up
punem,we
ti,you
final,final
nick,nick
lucra,work
atinge,achieve
ajută-mă,help me
pai,Well
ne-ai,we have
sfârşitul,end
jim,jim
tânăr,young man
minţi,lying
lasa,leave
bolnav,sick
fă-o,do it
minunată,wonderful
ajută,it helps
sufletul,soul
omori,kill
exemplu,example
tai,your
poți,You can
fund,background
deşi,although
companie,company
descoperit,found
poartă,gate
lungă,long
stânga,Left
alb,white
întâlnim,meet
deranjează,disturb
trimit,send
grămadă,heap
întrebi,ask
funcţionează,working
nicăieri,nowhere
okay,Okaya
piciorul,leg
sala,Hall
oferit,given
cadou,gift
nimănui,anyone
iubire,love
bar,bar
întoarce-te,come back
jane,jane
joci,play
noastra,Our
legat,tied up
sud,south
you,you
credem,think
morţi,dead
verificat,verifier
magazin,store
încercăm,we try
următorul,next
mergeţi,go
pari,you seem
şapte,seven
lăsăm,leave
cuiva,ANYONE
scot,out
trăi,live
iisuse,Jesus
vorbesti,talk
mulţime,LOT
să-ti,to your
ray,ray
părul,the hair
uşă,door
oriunde,anywhere
ştiai,you know
depinde,depends
richard,richard
bill,Billie
zilele,days
doreşti,want
grea,tough
simti,feel
arestat,custody
viitorul,the future
port,I'm wearing
căpitanul,the captain
hainele,the clothes
capăt,end
adevărată,true
respect,respect
episodul,Episode
ţară,the country
detectiv,detective
singuri,themselves
iubeşti,love
rupt,torn
don,don
inapoi,back
joacă,play
grup,group
conduc,I am driving
intamplat,happen
primesc,I'm getting
vis,dream
intampla,happen
intr-o,a
chemat,called
bob,grain
securitate,security
idiot,idiotic
recunosc,Recognize
aştepţi,wait
alţii,others
ambele,both
punctul,the point
billy,billy
încetează,ends
tommy,tommy
apartamentul,apartment
alege,choose
mijlocul,middle
glumeşti,You're kidding
mda,mda
bătut,beaten
fetelor,girls
ce-ţi,what you
armele,weapons
interesează,AFFECTING
aveai,had
paris,Paris
cine-i,Who
oare,really
număr,number
armata,army
pariu,bet
ia-o,take one
criminal,criminal
mutat,moved
majoritatea,most of them
suni,call
compania,company
sosit,arrive
căutat,looked up
regina,Queen
părăsit,leave
iată,there it is
adresa,Address
celelalte,other
veşti,news
sezonul,season
pierzi,You lose
strada,the street
ascunde,hide
metri,Metra
calmează-te,be calm
de-al,hill
cheia,the key
numesc,call
vorbă,words
jake,jake
ceai,what do you have
urât,ugly
minţit,lied
angajat,employee
ducem,take
stradă,the street
încoace,here
marea,the sea
puteti,you can
afacerea,business
surpriză,surprise
aşa-i,huh
trag,shoot
ajungă,reach
jucat,played
importantă,importance
frumoase,beautiful
asigur,assure
prietenă,girlfriend
steve,patience
usor,Easy
chestie,stuff
johnny,johnny
urmează,it follows
făcea,was
ni,us
glumă,joke
purta,BEHAVE
misiune,mission
cal,horse
bărbaţi,Barbie
plătesc,I pay
curat,clean
ce-mi,what I
clasa,class
iese,out
prostii,Nonsense
distractiv,entertaining
aşteptat,waiting
apel,call
juca,play
of,of
mişcă,move
club,club
e-n,E-n
ţara,the country
multi,many
aşteptaţi,wait
rândul,row
părinte,parent
beau,I drink
dovezi,evidence
aşteptăm,we are waiting
continuare,continuation
scurt,short
distruge,destroy
trecem,get
rege,king
părere,opinion
des,frequently
cont,account
cã,that
sergent,sergeant
m-aş,I would
mănâncă,EATING
câteodată,sometimes
căsătorit,married
nebună,madwoman
gândeşte-te,think
daţi,give
will,WILLIAM
întârziat,delayed
puternică,strong
onoare,honor
faca,make
vârsta,age
întâlnesc,meet
obține,Achieve
sînt,are
habar,idea
filmul,the movie
dura,last
dintr-un,a
american,American
lasă-l,let him
mami,Mommy
dulce,sweet
iubeşte,loves
intri,get
veche,old
porţi,GATES
ţinut,land
propriul,own
durere,pain
apare,appear
usa,door
dorm,I'm sleeping
baltă,puddle
placă,plate
opreşte,stops
gândi,think
londra,London
zonă,area
bunica,grandmother
scuzaţi,excuse
carne,meat
ne-ar,We would
asteapta,Wait
următoarea,following
scape,escape
căutăm,we are looking for
mişca,move
km,km
oferi,offer
vocea,the voice
devin,are
rugăm,Please
faceti,make
centrul,the center
mulţumim,thank you
domnişoară,Ms.
bobby,bobby
adica,meaning
mişto,cool
controlul,control
vorbind,speech
haine,clothes
uita-te,Look
pământul,earth
total,total
gol,naked
vinovat,guilty
teren,ground
linia,the line
spectacol,show
aflăm,are
dificil,difficult
m-ar,Apple
ratat,lame duck
lung,long
fbi,FBI
războiul,the war
dra,Miss
soldat,soldier
prostie,folly
condus,driving
sute,HUNDREDS
legea,the law
invitat,guest
ați,you
zbor,flight
dejun,breakfast
ha,Ha
eddie,eddie
formă,form
numeşte,called
obosit,tired
sunteți,you
ducă,lead
proces,trial
descurc,handle
puţină,some
focul,fire
bătrân,old
aşadar,therefore
lăsaţi,flabby
ruşine,shame
opresc,stop
apropie,COMING
uimitor,amazing
grăbeşte-te,hurry up
urmărit,followed
pauză,pause
săturat,saturating
aveau,had
convins,convinced
ţi-o,and a
groaznic,terrible
răspunsul,the answer
lumină,the light
cutie,box
charles,charles
plimbare,walk
schimbă,change
radio,radio
inimă,heart
perfectă,perfect
robert,robert
necesar,necessary
soţie,wife
găsească,FIND
public,public
problemele,problems
plăti,payment
superi,upset
afli,are
dans,dance
ryan,ryan
nunta,Wedding
wow,wow
dră,DRA
datoria,duty
scrisoare,letter
ti-a,did he
daniel,daniel
ceasul,the watch
limba,language
având,With
discutăm,discuss
norocos,lucky
energie,energy
milion,million
dormit,sleep
dragul,dear
acei,those
excelent,excellent
marele,great
pună,Puna
termin,finish
motive,reason
mâncarea,the food
dincolo,beyond
mica,small
iasă,out
dă-te,Get
oricare,either one
victima,victim
vi,you
obţine,Achieve
uitaţi,Remember
casei,house
arătat,showed
mark,MARKOS
mi-aş,I would
unor,of
baieti,boyish
apreciez,I appreciate
favoare,favor
date,data
fir-ar,Damn
mâini,hands
şcoala,school
mişcare,motion
ascult,listen
ridicol,ridiculous
stop,Stop
i-ar,and
ala,that
avionul,the airplane
rugat,asked
lase,leave
câştiga,win
crimei,murder
mănânci,eat
acces,accession
sistem,system
cald,warm
apartament,apartment
explic,explain
iad,hell
macar,even
doriţi,want
frumoasa,beautiful
mândru,proud
lee,lee
morţii,death
cheile,keys
întrebarea,the question
preşedinte,chairman
veti,will you
păcate,Unfortunately
călătorie,travel
implicat,involved
adam,adamant
rămână,stay
somn,sleep
mânca,eat
chris,chris
spune-le,Tell
hmm,hmm
aşteptam,we are waiting
ridică-te,Arise
tipi,guys
liberă,free
te-au,you have
găsit-o,found
câinele,dog
creat,made
verde,green
scriu,write
maria,increase
profesor,professor
ofiţer,officer
rezolva,solve
listă,list
extrem,extremely
bei,bey
huh,huh
muzică,the music
verific,CHECK
bază,the base
secrete,secret
dan,dan
frica,fear
păr,hair
prânz,Lunch
sotia,wife
ăsta-i,that's
moare,dies
siguranta,safety
martin,Martini
fierbinte,hot
animale,animated
pete,spots
miroase,it smells
arate,plowing
prezint,present
că-mi,that I
navă,vessel
începi,start
ceri,ask
iesi,out
intr-un,a
şef,head
îngrijorat,anxious
trăit,lived
cuvintele,words
oras,Town
neregulă,wrong
pahar,glass
creierul,brains
scăpa,get rid
bănuiesc,I presume
