Romanian,English
regulile,rules
iubirea,love
misiunea,mission
permis,allowed
oprim,stop
inseamna,means
existat,there
atacat,attacked
corp,body
practic,practically
vinde,sell
est,east
a-l,to him
l-aţi,you
ridicat,picked up
bunicul,the grandfather
neagră,black
eric,eric
urgenţă,expedite
perioadă,period
treacă,passing
puțin,little bit
tipii,yell
ieşim,out
datorită,due to
programul,program
kate,kate
tv,tv
cunoaşte,know
lucrul,working
lasa-ma,let me
kevin,kevin
vândut,sold
înţelegere,understanding
trist,sad
băutură,drink
asculţi,listen
decizia,Decision
îndrăgostit,lover
interior,inside
durerea,pain
viu,alive
and,and
si-a,and
avocatul,lawyer
it,it
interiorul,within
atâtea,many
te-ar,You would
băgat,involved
supărată,upset
conform,conformable
aruncă,throws
cadavrul,body
că-l,horse
vizită,visit
revenit,return
blocat,blocked
guvernul,government
linie,line
lovitură,coup
or,or
c-o,c-a
trăiască,live
amy,amy
bărbaţii,men
tragi,shoot
mesajul,the message
explica,explain
pregătită,ready
poată,can
frig,cold
to,to
părut,thought
stim,We know
scott,scott
thomas,thomas
sir,row
situaţie,situation
vârstă,age
san,breast
trăieşte,lives
mi-o,Me
afle,learn
liceu,high school
plăcută,pleasant
agentul,agent
atins,reached
grozavă,great
regret,regret
foloseşte,uses
rele,bad
interesat,interested
degrabă,rather
căuta,search for
făcută,made
picior,foot
acestor,these
walter,walter
arunca,THROW
întuneric,darkness
inteligent,intelligent
brian,brian
cărţi,books
comanda,command
stricat,broken
contact,contact
fericire,happiness
treia,third
nu-şi,not and
înaintea,prior to
pădure,forest
ordin,order
soarele,sun
vorbiţi,do you speak
nuntă,Wedding
lungul,over
prind,catch
decizie,decision
relaţie,relationship
stiti,know
hotărât,decided
încântat,Pleased
privinţa,regard
că-ţi,how many
viața,life
preşedintele,President
dur,rough
şefu,governor
poarta,gate
larry,larry
copiilor,children
membru,member
ocazia,opportunity
întâlni,meet
mr,mr
uităm,look
bord,board
ocupa,busy
surprins,surprised
tara,the country
tânără,girl
descurci,deal
armată,army
puteai,could
citesc,I read
sticlă,glass
da-mi,give me
toți,all
anii,years
nu-s,I'm not
distanţă,distance
şansa,chance
tăiat,cut
trăieşti,live
dat-o,given
speram,hope
de-aici,from here
oricând,whenever
cauză,Cause
iartă-mă,excuse me
întrebam,wondering
animal,animal
mănânc,eat
poze,PICTURES
ultimii,recent
ţi-ar,you would
culcare,sleep
taxi,taxi
restaurant,restaurant
realizat,accomplished
dragule,dear
martor,BLANK
crima,crime
patul,the bed
culcat,lying down
ce-o,what a
unchiule,uncle
rachel,Rachelle
curent,current
beat,drunk
team,fear
vreodata,ever
ridica,pick up
gunoi,trash
soare,sun
erou,hero
cateva,some
îți,you
alţi,other
jason,jason
costum,costume
gât,neck
pregătiţi,prepared
continui,continue
raportul,the report
roşu,Red
anna,anna
istoria,the history
zilei,day
impreuna,together
unite,United
bucătărie,kitchen
schimbare,change
starea,mood
foloseşti,use
nivel,level
lipseşte,missing
plânge,cry
responsabil,responsive
întoarcă,return
vest,west
suflet,soul
iubitule,boyfriend
bătaie,beat
aducă,bring
nivelul,the
omorî,kill
scenă,scene
test,test
vorbeam,talking
maine,tomorrow
nenorocitule,motherfucker
d-na,Ms.
praf,dust
milă,mercy
ucidă,killing
tarziu,Late
pierdem,lose
proteja,protect
barca,Boat
inceput,beginning
aproximativ,approximate
intrăm,enter
nasul,nose
comun,common
spuneam,said
clipa,moment
kim,kim
rezolvat,solved
bogat,rich
chestiile,things
acelasi,same
pielea,skin
albă,white
urme,all
prezent,present
bem,we drink
jerry,jerry
făceam,doing
stiam,I knew
importante,important
emily,emily
facut-o,done it
creadă,think
poză,picture
reală,THE REAL
construit,built
locuiesc,I live
crime,crimes
maşini,machinery
iubita,girlfriend
judecător,judge
luptat,FOUGHT
nopţii,night
scoala,school
bucată,piece
meci,match
cumpăr,I buy
căutarea,the quest
întreba,ask
oficial,official
sexy,sexy
ascultaţi,listen
video,video
îndoială,doubt
ofer,I offer
poliţiei,police
bărbatul,man
oraşului,city
nr,No.
sine,itself
li,them
inteleg,understand
departamentul,department
fantastic,fantastic
matt,Matta
program,time schedule
cunoştinţă,acquaintance
n-avem,we have
cutia,box
kelly,kelly
andy,andy
sperăm,hope
l-ar,would
partenerul,partner
poza,picture
conduci,lead
mile,miles
laborator,laboratory
claire,CLAIR
biserică,the church
valoare,value
amândouă,both
culoare,color
flori,FLORA
mint,lie
pâna,until
bag,bag
păţit,happened
durează,takes
lisa,lisa
sti,know
grav,serious
uciderea,killing
annie,annie
washington,Washington
istorie,history
kyle,kyle
şi-au,have
te-aş,I would
gâtul,neck
pasa,pasha
jucăm,play
vineri,Friday
curaj,Courage
specială,special
planuri,plans
bat,knock on
atenţia,Caution
ia-l,take him
intraţi,come in
fotbal,football
ucid,killing
ciudată,weird
magazinul,shop
luke,luke
chem,call
pară,pear
niciunul,no one
anumite,some
gheaţă,ice
accepta,accept
locotenente,Lieutenant
bancă,the bank
spaţiu,space-bar
judecată,judgment
adu,get
aranjat,trim
liniştit,quiet
adânc,deep
planeta,the planet
jeff,jeff
realitate,reality
discutat,discussed
lipsit,absent
puteți,you can
însărcinată,pregnant
venim,come
trecutul,past
ars,burnt
scopul,the goal
clădire,building
înca,yet
vreti,want
nevinovat,innocent
a-i,of them
oprească,stop
verifica,check it out
filme,movie
sune,sound
alice,shot
sean,sean
scapi,Lose
soră,sister
risc,risk
insula,the island
întreg,whole
visul,the dream
rolul,the role
inteles,meaning
roma,Rome
banca,the bank
dosarul,file
urmele,footsteps
lapte,milk
emma,emma
tren,train
gust,taste
scoatem,out
william,william
măsură,measure
nervos,nervous
trenul,the train
tineri,young people
soţ,husband
isi,their
televizor,TV
simon,simon
scena,scene
să-ți,your
fiului,son
poziţia,the position
curs,course
întâlnirea,the meeting
ordinele,orders
eliberat,ISSUED
mingea,the ball
aparţine,belongs
râs,laugh
fals,fake
creşte,grow
pereche,pair
idiotule,idiot
suferit,suffered
slab,weak
răspund,answer
încolo,away
refuzat,declined
acceptat,accepted
taie,cut
ţină,take
miezul,middle
clark,clark
purtat,worn
centru,center
chef,binge
secretul,the secret
ti-ai,You
ia-ţi,take your
lupte,battles
i-o,and a
albastru,blue
căpitan,captain
sută,hundred
deschisă,Open
dovadă,proof
deoparte,aside
aveți,you have
ascultat,listened
accept,I accept
fa,fa
seamănă,resembles
lucy,lucy
dispari,get lost
altele,more
urcă,get on
primeşti,you get
rahatul,shit
găseşte,find
încercam,we try
destule,enough
locuieşte,lives
ted,ted
geanta,bag
reuşi,SUCCEED
dave,dave
descurca,disentangle
curtea,court
calm,calm
gresit,wrong
stiut,know
tii,know
începutul,early
director,director
ucis-o,killed
nenorocitul,wretched
bilet,ticket
naştere,birth
copilului,baby
relaţia,the relationship
prefera,prefer
cumpăra,buy
camere,rooms
scaun,seat
recent,recently
spart,broken
suport,support
leo,leo
excepţia,except
fred,fred
iubitul,boyfriend
discuta,talk
opreşti,stop
târfă,slut
descurcat,done
imagina,imagine
arde,burn
închid,close
capabil,able
suspect,suspect
adio,Farewell
profesorul,teacher
serie,series
monstru,monster
obişnuit,normal
lipsa,lack
jackson,jackson
voce,voice
anglia,England
plajă,Beach
încercând,trying
locotenent,lieutenant
raport,report
arthur,arthur
veste,news
părerea,opinion
vorbeste,speaks
sentimentele,sentiments
prefer,I prefer
sansa,chance
autobuz,bus
trupul,body
păstra,keep
chicago,chicago
cod,code
carl,carl
renunţat,given up
m-aţi,I have
principal,main
minciună,lie
hârtie,paper
legatura,link
mana,hand
cuplu,couple
doreşte,wants
model,model
propriu,own
ocupă,busy
înşelat,deceived
apropiat,near
facultate,faculty
îngrozitor,terrible
căsătorie,marriage
lucrăm,I was working
concediat,fired
distracţie,amusement
b,b
reprezintă,represent
răni,wound
cântec,song
acoperire,covering
știe,know
creier,brain
sărut,kiss
biserica,the church
directorul,the principal
preţ,price
cai,repent
stabilit,established
forma,form
calul,the horse
post,post
piele,skin
inclusiv,inclusive
tinere,young
transformat,transformed
scap,shake
viață,life
salvez,save
mâncăm,eat
semnalul,signal
semnat,signed
odata,once time
folosim,we use
oribil,horrible
sotul,husband
rose,redness
codul,the code
regelui,King
rochia,dress
pleaca,leaves
joace,play
c-am,c I
terminăm,done
binele,good
totusi,however
pizza,the pizza
apucat,started
cariera,career
peşte,over
reusit,successful
făcute,made
degetul,finger
slavă,glory
bombă,bomb
înteleg,understand
carter,carter
forţa,force
intotdeauna,ever
alan,alan
arunc,throw
omoară,killing
dovedit,proven
primele,first
ţi-aş,I would
devii,become
puncte,puncture
client,client
sperie,hope
uşurel,gently
gasi,find
costă,cost
înnebunit,mad
clubul,club
referi,refer to
lasat,dropped off
soarta,fate
întreabă,asks
ocupi,deal
ed,ed
porc,pig
recunoscut,recognized
devină,at fault
lege,law
pistol,pistol
pornit,on
timpului,time
alegere,choice
spuneai,say
ridică,pick up
imagine,image
scoţi,out
sună-mă,call me
înveţi,learn
umană,humanity
necazuri,trouble
comandantul,commander
cazuri,cases
plătească,pay
pistolul,gun
acţiune,action
pricep,good
sat,village
experienţă,the experience
procesul,the trial
vai,Oh my
bară,bar
josh,Joshua
trezeşte-te,look alive
modalitate,method
făcând,making
nas,nose
louis,louis
aeroport,airport
întreagă,full
ooh,ooh
teme,themes
vremuri,time
d-nă,Mrs.
aducem,bring
complicat,complicated
camion,truck
clientul,customer
fotografii,photos
cumperi,buy
piatră,Stone
politia,the police
impresia,the impression
rămânem,stay
pariez,pariah
cadavru,corpse
uitaţi-vă,look
subiect,topic
jenny,jenny
înţelegeţi,understand
respiră,just breathe
schimbe,CHANGE
deschid,open
cândva,sometime
chuck,chuck
înteles,meaning
hank,hank
calitate,quality
oferă,offers
momente,moments
grace,Graca
gay,gay
doarme,is sleeping
privind,looking
poliţişti,police
idei,ideas
gary,gary
fotografie,photo
mijloc,middle
dovedi,prove
generalul,General
lire,£
plăcerea,pleasure
viteza,speed
bagi,put
serviciul,service
pantofi,Shoes
phil,phil
verifică,check it out
planetă,the planet
scumpule,deary
fugă,flight
inelul,the ring
ticălos,villain
perioada,period
ascunzi,hide
ghici,guess
ţi-l,and it
mm,MM
razna,run wild
ciudate,BIZARRE
colonel,colonel
rupe,break
internet,Internet
miros,smell
copac,tree
bomba,bomb
ţinem,keep
alegerea,election
taylor,taylor
cheie,key
reveni,return
siguri,safety
discuţie,discussion
acuzat,accused
clădirea,building
relaxează-te,relax
obţinut,obtained
potriveşte,FIT
medicamente,drugs
vara,summer
perete,wall
clasă,class
uite-l,forget it
mirosul,the smell
prindem,catch
partener,partner
laura,laurel
fostul,former
întregi,complete
săi,his
scrii,write
caute,look
piept,chest
podea,floor
medic,doctor
sua,US
semnal,signal
van,vain
vieţile,creature
salveze,save
probe,samples
ceas,clock
pantaloni,pants
face-o,doing a
nebuni,crazy
plecam,leave
cinste,honor
înceapă,start
râde,laugh
spus-o,said it
ura,hatred
mi-l,I it
refer,mean
înalt,high
fereastră,window
detalii,details
deştept,smart
victor,Victor
tie,to you
citi,read
city,city
extraordinar,extraordinary
susan,sesame
bolnavă,sick
mătuşa,aunt
glumesc,kidding
plăteşti,You pay
cărţile,books
simplă,simplicity
cinstit,honest
probă,sample
permisiunea,permission
sperii,scare
conducere,lead
sport,sports
credit,credit
europa,Europe
petrec,spend
ucizi,kill
termine,complete
astazi,today
victime,casualty
propriile,own
aleg,I choose
privesc,I'm watching
camerele,rooms
uman,human
vând,I sell
norocul,luck
miss,miss
cînd,when
pantalonii,pants
zero,zero
supraveghere,surveillance
mulțime,LOT
isus,Jesus
fratelui,brother
barbat,man
lady,lady
comandă,command
jocuri,Games
termini,finish
căutaţi,searching for
rock,rock
luam,take
sărit,jumped
dispus,willing
libertate,freedom
weekend,weekend
barcă,Boat
îndoiesc,doubt
joey,joey
gratis,gratis
părăsi,leave
lucreze,working
cancer,cancer
încercare,test
spectacolul,show
arunci,throw
aude,hears
sentiment,feeling
câştig,I earn
adevarul,truth
speranţă,the hope
stele,stars
ţi-au,you have
schimbi,CHANGE
vroia,wanted
treilea,third
parc,Park
anunţ,ad
ajutăm,help
rezultatele,results
criminalul,the killer
roger,roger
linişteşte-te,compose yourself
minune,marvel
alegi,choose
fericiţi,happy
afacerile,business
miere,honey
morgan,morgan
rochie,dress
domn,gentleman
fine,end
credea,thought
niște,some
case,houses
şefule,governor
intrare,entry
contra,versus
învăţ,learn
onoarea,honor
testul,test
chema,call
urmat,followed
deranjez,bother
los,los
folos,use
dovada,proof
proaste,WORST
stilul,style
voiai,wanted
cânta,sing
locurile,seats
cursă,race
sint,are
apar,appear
ho,ho
oferta,offer
maggie,maggie
dlui,Mr.
priviţi,look
imaginea,picture
scrisoarea,letter
amintit,recalled
prezenta,present
genunchi,knee
conteaza,counts
celui,the
chestiune,thing
câştigă,win
amin,Amen
învăţa,learn
ocazie,occasion
adu-mi,get me
bătrânul,the old man
trăim,live
grade,degrees
brusc,suddenly
apropiere,approach
victimă,victim
julia,scratch
cântă,sing
umane,humanity
speciale,specious
dumneavoastra,your
spitalul,the hospital
scapă,get rid
omului,human
gândim,think
rezista,resist
însemna,mean
grupul,the group
asigura,ensure
abby,abby
california,California
teribil,terrible
pregătesc,prepare
ordinul,the order
karen,karen
planurile,plans
tim,tim
aiurea,elsewhere
tribunal,law court
dezastru,disaster
urmăresc,follow
lovitura,coup
spiritul,the spirit
consiliul,council
vacanţă,holidays
fraţii,brothers
cursul,the
iubi,love
red,red
etaj,floor
sabia,kill with a sword
julie,scratch
pantofii,shoes
smith,smith
gaură,hole
catre,by
ştiri,news
iesit,out
china,China
victoria,VICTORIA
tabără,camp
serioasă,serious
artă,the art
capcană,trap
gandit,thought
jesse,Jess
dean,dean
controla,control
me,me
l-aş,coward
roşie,Red
aventură,venture
zicem,say
patrick,patrick
bucuros,happy
man,man
sara,salt
sâmbătă,Saturday
scop,purpose
soldaţi,soldiers
colonele,Colonel
insulă,the island
existe,there
scaunul,seat
arată-mi,show me
elizabeth,elizabeth
mandat,mandate
uiti,look
acelea,those
aceştia,these
ciuda,despite
sfat,advice
astept,expect
bilete,ticket
jones,jones
implor,beg
uitam,watching
pacient,patient
ieşiţi,exit
baţi,Bati
sari,jump up
poporul,people
preţul,price
operaţie,operation
soţiei,wives
lăsaţi-mă,let me
dragut,cute
simtă,sense
lovi,hit
st,st
decide,decide
repet,repeat
echipei,team
vestea,news
vânătoare,hunting
reguli,regularly
îsi,his
curte,yard
treaz,awake
ocupată,occupied
poziţie,position
animalele,animals
haideti,come on
credeai,thought
cind,WHEN
vorbea,speaking
costa,cost
dreaptă,right
legate,bound
toaletă,WC
aminti,to lie
curajul,courage
răi,heaven
maior,major
puneţi,place
big,big
postul,the post
mănânce,eat
poliţiştii,cops
pisica,the cat
sticla,glass
fetiţă,daughter
răspunzi,answer
citeşti,read
aceleaşi,same
adormit,sleepy
ieşire,exit
anului,year
c-ai,c-You
costumul,suit
cauta,search for
hitler,hitler
uşoară,easy
comandante,Commander
mobil,mobile
ascund,HIDING
actele,acts
plâng,cry
cartier,neighborhood
puştiul,kid
libertatea,freedom
băieți,boys
domnişoara,GIRL
golf,golf
mac,Mac
duminică,Sunday
găsiţi,find
visat,dream
puşti,kid
rezistă,resist
proiect,project
fă-mi,make me
americani,American
curajos,brave
sentimente,feeling
deranja,bother
închisă,closed
sase,six
duş,shower
respectul,respect
lasi,leave
schimbul,exchange
placi,boards
pe-aici,around here
lily,lily
molly,molly
merita,deserve
energia,power
vizita,visit
degetele,fingers
detectivul,Detective
visele,dreams
telefoane,telephones
cumpere,equilibrium
incercat,tried
haina,coat
cursa,race
r,R
memoria,memory
zău,really
recunoaşte,recognize
salvezi,save
fug,fleeing
îndreaptă,in the right
puterile,powers
yeah,yeah
ciocolată,Chocolate
plângi,cry
vincent,vincent
renunţ,quit
pricepi,understand
etajul,floor
cunoaştem,know
ştiinţă,science
sally,sally
termen,term
revin,return
park,parka
u,u
ador,I adore
personale,staff
charlotte,charlotte
soluţie,solution
act,act
acuma,now
continuăm,we continue
dumneata,you
pâine,bread
le-au,they
amanda,amanda
mi-aţi,I have
interviu,interview
iisus,Jesus
inventat,Invented
fermă,the farm
sa-si,to and
încercaţi,try
vechiul,old
nathan,nathan
boala,disease
piatra,Stone
generale,generous
unitatea,unity
goală,GOAL
preot,priest
trezesc,awake
muta,move
ţinta,aim
normală,normal
subiectul,the subject
presupune,assume
spirit,spirit
străzi,ROADS
confortabil,comfortable
amintesti,remember
călătoria,trip
datele,data
puternice,strong
firma,Company
considerare,account
contract,contract
speriată,scared
furios,furious
tratament,treatment
semne,mark
forţă,force
primii,the first ones
barry,barry
preferat,favorite
viată,life
ochiul,eye
geniu,genius
africa,Africa
următoare,following
tipule,dude
mesaje,posts
no,no
howard,howard
rămâneţi,stay
suporta,support
îndată,soon
puştiule,kid
minciuni,lies
ouă,eggs
traducere,translation
lăsat-o,left a
jackie,jack
apărare,defense
pod,bridge
rick,rick
zgomot,noise
scurtă,shorten
faza,phase
întregul,full
de-o,of a
nevasta,wife
c-a,that
încrederea,trust
urgent,urgent
prânzul,the lunch
helen,Helena
simtit,sense
natura,the nature
fosta,former
recunoşti,recognize
înțeles,meaning
colegiu,college
miliarde,billions
cuminte,good
parcare,parking
doc,dock
minţile,minds
câini,dog
străin,foreigner
câştigi,win
folosească,Avail
magie,magic
sală,Hall
diferenţa,the difference
mut,speechless
dorinţa,desire
ceilalti,the others
cade,fall
căci,for
priceput,skilled
suc,juice
aceia,those
coboară,get down
jaf,robbery
parker,parker
a-mi,my
legal,legal
mincinos,liar
sfinte,holy
medicală,physician
daţi-mi,let me
ilegal,illegal
tin,I hold
vegas,vegas
grele,heavy
datorez,I owe
pachet,batch
oliver,oliver
cunoaşteţi,know
ross,ROSSI
instanţă,instance
păstrat,reserved
viteză,speed
colţ,corner
cia,cia
presiune,pressure
lupt,battle
personală,staff
pământului,earth
renunţi,fold
conta,count
diferită,different
india,India
dispară,disappear
chloe,chloe
aerul,the air
păstrez,keep
fereastra,window
parca,park
vieţi,creature
teama,the fear
treburile,business
măi,May
proiectul,the project
anne,anne
hotelul,the hotel
transport,Transport
uau,WOW
intelegi,understand
angeles,angeles
răpit,ravished
gelos,jealous
proprietarul,owner
îndrăzneşti,dare
lemn,wood
ţineţi,hold
gândeşte,think
legii,laws
despărţit,split up
totii,all
gen,gender
tyler,tyler
îmbrăcat,dressed up
privirea,the look
baiat,boy
ofertă,offer
ucigaşul,killer
cafeaua,the coffee
împinge,push away
posibilitatea,possibility
apară,defend
mărturie,witness
pardon,sorry
donna,Donn
roman,Romanian
imaginez,picture
condamnat,convict
fix,fixed
fetiţa,girl
fantomă,the ghost
cânt,edge
pt,for
efect,effect
plâns,weeping
doug,Dougal
adăpost,shelter
rai,heaven
dinţi,tooth
numarul,number
audă,wet
seful,head
moale,soft
lord,lord
apropia,approach
val,wave
imagini,images
obligat,bound
dublu,double
urcat,increased
siguranță,safety
off,off
cerul,heaven
indiciu,indication
atentă,CAREFUL
demult,recently
informaţiile,information
renunţa,Give up
medical,medical
cate,each
potrivită,right
jumatate,half
cunosti,know
fiicei,girl
poveşti,fairy tales
strâns,tight
multime,lot
nate,nate
căutam,we are looking for
sugerez,I suggest
destinul,destiny
primeşte,Get
pierderea,the loss
stati,stay
isuse,Jesus
roy,roy
merci,thanks
abandonat,abandoned
n-aţi,I have
engleză,English
eraţi,erratic
încheiat,ended
iertare,forgiveness
îngrijorată,worried
prostiile,crap
protecţie,protection
stăpâne,master
opriţi,forbidden
franţa,France
băga,tuck
trădat,betrayed
ziar,newspaper
cadă,bathtub
secretă,secrete
priveste,look
local,local
teatru,theater
pilot,pilot
dacă-l,If it
presa,the press
munte,Mountain
misca,move
autobuzul,the bus
culoarea,color
şi-o,and a
katie,katie
dator,indebted
greg,Gregor
banda,band
gaura,hole
vânt,wind
jamie,jamie
brânză,cheese
robin,robin
tratat,treat
râu,bad
terry,terry
următoarele,next
satul,the village
supravieţui,survive
răbdare,patience
opreste-te,stop
v,V
nasol,crappy
transforma,transform
deschizi,open
pierdere,loss
miracol,miracle
prezenţa,present
king,king
rezolv,solve
sursa,source
curios,curious
sexul,sex
salvare,salvage
cuţit,knife
norocoasă,lucky
vie,vineyard
rol,role
atingi,touching
deocamdată,for the time being
urmări,follow
puternici,stronger
ferma,the farm
protejez,protect
ţintă,aim
scoată,out
neapărat,absolutely
aceeasi,same
bruce,bruce
pune-l,put it
nepotul,nephew
marty,marty
hol,hall
buzunar,pocket
ramas,remaining
tragă,fire
brad,fir
dezamăgit,disappointed
incredere,trust
adevăr,truth
printr-o,through
şi-ar,would
rapidă,rapid
acesti,these
ameninţare,threat
degeaba,nothing
curvă,whore
piesa,piece
însuşi,himself
adn,DNA
urmare,result
prinţul,the prince
salutare,Howdy
pedeapsa,punishment
spunând,saying
eveniment,event
caii,horses
comandat,ordered
sigura,secure
companiei,company
statul,State
supravieţuit,survival
marcus,marcus
trageţi,PULL
boală,disease
depozit,deposit
alcool,alcohol
curată,cleanse
spune-ne,tell us
arta,the art
şanse,odds
antrenor,trainer
mm-hmm,mm-hmm
star,standing
sunet,sound
valorii,vALUE
colonelul,Colonel
i-aţi,I have
langa,Besides
războiului,war
tina,clay
capătul,end
murdar,dirty
lucas,lucas
responsabilitatea,responsibility
vreunul,any
inel,ring
direcţia,direction
germania,Germany
anterioare,above
rebecca,rebecca
arati,show
dispoziţie,mood
scump,expensive
urmăreşte,follows
durat,lasted
c-ar,it would
stil,style
veniti,coming
justin,Justine
intrarea,entry
obosită,tired
ucisă,murdered
pus-o,put it
piesă,piece
proprietatea,property
vada,will give
merit,I deserve
trimită,MAIL
finală,the final
nave,ships
folosind,use
sentimentul,the feeling
iubim,love
forţele,forces
vedeti,see
jordan,jordan
mexic,Mexico
crea,create
martori,witnesses
incendiu,fire
nota,note
numeşti,call
victimei,victim
vrăjitoare,witch
atacul,attack
copie,copy
deosebit,particular
profesore,Professor
nostri,our
distrugă,destruction
whoa,whoa
gasesc,I find
focuri,shots
amintiri,memories
vas,vessel
explozie,explosion
stupid,stupid
romantic,romantic
luminile,lights
oricât,however
v-ar,cousin
kilometri,Kilometres
vinzi,sell
ordonat,orderly
d-l,Mister
politică,policy
sare,salt
scuză,excuse
zborul,flight
îngropat,buried
eh,eh
maestre,Master
andrew,andrew
familii,families
terenul,land
primar,primary
aparatul,device
catherine,catherine
cumpărături,shopping
marie,increase
privit,viewed
ușor,Easy
ghicesc,guess
proba,sample
aştepte,expect
wilson,wilson
corectă,correct
interesantă,interest
părţi,part
bucăţi,in pieces
miller,miller
reale,REAL
politica,policy
urca,get on
produs,product
derek,derek
trafic,traffic
russell,russell
şi-l,and it
căruia,which
jay,jay
adevărata,true
colegii,colleagues
atentie,Careful
a-ţi,of your
mulţumit,satisfied
johnson,johnson
sac,bag
vânzare,sale
îngheţată,ice cream
gras,fatty
bucurie,joy
astia,these
uscat,dry
cartierul,neighborhood
lac,lake
marfa,goods
cântecul,the song
vince,vince
teoria,theory
i-aş,I would
cunoscut-o,met
vară,summer
meciul,match
muncit,worked
ethan,ethan
avertizat,ADVISED
mulţumită,thanks to
excursie,trip
fan,hay
deranjat,upset
plecare,departure
cartofi,potatoes
tipa,screaming
arat,plowing
roz,pink
orasul,the city
vântul,the wind
ridici,up
mândră,pride
venind,coming
pozele,pictures
razboi,war
ataca,attack
amprentele,prints
cole,Articles
edward,edward
victorie,victory
militar,military
răzbunare,revenge
permit,allow
street,street
zbura,fly
dylan,dylan
bagajele,luggage
frankie,FRANK
comandant,commander
vechea,old
privi,look
ticălosule,motherfucker
uimitoare,amazing
dick,dick
cooper,cooperation
sănătos,healthy
respira,just breathe
mondial,world
my,my
apărarea,Protection
asistenta,assistance
adn-ul,DNA
privat,private
