Tagalog,English
nakikipagharutan,nakikipagharutan
nag-break,breaks
megumi,megumi
nagbubuga,spew
suutin,penetrate
dumadaing,cry
humahanap,seeketh
toba-fushimi,toba-fushimi
buhangin,sand
plugs,plugs
bagamat,although
butt,butt
diversity,diversity
maselan,discriminatory
napalitan,changed
gatong,fuel
umiinit,warming
nasubukan,tested
nangangailangan,needy
kilo,kilogram
hiramin,borrow
lokal,local
sumobra,overrun
impresyon,impression
dead,dead
gawaan,workshop
nakatalaga,resigned
pangangailangang,need
nagsulat,wrote
lubhang,very
celebrity,celebrities
castle,castle
magkabilang,both
photographic,photographic
natapik,glued
paikot,cyclic
mystery,mystery
nageensayo,practicing
disyertong,desert
magpagawa,build
napakaraming,too
modelong,model
kanluranin,western
mag-sex,either sex
kwenta,accounts
paglaki,growth
inayos,furnished
alat,policeman
saan-saan,everywhere
gawang,acts
lumipad,fly
tonelada,tonne
sinisira,breaking
nalilibugan,nalilibugan
hinala,suspicion
i-preorder,i preordered
tumatagos,tumatagos
usap-usapan,rumor
duktor,doctor
odawara,Odawara
nagse-sex,slept
deforestation,deforestation
plato,plate
soybeans,soybeans
ibinaba,down
mr.shishio,mr.shishio
biodiversity,biodiversity
core,core
nabalitaan,heard
makamit,gain
diapers,diapers
naubos,exhausted
pang-agrikultura,Agricultural
kinopya,copied
length,length
dumarating,inbound
nakakahiyang,embarrassing
husay,good quality
polusyon,pollution
latian,swampy
makaipon,accumulate
napakahalaga,invaluable
kotetsu,Kotetsu
ganap,full
iniluluwa,regurgitated
tag-araw,summer
lipunan,society
nilikha,creature
nagasone,nagasone
pakikipagsapalaran,adventure
kataas,tall
climate,climate
minamahal,dear
bigatin,person of importance
panggatong,firewood
kikita,earn
bumibili,buyer
patas,draw
forest,forest
ganoong,that
tanim,inset
land,land
lnyong,lnyong
kontrolin,control
gyera,war
supply,supply
bituka,intestine
puwang,gap
sumipsip,suck
solidaridad,solidarity
paghiwalayin,separate
lumaganap,spread
petrochemical,petrochemical
paggalang,courtesy
dadanak,shed
huhulihin,arrest
aling,which
nawawalang,missing
pagdurusa,suffering
nasyon,nation
rebelyon,rebellion
pinagbago,pinagbago
kontinente,continent
pestisidyo,pesticide
cells,cells
lsinumpa,lsinumpa
mamatay-tao,killer
eksperimentong,experimental
shinoo-shoot,Shinoo shoot
napakahaba,too long
mauubos,consumed
wine,wine
katunayan,fact
gigibain,demolished
accounting,accounting
hanggan,end
sumpain,damn
yugto,stage
katahimikan,silence
sulit,worth
iniluluwas,exports
baybayin,shore
pulong,meeting
kasapi,member
nagkasala,guilty
litro,liter
tine-text,tine-text
iceland,iceland
lpinagkaila,lpinagkaila
kunwari,bluff
lwan,lwan
coal-fired,coal-fired
namalayan,knew
denmark,denmark
plant,plant
hatol,judgment
electricity,electricity
bingo,bingo
simbolo,symbol
nakakaranas,experience
tiyakin,make sure
pataba,fertilizer
makapupunta,going
phenomena,phenomena
nakikitang,visible
pagligtas,rescue
ganges,Ganges
mahalagang,important
himalayas,Himalayas
katwiran,reason
paglipat,switch
maiinom,beverages
paglago,growth
table,table
pantasiya,fantasy
tanikala,cords
napakahalagang,very
binabantayan,monitors
tawaging,call
change,change
dakpin,arrest
kumot,bedding
mananandata,mananandata
susunugin,offerings
pinagsasaluhan,sharing
bumitiw,bumitiw
raffle,raffle
humahalo,blends
mabababang,low
tumataas,rising
tumutubo,growing
pang-araw-araw,day-to-day
makoto,makoto
kabaligtaran,opposite
diaper,diaper
delubyo,deluge
paunlarin,further
pipiliin,choose
ektarya,hectare
hinintay,waited
pagkasira,destruction
suwerte,good luck
military,military
gumagamit,user
pagbati,congratulations
siglong,century
kakayanin,kakayanin
maingay,noisy
angkop,suitable
kapatiran,brotherhood
pagmasdan,lo
minahal,dear
babalikan,return
teritoryong,territory
truck,truck
bayani,hero
daegu,daegu
nagkasayahan,orgy
gulay,vegetable
buhatin,lift up
pagharap,appearance
permafrost,permafrost
nalason,poisoned
mabalisa,upset
methane,methane
kontrol,control
makapagsasabi,tell
host,host
magbihis,dress
mauuna,precedence
naligtas,saved
itinanong,asked
tinatanggal,deleted
umiihi,peeing
paralisado,paralyzed
pamumunuan,lead
order,order
saree,saree
leche,Damn
research,Research
ngumiti,smile
tatanggap,recipients
bolahin,draw the lucky numbers
pictures,pictures
sakupin,seize
tapang,courage
pananghalian,luncheon
pahirap,torture
bihag,captive
base,base
chapter,chapter
induction,induction
nagte-text,texting
tinupad,fulfilled
permiso,permit
ipinakita,presented
ihi-mail,urine-mail
mahihina,weak
awayin,spar
beijing,beijing
let,Let
advanced,advanced
pagtulong,support
compound,compound
axis,axis
niligtas,saved
pencil,pencil
lead,lead
if,if
tumalon,jump
floor,floor
inihian,inihian
she,she
inarkila,enlisted
uusigin,persecuted
pulang,red
selyo,seal
ari-arian,property
napaka-cute,very cute
fafda,fafda
khakhra,Khakhra
sputnik,sputnik
karaming,many
yuck,yuck
papalitan,change
kinasal,married
patunayan,prove
maligtas,save
aabot,take
welcome,welcome
binibining,Miss
belo,veil
sumagot,reply
binti,leg
kikitain,revenue
lalagyanan,containers
isusumpa,curse
pagtatawanan,merriment
united,united
makatulog,fall asleep
bida,hero
a-ano,What a
magpapakamatay,himself
kinamumuhian,hate
ditong,here
explosion,explosion
tisoy,tisoy
baling,baling
nagde-deliver,delivering
tumpak,precise
pag-uugali,behavior
makatayo,stand
sakay,rider
nakasama,incorporated
sisigaw,cry
skipped,skipped
ipalalabas,be shown
magkakatrabaho,magkakatrabaho
sinisiguro,ensures
ahitin,shave
baho,stink
fee,fee
nagtungo,headed
karl,karl
biyaya,grace
pagmamaneho,driving
allies,allies
francisco,francisco
lumilipas,transient
bangdu,bangdu
patents,patents
cruise,cruise
item,items
magpasalamat,thank
nr,nr
nagiinspection,nagiinspection
sasagutin,answer
nauunawaan,incomprehensible
investment,investment
booking,booking
ranggo,rank
babagsak,down
ininvest,invested
bawiin,withdraw
nalulungkot,sorry
kinumpiska,confiscated
mail,mail
data,data
palalayain,release
maam,maam
ehhhh,ehhhh
panlimang,fifth
site,sites
ibabaon,buried
japanese,japanese
paulit-ulit,over and over again
pinaniwalaan,accredited
niluto,cooked
class,class
kandila,candle
granada,grenade
mag-ayos,groom
masayang-masaya,very happy
andre,andre
nakabalik,return
hungary,hungary
pakasal,wed
mayweather,mayweather
pinaghirapan,worked
kakatwang,weird
napakahirap,hard
nagsama,associated
girlfriend,girlfriend
wang,whang
libingan,grave
highway,highway
final,final
neil,neil
ilayo,take away
inisip,thought
kanal,canal
makainom,drunk
dyalekto,dialect
come,come
account,account
math,math
punto,point
sinimulan,started
nagkukunwari,mincing
mangmang,boob
subtitles,English subtitles
ala-ala,memory
but,but
masasayang,cheerful
pipirma,sign
armstrong,armstrong
tagal,duration
mofsen,mofsen
network,network
kamera,camera
aklat,book
colonia,colonia
pagiisip,way of thinking
kabisado,memorized
from,from
want,want
mapayapang,peaceful
baryo,barrio
bwan,bwan
abalang,busy
guguluhin,confound
chismis,rumor
angelo,angelo
iminumungkahi,suggest
adik,addictive
kagwapuhan,kagwapuhan
pokemon,pokemon
napapansin,perceptible
damuhan,lawn
january,january
geography,geography
marquis,marquis
neto,net
sergeant,sergeant
hinto,stop
intindihin,understand
bumisita,visit
times,Helped
jackson,jackson
nilabasan,whom
palad,palm
kasamaang,with the
rhine,rhine
here,here
life,life
been,been
equatorial,equatorial
lupang,land
tatangapin,accepted
kababaihan,woman
monsignor,Monsignor
giyerang,warfare
inggit,envy
hippolyte,hippolyte
baguhan,beginner
pindutin,press
paliwanagan,reasoning
halina,let go
totoy,sonny
anyway,anyway
kagamitang,equipment
pagbuo,development
legal,legally
batay,based
republika,republic
nanirahan,lived
kilalanin,recognize
eve,eve
bayaning,heroes
he,ugh
vive,vive
search,search
bro,bro
read,read
cases,cases
why,why
ability-player,ability-player
as,as
twenty-nine,twenty-nine
at-,and-
seventeen,seventeen
usual,usual
who,who
germs,germs
august,august
nasusulat,written
ows,ows
kala,tortoiseshell
putang,putang
list,list
asap,fume
corazon,corazon
makakarating,lands
gunting,scissors
tuwalya,towel
ipit,nippers
nagnakaw,stolen
kumagami,kumagami
dumadalaw,visit
paul,foul
course,course
minutes,minutes
ten,ten
beerhouse,beerhouse
baterya,battery
wires,wires
gauge,gauge
etong,etong
pindutan,button
payag,willing
uubusin,consume
terminator,terminator
hamon,challenge
lubog,submerged
lokohin,outwit
sidekick,sidekick
paglalaba,washing
siyanga,Indeed
altar,altar
biscuit,biscuits
minalas,minalas
saakin,to me
bunganga,crater
envelope,envelope
customer,customer
kamukha,like
arabia,arabia
opisyal,officials
writer,writer
st.,st.
nagpakamatay,suicide
otosaka,otosaka
sagrada,Sagrada
love,Mahal
inunan,placenta
francs,francs
watch,watch
maryvonne,Maryvonne
maginuman,maginuman
patpat,stick
paki,please
ntp,NTP
ihatid,transmit
taglish,taglish
madam,madam
gun,gun
comment,comment
abot,overtaking
pakisabi,please
aray,ouch
nasasaktan,pained
bala,bullet
sumugod,rush
panganib-,risk-
makapatay,deadly
nagbilang,counted
schwarzenegger,schwarzenegger
football,football
paaralan,school
ginulo,distracted
centimeter,centimeter
gumana,function
engot,engot
posible,possible
remedyo,remedy
hiwalay,apart
ability-wielders,ability-wielders
company,company
tanghal,exhibit
yu,yu
a-ang,to the
bwisit,bwisit
fifty,fifty
nagbibilang,counts
mapapanatili,preserved
mapagmatiyag,vigilant
posibleng,possibly
napakabait,goody-goody
singer,singer
music,music
saaang,saaang
gabayan,guide
konduktor,conductor
kaibagan,kaibagan
makasakay,ride
harangan,block
siyensya,science
masisipin,masisipin
ikaquarantine,ikaquarantine
magbibigay,will
paguusap,conversation
kasalan,wedding
area,area
restricted,restricted
nakakontak,unable
isusunod,isusunod
magpaliwanag,expound
moral,moral
silbing,meaningless
pagiwan,abandonment
expert,expert
mandalay,Mandalay
david,david
humuli,catch
sound,sound
pakasalan,marry
aatake,attacker
mangunguna,lead
magsasabi,tell
cars,cars
nagsamasama,gathered
natulungan,helped
beans,beans
pagpapatakbo,operation
makokontak,contact
konduktor.,conductor.
tita,aunt
pumayat,thin
kinain,eat
quarantine,quarantine
gumala,roam
paliitin,reduce
honeymoon,honeymoon
naglilingkod,servant
magisip,to think
nickname,nickname
fetus,fetus
sleepy.,sleepy.
isinama,integrated
round,round
pake,care
hunghang,foolish
busan.,busan.
bigay,giving
dubey,dubey
pakibigay,please
kukuhanan,capture
hahayaang,allow
scoop,scoop
favor,Please
naquarantine,naquarantine
ipinabalik,sent
presyon,pressure
bus,bus
express,express
pagbagsak,collapse
ceo,ceo
ukol,about
nangyayare,nangyayare
napakatahimik,very quiet
iahat,iahat
matutunan,learn
ipapaalam,informs
hahabulin,chase
makakapasa,makakapasa
points,points
paglulukbay,paglulukbay
hetong,hetong
ikuha,get
makalabas,leak
humihinto,stops
higpitan,tighten
bersiyon,version
damihan,increase
inimbitahan,invited
masligtas,masligtas
air-conditioner,air-conditioner
iabas,Outside
aral,teaching
kararating,just arrived
nailigtas,saved
ipapangalan,named
su-yun,su-yun
yoon,yoon
humahanga,impressed
mag-usap,talk to
naghain,filed
mabibitawan,mabibitawan
nakahiga,lying
pattern,pattern
masiniisip,masiniisip
kabila,despite
nakaharang,obstructing
kaguluhang,conflict
planta,plant
ta-talaga,ta-really
pagdepensa,defense
later,later
try,try
circus,circus
available,available
calling,calling
latigo,whipping
naturuan,taught
ex-wife,ex-wife
magtuturo,instructor
prinactice,prinactice
busan-bound,busan-bound
sabing,said
kapakanan,welfare
umusod,edged herself
mabuksan,open
eighties,eighties
nagpapakakuba,nagpapakakuba
mauunawaan,intelligible
h,h
km,km
eczema,eczema
km,km
sumulpot,mushroom
cm,cm
katangkad,tall
natatawa,laughing
ringtone,ringtones
pasalamat,thankfulness
choice,choice
santa,santa
makadaan,makadaan
masmahihirapan,masmahihirapan
masmarami,more
gintong,gold leaf
masikip,crowded
nagtitinda,selling
nay,more
gainto,gainto
unggoy,monkey
pakitaan,show
nakaaalam,unknown
nakakagat,bite
nakagat,bitten
tumutulong,help
nilagpasan,passing
sexual,sexual
ung,ung
pensyon,pensions
kammo,Kammo
paki-alam,Please know
tableta,pill
magsakripisyo,sacrifice
cauliflower,cauliflower
handang,ready
nakakatanggap,receiving
dadaanan,dadaanan
uljin,Uljin
sinama,excluded
humihingi,asks
pakicheck,pakicheck
nagpapasalamat,thankful
kahinahinalang,suspicious
natakot,scared
tahan,tahan
in-charge,in-charge
lunch,lunch
pagkabalik,return
magayos,magayos
tinubos,redeemed
independence,independence
malaya,free
tanggpin,tanggpin
namimiss,missing
ishashare,ishashare
magshashare,magshashare
paunmanhin,Sorry
humuhuni,humming
magaaral,students
madala,bear
riot,riots
indiscriminate,indiscriminate
naghihingalo,dying
nationwide,nationwide
himig,melody
naka-anesthesia,turned anesthesia
insidente,incident
masmalala,more severe
kumalma,lull
hippocratic,hippocratic
oath,oath
cr,cr
pagaaral,study
matutulad,likened
mukang,mukang
dinidemanda,the majority
practice,practice
isinakay,loaded
nagkakasakitan,nagkakasakitan
nagmakaawa,pleaded
makipagusap,communicate
patient,patient
dysfunctional,dysfunctional
naibaba,lowered
maghiwalay,part
kinausap,negotiated
magusap,talk to
gandang,nice
nagka-emergency,Was emergency
nevermind,nevermind
tutuparin,keep
books,books
itinuloy,continued
desperado,desperate
recital,recital
iregalo,give as a gift
walang-hiyang,shameless
mr.kim,mr.kim
dine-date,dine-date
lumuhod,kneel
tatapusin,finishes
masmabuting,it's better
pinayagan,allowed
panigurado,panigurado
magshare,magshare
mauupuan,seat
kasabay,conjunction
eyes,eyes
fresh,fresh
kyo-shi,kyo-shi
passengers,passengers
departing,departing
central,central
kamuntikan,kamuntikan
kumanta,sing
inaabuso,abused
pagkanta,cantillation
see,see
magpakabusy,magpakabusy
maghihiwalay,separated
bouncer,bouncer
makakalaya,be set free
makikinabang,benefit
mapigilan,hamper
mahinahon,discreet
zombies,zombies
word,word
basehan,basis
ibat,What
pagaksyon,pagaksyon
mabilisang,fly
macontrol,macontrol
ipinatutupad,implemented
magtungo,head
nangangako,promise
property,property
itatayo,build
dako,place
nagririot,nagririot
pondo,fund
naka-off,turned off
masiyahan,please
binarurot,binarurot
jong-gil,Jong-gil
yeosu,yeosu
barurot,barurot
permanenteng,permanent
hihintuan,stops
napagisipan,thought of
gagampanan,perform
full,full
tuhod,knee
sumasakit,hurting
masalalahanin,masalalahanin
panauhing,guest
pandangal,honorary
napakabuting,very good
ministro,minister
pinakamagandang,best
masmatanda,older
sisiguraduhin,ensuring
mommy,mommy
winala,have lost
pwersahan,force
nakararanas,experiencing
rachel,rachel
ilolocked,ilolocked
locked,locked
artists,artists
casualties,casualties
increasing,increasing
massive,massive
literary,literary
sung-kyung,sung-kyung
bayarin,bill
sang-hwa,sang-hwa
knocks,knocks
makipag-inuman,carouse
nagpapatakbo,runs
peak,peak
rick,rick
pagaralin,pagaralin
ray,ray
isinara,shut
tatawa,laugh
pinagsarhan,shut
masimulan,begin
seok-woo,seok-woo
parag,parag
nagaaway-away,fighting each
bumabyahe,commutes
buntis,pregnant
anu-ano,what
aware,aware
film,film
makakalimutan,will forget
kaligtaan,neglect
ipapakain,feed
pasyal,stroll
maglibang,recreate
kagandahan,beauty
science,science
barurutin,barurutin
hihingi,ask
imbentaryo,inventory
general,general
surgery,surgery
saksakan,socket
barya,coin
kaley,kaley
maibibigay,offer
nabibilang,Country
hinahabol,chasing
lady,lady
kasunod,subsequent
tumitingin,Viewers
inuutusan,commanded
mahiwagang,magical
upahan,hired
armado,armed
sori,sori
malalakas,strong
magkagusto,relish
karayom,needle
pinakita,showed
test,test
daanan,passage
uh-oh,uh-oh
mapupuksa,get rid of
lunurin,drown
magkakilala,each other
arabo,Arabic
radar,radar
sasagot,answer
technically,technically
tumatahol,barking
tumutogtog,tumutogtog
sibat,spear
legolas,competitor
manirahan,settle
strippers,strippers
role,role
shows,shows
magtatagumpay,succeed
blog,blog
ipagkakaila,deny
ipagpatuloy,continue
north,north
bi-polar,bi-polar
lonely,lonely
kissed,kissed
we,we
shit,shit
ikinatutuwa,pleased
inilatag,laid
cover,cover
mababang,low
inaasikaso,inaasikaso
labindalawang,twelve
gagalaw,gagalaw
accent,accent
kapa,cape
kandidato,candidate
alahas,jewelry
magahasa,impetuous
nasama,nasama
mabubuksan,opened
supot,bag
papanoorin,watch
mani,peanut
nag-imbita,invited
pantog,bladder
naiihi,naiihi
arkeinston,arkeinston
pagkataastaas,lofty
depende,dependent
tatraydurin,tatraydurin
humarap,present
malubha,serious
carrie,carrie
elven,elven
plastic,plastic
maligaya,happily
katibayan,proof
pambanat,firming
magka-brad,have a brad
kelangang,kelangang
xxx,xxx
namuong,clot
evidence,evidence
kasuhan,joints
i-play,play
nagbabagang,breaking
athelas,athelas
ilalabas,released
daloy,stream
lakasan,strengthen
kadena,chain
naghanda,prepared
uubra,uubra
hinihiling,requirement
muffled,muffled
manunulat,writer
alisan,rid of
karanasan,experience
nag-sex,have sex
wha-oooh,wha-oooh
delta,delta
wop,wop
katumbas,equivalent
umusog,scroll
binayaran,paid
asa,hope
balanseng,balanced
lubusan,thoroughly
tinuturo,teaching
tag-lagas,autumn
mahirapan,labor
napakaguwapong,very handsome
kalayaan,freedom
mag-audition,audition
bye-bye,bye-bye
donasyon,donation
earpieces,earpieces
homeland,homeland
derick,derick
makikiraan,makikiraan
ubusin,consume
kasosyo,partner
pitong,seven
proyekto,project
hatch,hatch
talian,tie
magdudulot,cause
payaso,clown
nayan,nayan
kliyente,client
nakikipaglaro,playing
nakasagupa,nakasagupa
nakakakilabot,nakakakilabot
partner,partner
anymore,anymore
binalaan,warned
rack,rack
da,da
laro,game
awa,pity
masisira,ruined
kakausapin,talk
ubos,low
maaapektuhan,affected
sandatang,weapons
jets,jets
tinamaan,stricken
mamamana,archer
ilaan,reserve
tsinupa,tsinupa
atakihin,attack
kontrolado,controlled
seksing,sexy
spell,spell
hugis,shape
mabubulok,rot
dark,dark
shhhh,shhhh
hilahin,haul
nagsusuot,wear
stalker,stalker
labing,ravine
lasa,taste
nag-iinuman,drinking
academy,academy
anyos,years
makinang,brilliant
sumasagot,respondent
pinalaya,released
wha,wha
gano,Brigitte
longganisa,sausage
laking,sized
binilo,Snowball
nakabantay,guard
naiilang,naiilang
iniipon,saving
alikabok,dust
niyebeng,snow
lilinawin,lilinawin
mag-unat,stretch
kinumbinsi,convinced
magpakilala,denote
pagalit,hostile
nakakaakit,glamor
napaka-guwapo,very handsome
yoga,yoga
pang-alis,incisor
kidlat,lightning
gusali,building
power,power
tore,tower
matutulungan,help
luha,tear
tulak,thrust
resort,resort
pinagmamasdan,watching
princess,princess
program,program
warrior,warrior
harry,harry
o.,or.
sakaling,ever
katangian,characteristic
nagmamakaawa,begging
mainip,bore
holidays,holidays
buwisit,unlucky
boba,stupid
cracking,cracking
seksi,sexy
pinapunta,sent
nervously,nervously
kulog,thunder
kawalan,loss
magsitigil,magsitigil
grab,grab
sticks,sticks
umabot,reach
jr,jr
nations,nations
ibahin,change
damo,grass
kabaliwan,madness
pagbisita,visit
fred,fred
sumbrero,lintel
sue,sue
napakalaki,overwhelming
birth,birth
masusunog,fireproof
umatras,withdrew
dumadami,escalating
balikat,shoulder
nirerespeto,respects
rantso,ranch
squirrel,squirrel
groundbreaking,groundbreaking
pagpapahalaga,appreciation
place,place
pinapakain,feeding
mamimili,consumer
boston,boston
maglalabas,issue
lumalaban,resistant
mamahinga,relax
protektahan,protect
entire,entire
stalling,stalling
pinagmamalaki,proud
nayon,village
alang,consideration
lasunin,poison
billy,billy
koochi,koochi
ipahuli,cause the arrest of
renta,rent
fi,fi
sci,sci
whooping,whooping
sinusumpa,curse
tumuloy,proceed
ungas,idiot
fetch,fetch
pinapatawag,pinapatawag
good-bye,good-bye
naghihiraman,borrowing
blades,blades
maglinis,clean
esgaroth,Esgaroth
gagalitin,anger
labasan,exit
pelikulang,movie
tulay,bridge
mark,mark
city,city
naglilinis,detergent
pumalakat,rant
jail,jail
dramatic,dramatic
hinataw,bopped
napakatanga,stupid
ellen,ellen
nakapikit,closed
paalis,leaving
nagpapanggap,pretends
stick,stick
nakalulugod,pleasing
dinroga,dinroga
hobbit,hobbit
nag-practice,practice
version,version
umaliw,comfy
salbahe,barbaric
pare-pareho,equally
draft,draft
kasintahan,girlfriend
guinea,guinea
silay,they
ikukuha,will get
crystal,crystal
makakahinga,can stand
homicide,homicide
istorya,story
cyanobacteria,cyanobacteria
customers,customers
or,or
pook,place
tuka,beak
prom,prom
kaliskis,scales
pandayan,foundry
bofur,bofur
lapit,nearness
nagyeyelo,freezing
paperwork,paperwork
reps,reps
million,million
blade,blade
alkohol,alcohol
magtago,hide
nagkakasunduan,AGREE
mapoot,hate
mandaragit,predator
instincts,instincts
lalaslasin,lalaslasin
blue,blue
donor,donor
tantanan,leave alone
aksaya,wasting
magkadugtong,linked
magkakatotoo,magkakatotoo
deal,deal
koponan,team
shirt,shirt
dunland,Dunland
mahahaba,long
haay,hehe
panabing,sunblind
psychiatrist,Psychiatrists
pinapakita,shown
lumipas,elapse
aksidente,accident
kapuisa,hood
masanay,train
umusbong,sprout
franklin,franklin
lyrics,lyrics
beachwood,beachwood
ilipat,move
spain,spain
tuyo,dry
bumuo,form
nilinaw,clarified
seven,seven
nagpabago,changed
mapagbigay,generous
gagana,work
halamang,plant
pamilyar,familiar
chuckling,chuckling
binabalaan,warns
tagasunod,follower
oxyheno,oxyheno
pasta,pasta
kumukulo,boiling
bakal,steel
pabulong,whispering
bubukas,opens
like,like
dwarfs,dwarfs
maliligo,bathe
pagkabukas,openness
magtatanong,pump
i-date,to date
umpisa,beginning
nabali,broken
maibalik,return
uusap,conversations
bagaman,though
hook,hook
panonoorin,watch
matututunan,learn
lumitaw,appear
lumason,poison
fili,fili
ingles,English
president,president
masunog,fire
daungan,harbor
nakamasid,watching
greenwood,greenwood
makarinig,hear
i-hold,hold
tuta,puppy
eleksyon,election
english,english
nakagamit,nakagamit
siberia,siberia
keys,keys
yowling,yowling
iligaw,mislead
door,door
isakdal,prosecute
magbayad,pay
perang,money
patawa,parody
kamakailan,recently
pangatlo,third
asinta,setting smth. in place
pulubi,Lazarus
russian,russian
gasolina,gasoline
butter,butter
alamin,find out
maiba,change
pogo,pogo
psst,psst
coral,coral
magagalit,angry
mapapansin,observable
moko,mocha
matulad,resemble
iyo.,you.
week,week
got,got
palikuran,toilet
mayron,there is
internet,internet
magbasa,read
dinga,dinga
naririto,present
pagsasama,inclusion
imbitasyon,invitation
babasaging,glass
malusog,healthy
kanlungan,shelter
lama,lama
ika-,th
pamahalaan,government
naghihirap,poverty-stricken
gampanan,perform
lasinggero,lasinggero
makapal,thick
maibabalik,restored
bubuksan,opened
pinagdaanan,trail
ambisyon,ambition
sha-bop,sha-bop
diretsong,straight
kailaliman,abyss
tub,tub
changitty,changitty
paanan,foot
pagkakaalam,awareness
chi,chi
studio,studio
preston,preston
kuno,kuno
tinapon,exile
models,models
sambahayan,household
yippity,yippity
mararating,approachable
pagbulong-bulong,muttering
desyerto,deserted
wadda,wadda
nako,I
reefs,reefs
bain,bain
stand,stand
tukador,shelf
sagana,plentiful
rebolusyon,revolution
mangingisda,fisherman
sharon,sharon
taste,taste
maleta,suitcase
drag,drag
lumalaganap,spreading
lungkot,loneliness
mandirigma,warrior
luntian,green
tuktok,top
magkakasama,together
tagapasunod,enforcer
storya,story
parehas,similarly
hold,hold
makasarili,selfish
woodlands,woodlands
character,character
snarling,snarling
management,management
windlance,windlance
mina,mine
ugat,root
best,best
news,news
court,court
stone,stone
umakyat,climb
whee,whee
fountain,fountain
stop,stop
dumadagundong,thundering
nickelodeon,Nickelodeon
pakpak,wing
kasya,fit
tagapagligtas,savior
pahintulot,permission
baga,lung
bryce,bryce
iniimbistigahan,investigated
family,family
makakahanap,find
nago-audition,Nago-audition
samahan,organization
agwat,interval
sigawan,shout
interest,interest
matulungin,helpful
squeals,squeals
wanna,wanna
experience,experience
tumila,subside
pasasalamat,thanks
angong,angong
shepard,Shepard
reyna,queen
german,german
galang,courtesy
trying,trying
naghalikan,naghalikan
pinaka-rewarding,most rewarding
damme,Damme
theater,theater
maluwalhating,glorious
beras,beras
mag-relax,relax
bridge,bridge
geyser,geyser
ipawalang-sala,indemnify
kumustang,kumustang
napaka-sexy,very sexy
kadiring,kadiring
mahalay,grossly
pang-anim,sixth
antayin,wait
kargada,freight
dose-dosenang,dozens
sumalangit,sumalangit
sus,gosh
pupulbusin,pupulbusin
curly,curly
how,how
fuji,fuji
panyero,colleague
nagpasakit,feigned
pwedeng-,pwedeng-
atang,and the
unahin,prioritize
nagtataka,wondering
hokage,hokage
pirata,pirate
pinapasuko,pinapasuko
banta,threat
hinubo,hinubo
piece,piece
sombrerong,hat
gumanap,perform
niri-remake,niri remake
makapanilawa,makapanilawa
watched,watched
alemang,German
using,using
mrs.beat.,mrs.beat.
awat,weaned
napagdisisyunan,napagdisisyunan
location,location
cyrus,cyrus
mas-convincing,more convincing
lost,lost
gagandang,gagandang
gaganap,perform
costume,costume
kasunduang,agreement
maginoong,gentleman
mababago,changeable
negrong,negrong
entertainment,entertainment
mag-hanap,to miss
naglakad,walking
arms,arms
bean,bean
shy,shy
tumutungo,lead
classic,classic
muzta,sup
kalendaryong,calendar
kagigising,woke up
miley,miley
mkv,mkv
inalis,removed
jazz,jazz
nagdesisyon,decided
lalantad,reveals itself barefaced
iabot,hand
apakan,footrest
dagdag,extra
dwende,dwende
boise,boise
laughs,laughs
idaho,idaho
magpasawalang,ever
pumunit,break away
ubo,cough
mawalang,excuse
sinugo,sent
self-deluded,self-deluded
maligamgam,lukewarm
lelang,grandmother
saamin,to us
luwagan,ease
butiki,lizard
tin,tin
panangga,shield
sauna,at first
buwaya,crocodile
lock,lock
chupain,chupain
mapanira,blasting
salamin,glass
backstage,backstage
pang-santa,long-santa
owner,owner
kasuutan,costume
sheesh,sheesh
yaounde,yaounde
alemans,alemans
jerky,jerky
cream,cream
jalapeo,jalapeo
pinadapa,bade
ta-translate,ta Translate
jelly,jelly
cathedral,cathedral
gonna-ehersisyo,gonna work