Danish,English
mobil,mobile phone
retning,direction
planlagt,planned
trak,drew
nærmer,approaching
stærkere,stronger
luke,luke
falsk,False
hank,handle
øen,the island
efterlade,leave behind
vågner,wake
vigtige,important
skære,cut
fødder,feet
lange,long
oliver,Oliver
nægter,denies
kors,cross
veninde,friend
normal,normal
bygget,build
fætter,cousin
firmaet,the company
folkens,folks
faldet,decreased
tættere,closer
knæ,knee
stærke,strong
vanvittig,crazy
flok,flock
bevæger,moving
lyde,sounds
lady,lady
hæren,the army
skræmmende,daunting
savne,miss
mexico,mexico
hundrede,hundred
lord,Lord
jerry,jerry
gøres,done
meste,most
lugte,odors
show,show
starten,beginning
lily,lily
kroppen,the body
dobbelt,double
bukserne,pants
smidt,evicted
emma,emma
los,loose
skader,damage
danser,dancing
nået,reached
vundet,won
rapport,report
stinker,stinks
nyder,enjoy
unger,kids
bånd,tape
griner,laughs
besluttet,decided
opfører,behaves
glædelig,merry
ryge,smoke
omgang,lap
planet,planet
team,team
lettere,easier
college,college
big,big
bussen,the bus
toppen,the top
gemt,saved
ordnet,sorted
robin,robin
ramme,frame
kameraet,camera
mordet,murder
lækkert,delicious
stik,plug
prisen,the price
england,England
herren,the Lord
cirka,approximately
majestæt,majesty
rar,pleasant
samarbejde,Cooperation
jøsses,Jeez
hunden,The dog
virkeligheden,reality
ordet,the word
lørdag,Saturday
hat,hat
blomster,flowers
syge,ill
grænsen,the border
phil,phil
pres,pressure
læs,read
flaske,bottle
bukser,pants
larry,larry
hellige,Saints
synger,sings
blodet,blood
smag,taste
signal,signal
tydeligt,clearly
slem,bad
skræmmer,scares
cool,cool
broen,the bridge
fair,fair
mørkt,dark
hvabehar,eh
træd,distinguished
tvivler,doubts
hemmeligt,secretly
ryg,back
kyle,kyle
tabe,lose
bagved,behind
takket,thanks
jackson,jackson
maggie,maggie
jones,jones
vold,violence
bytte,exchange
sand,true
kirke,church
fremmede,strangers
skændes,quarrel
ross,ross
tilfreds,satisfied
forsøgt,tried
leg,play
stranden,the beach
redder,saves
lucy,lucy
frygter,fear
involveret,involved
sind,mind
anelse,suspicion
begyndelsen,the beginning
drak,drank
tanken,idea
dukkede,appeared
spurgt,asked
you,you
behøvede,needed
susan,susan
ledt,guided
tilgiv,forgive
leo,leo
myrdede,murdered
tilgive,forgive
sværd,sword
fortid,ahead of time
stjæler,stealing
eftermiddag,afternoon
sekund,second
eric,eric
inviteret,invited
begik,committed
sovet,slept
alice,alice
aftalen,Agreement
løsning,solution
fucking,fucking
hemmelige,secret
papirer,papers
kaster,throws
nul,zero
broder,brother
klap,flap
tilstand,condition
forvirret,confused
fjende,enemy
rask,healthy
afstand,distance
betjente,cops
hjernen,the brain
kugle,ball
forretninger,businesses
stationen,station
m,m
mørket,the darkness
nedenunder,below
jep,Yup
blind,blind
løn,pay
li,Li
nyde,enjoy
måder,ways
fælles,common
falske,false
sexet,sexy
græder,crying
trussel,threat
førte,resulted
baren,the bar
acceptere,accept
hustru,wife
forklaring,explanation
præsentere,introduce
morgan,morgan
operation,operation
sprog,language
tryk,pressure
forslag,proposals
gætte,guess
året,the year
piller,pills
fingre,fingers
fejre,celebrate
kylling,chicken
frit,free
kong,King
skabte,created
voksede,grew
vegas,vegas
efterlader,leaves
fortiden,currently
fingeraftryk,fingerprint
hårde,tough
spøg,joke
gæld,debt
svær,difficult
klient,client
skørt,skirt
fortjent,earned
afdeling,department
lngen,Nobody
knægten,the kid
kold,cold
mødet,the meeting
behov,need
gad,gad
kilo,kilo
chicago,chicago
mød,meet
kaldt,called
mcgee,McGee
ringen,the ring
tim,tim
lignende,similar
fis,fis
indrømme,admit
patient,patient
foreslår,suggests
bøsse,gay
bekendt,acquaintance
ansvarlig,responsible
fuldt,fully
væggen,the wall
panik,panic
system,system
papir,paper
snakket,talked
handle,Act
næ,occasional
morgenen,the morning
hils,greet
tydeligvis,obviously
besluttede,decided
prinsesse,princess
amerikansk,American
forleden,the other day
vendte,turned
overlevede,survived
opdager,discovers
julie,julie
samler,gathers
elena,elena
howard,howard
c,c
syn,vision
jaloux,jealous
imponerende,impressive
park,park
point,point
tab,loss
lufthavnen,the airport
kæmpede,fought
elsket,loved
dertil,thereto
forbandet,accursed
bygning,building
sande,true
mandag,Monday
spore,track
behold,keep
opdaget,discovered
fløj,flew
skai,skai
lykkedes,succeeded
regnede,rained
banen,course
vii,we you
begravet,buried
clark,clark
håbe,hope
skatter,taxes
kode,code
angår,relates to
forsvare,defend
via,by
annie,annie
forhindre,prevent
fremragende,excellent
brændte,burned
kassen,Treasury
skræmme,scare
gammelt,old
vidner,witnesses
konstant,constant
texas,texas
senator,Sen.
mændene,the men
victor,victor
engel,angel
lande,countries
miles,miles
ensom,lonely
allesammen,all
arme,arms
nord,nerd
nøglerne,the keys
troet,thought
sider,pages
idioter,idiots
temmelig,quite
mærker,brands
svag,weak
sporet,track
uskadt,unharmed
lovet,promised
vare,product
stoppet,stopped
lift,lift
fjenden,the enemy
størrelse,size
davs,Howdy
stjerne,star
whisky,whiskey
heks,witch
bolden,the ball
bragte,brought
hud,skin
fantastiske,amazing
overveje,consider
nyd,enjoy
kage,cake
karen,karen
scenen,the scene
king,king
sygdom,disease
ansatte,employees
latterligt,ridiculous
skjuler,conceals
personlige,personal
folks,people
banker,banks
marshall,marshall
diskutere,discuss
dækker,covers
jeff,jeff
sal,sole
risiko,risk
frk,Ms
kontakter,contacts
farve,Colour
tøjet,the clothes
derover,more
slutter,ends
bomben,bomb
uskyldige,innocent
almindelig,ordinary
tjekket,checked
skjult,hidden
roger,roger
jessica,jessica
begynd,beginning
benene,legs
skaffer,procures
vågnede,woke
weekend,weekend
jesse,jesse
heroppe,up here
vidunderligt,wonderful
data,data
hjørnet,the corner
bragt,brought
vagter,guards
californien,california
gæst,guest
undtagen,except for
køn,sex
kvarter,quarter
enden,end
turen,the trip
porten,port
nettet,online
anede,suspected
tyler,tyler
skynde,hurry
jakke,jacket
værelset,the room
kelly,kelly
maven,stomach
familier,families
bane,Lane
angriber,attack
fangede,caught
frankrig,France
agenter,agents
fjernet,removed
klubben,club
betød,meant
sean,sean
forfra,over again
kompliceret,complicated
underlig,weird
prins,Prince
butikken,the store
kaptajnen,captain
bande,gang
viden,knowledge
weekenden,the weekend
video,video
kortet,card
cole,cole
speciel,special
søndag,Sunday
beskidte,dirty
eksisterer,exists
byde,bid
amok,spree
grader,degrees
afsløre,reveal
ændrede,changed
nøgle,key
ulovligt,illegally
forbudt,prohibited
vover,dare
aaron,aaron
jagt,hunting
flotte,great
alan,alan
udstyr,equipment
amen,amen
herned,down here
beskyttelse,protection
stefan,stefan
abe,monkey
high,high
kunst,art
jay,jay
van,van
pæn,on a
fejltagelse,mistake
eventyr,fairy tale
sprang,jumped
kneppe,fuck
gemte,saved
sms,text message
harvey,harvey
erfaring,experience
begå,commit
fungere,function
invitere,invite
grønne,green
tunge,tongue
rejst,raised
brylluppet,wedding
besat,obsessed
håndtere,deal
græd,cried
herop,up here
kunder,customers
nøgen,naked
guder,gods
bygger,builds
monster,pattern
talent,talent
forbrydelse,crime
skøn,discretion
bid,bite
indså,realized
kontakte,contact
program,program
åbnede,opened
næse,nose
vædde,bet
krav,requirements
sikken,what a
ønsket,desired
støtter,support
radioen,radio
grace,grace
smith,smith
springer,jumps
tilbyde,offer
knust,crushed
ligefrem,exactly
fremme,promotion
løgner,liar
check,check
ur,clock
restaurant,restaurant
detaljer,details
elizabeth,elizabeth
heste,horses
taylor,taylor
livs,life
billederne,pictures
lås,lock
tændt,turned on
rick,rick
spilde,waste
dækket,covered
forstyrrer,disrupts
fremmed,stranger
lejligheden,the apartment
præst,priest
dukke,doll
undersøger,examines
følelse,feeling
babyen,baby
assistent,assistant
plus,plus
skærer,cutting
skræmte,scared
handlede,traded
levede,lived
politik,policy
færdigt,done
regering,government
afslutte,exit
grave,dig
hospital,hospital
hopper,jumps
formål,purpose
næsen,the nose
staten,the state
hadede,hated
nylig,recent
farten,the speed
vogn,wagon
kælderen,basement
gary,gary
vest,west
forandret,changed
ånd,spirit
hilse,greet
tvang,coercion
danske,Danish
fransk,French
skaf,shaft
doc,doc
el,el
forpulede,fucking
st.,st.
kugler,bullets
handel,trade
virkelige,real
beholder,container
folket,the people
urolig,uneasy
ligegyldigt,does not matter
tjekkede,checked
interesse,interest
go,bark
straf,punishment
vant,accustomed
charlotte,charlotte
lider,suffer
laboratoriet,laboratory
myrde,murder
driver,driver
syd,south
køb,purchase
uh,uh
brudt,broken
direktør,Manager
niveau,level
rager,protrude
advarsel,warning
sår,wound
doug,doug
dømt,convicted
cooper,cooper
jacob,jacob
fordel,advantage
gem,save
indblandet,entrained
inviterede,invited
sjove,fun
ø,island
våbnet,weapon
forfærdelig,terrible
retfærdighed,Justice
fugl,bird
brændt,burnt
penny,penny
b,b
pressen,press
ligne,like
begået,committed
vokser,grow
avisen,the newspaper
medlem,member
drukket,drunk
behandler,treat
åbent,open
grunde,reasons
voksne,adults
e,e
derop,up there
phoebe,phoebe
angribe,attack
standse,stop
tyve,thieves
døende,dying
pointen,point
hoppe,jump
fjerner,remove
terry,terry
herligt,lovely
nyhed,news
pizza,pizza
sandhed,truth
mælk,milk
boss,boss
teori,theory
pligt,duty
spild,waste
dagens,today
ar,year
utro,cheat on
bruce,bruce
kunnet,been able
præcist,spot on
maskine,machine
humør,mood
nathan,nathan
heldigvis,fortunately
derud,"In addition,"
frygteligt,terrible
øre,ear
sommer,summer
hannah,hannah
modig,brave
stan,Stan
derned,down there
ladet,charged
takker,thank
slik,candy
chloe,chloe
jenny,jenny
kim,Kim
overvejer,considering
forbundet,connected
april,April
grav,grave
jackie,jackie
sinde,ever
slemme,bad
byens,city
maske,maybe
sejr,victory
hjulpet,helped
fjerde,fourth
ram,ram
karl,karl
tasken,bag
kurs,price
booth,booth
hals,throat
kontrollere,check
musikken,the music
hvorhen,where
tilbyder,provides
typisk,typical
brand,fire
bryster,breasts
vågne,wake
kina,China
publikum,audience
stået,stood
angeles,angeles
borgmester,mayor
såre,hurt
julia,julia
vendt,reversed
gengæld,return
marty,marty
europa,Europe
damon,damon
black,black
patrick,patrick
konen,the wife
teknisk,technical
hemmelig,secret
alvorlig,serious
f,f
vanvid,frenzy
mirakel,miracle
forresten,by the way
linje,line
imens,while
ejendom,property
kasse,box
nærmest,nearest
siges,said
wayne,wayne
kollega,colleague
spilder,wastes
lykkes,successful
træning,work out
håbet,the hope
stiger,increases
frygtelig,terrible
lignede,looked like
linda,linda
skar,cut
parken,the park
flugt,escape
miami,miami
stadigvæk,still
projekt,project
formoder,suspect
bunden,the bottom
byggede,built
service,service
droppe,dropping
begravelse,funeral
junior,junior
tvunget,forced
vognen,trolley
øjeblikket,the moment
nøgler,keys
stukket,stabbed
føltes,felt
begår,commits
parker,parks
svømme,swim
normale,normal
borte,away
grim,ugly
drømmer,Dream
laura,laura
indeni,inside
maskinen,the machine
smage,taste
roy,roy
boet,lived
regnet,calculated
midten,the middle
kilde,source
slutte,end
geni,genius
herud,moreover
svære,hard
udføre,perform
romantisk,romantic
stilling,position
svarede,responded
carlos,carlos
springe,skip
vigtigere,more important
nævne,mention
bevæge,move
drej,turn
radio,radio
test,test
anne,anne
flink,nice
skønne,beautiful
vaske,wash
aflevere,hand in
marcus,marcus
bravo,bravo
anklager,prosecutor
kontanter,cash
vanvittigt,crazy
banke,knock
gaver,gifts
slukke,extinguish
pund,pound
enhed,unit
genkende,recognize
mave,stomach
nemmere,easier
nyhederne,the news
gentager,repeats
blik,look
villig,willing
rydde,clear
josh,josh
skuffet,disappointed
per,per
kopi,copy
nysgerrig,curious
strømmen,the power
hensyn,regards
bløder,bleed
etage,floor
nummeret,number one
udvej,way out
sjældent,rarely
indre,internal
mistænkt,suspected
helen,helen
søstre,sisters
læger,doctors
søge,search
rock,rock
ambulance,ambulance
patienter,patients
forventede,expected
moder,mother
flygtede,fled
glimrende,excellent
udover,Besides
gætter,guesses
skyldes,due
milde,mild
pyt,Never mind
affære,affair
grine,laugh
nr,No.
vidunderlig,wonderful
månen,the moon
skæbnen,The destiny
klæder,clothes
farlige,dangerous
fan,fan
lucas,lucas
ethan,ethan
forsinket,delayed
udenom,around
samtidig,simultaneously
wilson,wilson
west,west
officielt,officially
caroline,caroline
vampyr,vampire
champagne,champagne
midnat,midnight
spøgelse,ghost
nosser,balls
vort,our
bestemme,decide
teknologi,technology
ilden,the fire
nakken,neck
more,amuse
klædt,dressed
dommeren,judge
genkender,recognize
tilbød,offered
advare,warn
evne,ability
forhåbentlig,hopefully
sårede,wounded
dom,judgment
kast,throw
fantasi,fantasy
angela,angela
herregud,Jesus Christ
byder,offers
kræft,cancer
vrøvl,nonsense
håret,hair
kyssede,kissed
baseret,based
brud,rupture
yngre,younger
træffe,take
walker,walker
kastede,threw
top,top
afhænger,depends
mene,think
leonard,leonard
barney,barney
forsvar,defense
vinden,the wind
bekræftet,confirmed
armen,arm
kolde,cold
billetter,tickets
punkt,point
røvhuller,assholes
johnson,johnson
ansat,employee
pinligt,embarrassingly
passende,appropriate
huse,houses
overtage,take over
ron,ron
molly,molly
smerten,the pain
trick,trick
behandling,treatment
forestil,imagined
bundet,bonded
hade,hate
sandsynligvis,probably
gordon,gordon
lincoln,lincoln
please,please
kærligheden,the love
universitetet,the University
sludder,fudge
chokolade,chocolate
brækket,broken
mulige,possible
kontrakt,contract
opførsel,behavior
fingrene,the fingers
ansvaret,responsibility
forberedt,prepared
ofret,victim
forskellen,the difference
joke,joke
finger,finger
tillader,allow
jeremy,jeremy
ungerne,kids
legetøj,toy
tekstet,texted
slutningen,end
beth,beth
on,on
klogt,wisely
sukker,sugar
drømte,dreamed
dronningen,Queen
vælg,choose
jage,hunt
river,river
beskidt,dirty
post,mail
årsag,cause
nævnt,mentioned
jakkesæt,suit
råbe,shout
tyskland,Germany
kedeligt,dull
alarm,alarm
veje,weigh
spion,spy
undskylder,apologizes
steven,steven
fryser,freezer
råber,yells
skønhed,beauty
presse,Press
skibe,ships
løst,solved
skåret,cut
ører,ears
brækkede,broke
hjælpen,help
deltage,take part
tvinge,force
hentede,fetched
guderne,the gods
forlovede,fiancé
båndet,band
forstyrre,disturb
lækre,delicious
butik,Store
benzin,petrol
celle,cell
sønner,sons
ideer,ideas
vagterne,guards
ride,ride
n,n
damen,lady
fysisk,physical
piper,piper
torsdag,Thursday
private,private
ombord,on board
træne,train
sheriffen,sheriff
blande,mix
kunde,customer
giftede,married
kokain,cocaine
chancer,chances
model,model
løgne,lies
halløj,Hello
middagen,dinner
planeten,the planet
quinn,quinn
skab,cabinet
rørt,stirred
vokse,grow
villet,wanted
olivia,olivia
nina,nina
ost,cheese
sorg,grief
skuespiller,actor
efterladt,left behind
showet,show
rende,rendering
hmm,hmm
ankom,arrived
desperat,desperate
irriterende,annoying
russerne,Russians
besøgte,visited
øst,east
dæmon,demon
miller,miller
dyrt,expensive
professionel,professional
magten,the power
narre,fool
kniven,the knife
id,id
tirsdag,Tuesday
andrew,andrew
undersøgt,investigated
grimme,ugly
vække,wake
skabet,closet
højeste,highest
opføre,behave
travis,travis
strøm,power
oversat,translated
motoren,engine
risikere,risk
casey,casey
passede,fit
profil,profile
rørte,touched
dennis,dennis
haven,the garden
generer,bothers
jess,jess
flygter,fleeing
ankommer,arrives
fejler,fails
melder,reports
æren,the honor
planlægger,plan
beskeder,posts
tyv,thief
duer,you are
truede,threatened
fortryde,regret
højst,highest
rykker,dunning
træde,step
fornemmelse,sensation
computeren,the computer
sagtens,easily
bus,bus
beskeden,the message
gifter,marry
ukendt,unknown
boston,boston
sygeplejerske,nurse
imponeret,impressed
danish,danish
rødt,Red
påstår,claiming
gi,g
opgaven,the task
bonnie,Bonnie
opnå,obtain
taknemmelig,grateful
koden,code
våbnene,weapons
tisse,pee
truer,threatens
missionen,mission
sprænge,blow
universet,the universe
behandle,treat
bjørn,bear
uret,the clock
ta,toe
in,in
levet,lived
klub,club
eftersom,since
runde,round
programmet,program
dyb,deep
drage,kite
drive,drive
hukommelse,memory
dav,dav
grøn,green
andres,others
sofaen,couch
tillade,allow
søen,the lake
vindue,window
overbevise,convince
fodbold,football
oplevet,experienced
kurt,kurt
identitet,identity
trukket,withdrawn
vincent,vincent
lejr,camp
bring,generating
breve,letters
lyden,the sound
sværere,harder
udtryk,expression
toby,toby
glor,stare
badeværelset,bathroom
jager,hunting
samvittighed,conscience
pointe,pointe
respekterer,respects
accepterer,accepts
yderst,extremely
siddet,sat
journalist,journalist
indse,realize
tomme,empty
skadet,hurt
donna,donna
julemanden,Santa Claus
muren,the wall
moderne,modern
drinks,drinks
stede,present
florida,florida
røveri,robbery
alvor,earnest
værdsætter,appreciate
norman,norman
hårdere,harder
trappen,the staircase
skrider,progresses
simpelt,simple
modtager,recipient
amanda,amanda
erik,erik
rusland,Russia
dets,its
katie,katie
døre,doors
ført,lead
sommetider,sometimes
tjente,earned
taxa,taxi
green,green
lette,light
greg,greg
melde,sign
harold,harold
simpelthen,simply
mason,mason
offeret,victim
paige,paige
venskab,friendship
basen,base
officer,officer
ikk,'t
edward,edward
omstændigheder,circumstances
handlinger,actions
dømme,judge
berømt,famous
nabo,neighbor
usædvanligt,unusual
adressen,address
times,hour
spring,leap
ik,ik
ekspert,expert
ali,ali
taxi,cab
derek,derek
åbnet,opened
bestille,order
besøger,visiting
manglede,missing
white,white
strålende,brilliant
amerikanere,Americans
ligeglade,indifferent
udsat,exposed
uddannelse,education
skjulte,hidden
scene,scene
fortryder,regret
l.a.,L.A.
school,school
salg,sale
had,hate
afgang,take off
betydning,importance
bevare,preserve
velsigne,bless
forsigtigt,carefully
afgjort,definitely
lykkelige,happy
afrika,Africa
menneskelige,human
briller,glasses
rebecca,rebecca
billet,ticket
træet,the tree
tilsyneladende,apparently
bang,bang
snød,cheated
russiske,Russian
kriminalbetjent,detective
nærmeste,nearest
benet,leg
nancy,nancy
marie,marie
formue,assets
stof,fabric
opgive,abandon
råbte,shouted
tomt,emptied
reaktion,reaction
stolede,trusted
it,IT
alkohol,alcohol
carrie,carrie
fjollet,foolish
jamie,jamie
langs,along
fokusere,focus
dørene,the doors
kaos,chaos
olie,oil
sindssygt,insane
chok,shock
signalet,signal
elendig,miserable
beviserne,evidence
yderligere,further
star,star
knuse,crush
fylder,fill
roman,novel
undersøgelse,examination
arresteret,arrested
løfter,promises
tilgiver,forgives
numre,numbers
lillebror,little brother
indbrud,break-in
kontrollen,control
sikret,secured
franske,French
ligeså,as
føde,food
femte,fifth
spændt,tense
bevæbnet,armed
lejren,camp
kærester,lovers
kommissær,Commissioner
timen,hours
berømte,famous
grad,degree
merlin,merlin
inspektør,inspector
dexter,dexter
tænd,switch on
valget,the choice
kriminelle,criminals
afsløret,revealed
fremskridt,progress
frankie,frankie
overlevende,survivor
forfatter,author
art,nature
løser,solves
sheldon,sheldon
smadrer,smashes
v,v
daisy,daisy
fa,few
oven,top
sædvanlige,usual
forlad,forgiveness
stammer,originates
g,g
goa,goa
snyde,cheat
skær,glow
kujon,coward
informationer,information
frie,free
savnede,missing
gennemgå,review
garanteret,guaranteed
smadret,smashed
befinder,are
dick,dick
mickey,mickey
indsats,effort
overtager,takes over
bønner,beans
godkendt,approved
ricky,ricky
bestilt,ordered
status,status
evighed,eternity
knogler,bones
monica,monica
regn,rain
hitler,hitler
dylan,dylan
advokater,lawyers
todd,todd
øvrigt,Incidentally
kvinderne,women
island,Iceland
fulgt,followed
clay,clay
jomfru,Virgin
militæret,the military
rygter,rumors
hesten,The horse
hullet,the hole
tolv,twelve
amerikaner,American
koste,cost
knibe,pinch
carol,carol
rodet,messy
sammy,sammy
samlede,overall
bauer,bauer
identificere,identify
søgte,sought
dinozzo,DiNozzo
idag,Today
brad,brad
opdage,discover
tingest,thing
ordentlig,proper
skift,shift
grænser,borders
muligheden,opportunity
smiler,smile
advarede,warned
ansigter,faces
fester,celebrations
helikopter,helicopter
dæmoner,demons
højhed,sovereignty
lyttede,listened
stolte,proud
julian,julian
papirerne,papers
fugle,birds
presset,pressures
forblive,remain
stig,ladder
barnebarn,grandson
modsatte,opposite
brown,brown
startet,started
pisse,piss
udnytte,take advantage of
martha,martha
lou,lou
niks,niks
malcolm,malcolm
albert,albert
trin,step
varmen,the heat
øjet,the eye
michelle,michelle
le,scythe
smadre,smash
kameraer,cameras
pastor,pastor
derhenne,over there
grønt,green
flåden,fleet
rigeligt,amply
fornuft,sense
russisk,Russian
fisse,pussy
tales,spoken
skjorte,shirt
generation,generation
borgmesteren,mayor
bemærket,noticed
skændtes,fought
dækning,coverage
uhyre,monster
gården,the farm
tyder,indicates
rettigheder,rights
palmer,palm trees
undskyldt,excused
modstand,resistance
indser,realize
sydney,sydney
ulækkert,disgusting
drømt,dreamed
samfund,community
synder,sinner
august,August
uniform,uniform
shaw,shaw
sandwich,sandwich
forventet,expected
indtryk,impression
narko,drugs
øve,practice
berlin,berlin
mormor,grandmother
bekæmpe,combat
oscar,oscar
lewis,lewis
gerningsstedet,crime scene
milliarder,billions
sure,acidic
låse,lock
tilbringe,spend
loyalitet,loyalty
hit,hit
mia,billion
kostede,cost
anholde,arrest
dejlige,lovely
tysk,German
band,band
katastrofe,disaster
knepper,fucks
myndighederne,the authorities
afsnit,section
rækker,rows
behandlet,treated
nigger,nigger
værdi,value
mærkelig,strange
bekræfte,confirm
konto,account
sne,snow
spencer,spencer
tvinger,forces
beslutninger,decisions
oversættelse,translation
æder,eats
handling,action
snyder,cheats
måden,way
heldigt,lucky
williams,williams
elever,students
megen,much
menneskelig,human
artikel,Article
løjet,lied
faren,danger
træer,trees
hjemmefra,home
shit,shit
elevatoren,elevator
violet,violet
træder,steps
cykel,bike
politimand,police officer
ærgerligt,pity
gruppen,group
drab,kill
omvendt,vise versa
sænk,lower
halve,half
kraftedeme,fuckin
indeholder,contains
klaus,klaus
almindelige,common
operationen,surgery
jordan,jordan
kur,cure
mordere,killers
ann,ann
lån,loan
forbliver,remain
bjergene,the mountains
medlemmer,members
mennesket,man
såsom,like
trænet,Trained
eva,eva
magiske,magic
magisk,magic
pak,pak
bevægelse,movement
teddy,teddy
kuglen,ball
jah,jah
natur,nature
pose,bag
sally,sally
pakker,packages
skriger,screams
sandelig,indeed
sjæle,souls
sprut,booze
skub,push
sigte,aim
forskning,research
svage,weak
ældste,Elder
hvidt,white
francis,francis
følt,felt
væsen,creature
mac,mac
ronnie,ronnie
rider,rides
stolthed,pride
lander,lands
forhandle,negotiate
charmerende,charming
virginia,virginia
pakket,packed
restauranten,the restaurant
whoa,whoa
beundrer,admire
sejle,sail
davis,davis
politisk,political
kaldet,called
pjat,nonsense
hjerter,hearts
favorit,favorite
saml,gather
helte,heroes
tyske,German
ørkenen,desert
hvorfra,from where
jordens,earth
fortabt,lost
højde,height
ondskab,evilness
beskyttet,protected
christian,christian
meldte,reported
stige,increase
rense,clean
løsladt,released
nordpå,north
sindssyge,insanity
bold,ball
rimelig,reasonable
blæser,fan
lavt,low
kysser,kissing
anthony,anthony
bro,bridge
hanna,hanna
risikerer,risk
forræder,traitor
fylde,fill
storm,storm
eksamen,examination
salt,salt
lastbil,lorry
nevø,nephew
joseph,joseph
selve,the
vagten,the guard
my,my
vampyrer,vampires
kinesisk,Chinese
murphy,murphy
barbara,barbara
las,lock
spejlet,the mirror
bider,biting
mistanke,suspicion
bekymrede,worried
risikoen,the risk
kedelig,boring
overvejet,considered
matthew,matthew
farfar,grandfather
slaver,slaves
overbevist,confident
befri,free
be,BE
fattige,poor
male,paint
underlige,weird
fakta,facts
kilden,source
sejler,sailing
