Danish,English
skygge,shade
indflydelse,influence
slukket,turned off
emne,subject
forberede,prepare
alles,everyone
grant,grant
ryk,jerk
tracy,tracy
forbindelsen,compound
menneskeheden,mankind
æde,eat
sygt,sick
tørre,dry
hollywood,hollywood
løft,lift
fang,fang
kolleger,colleges
zoe,zoe
skiftet,changed
fortjente,deserved
kørekort,driver's license
tænde,switch on
fjernsynet,TV
boller,buns
am,am
station,station
connor,connor
rasende,furious
finn,fin
markedet,the market
gale,mad
andel,share
audrey,audrey
samarbejder,collaborations
klogere,wiser
afgøre,decide
forretningen,business
kloge,clever
kriminalassistent,Detective
mulder,mulder
fødselsdagen,birthday
bakke,tray
århundrede,century
udkig,looking
september,September
bolle,bully
tælle,count
pension,pension
trykke,press
bløde,soft
spøgelser,ghosts
detaljerne,details
kommende,coming
fortsat,continue
inviterer,invites
desto,"However,"
naturligt,naturally
rede,prepared
hovedpine,headache
monsieur,monsieur
virkelighed,reality
slave,slave
snarere,rather
skinner,rails
sæk,sack
francisco,francisco
faktum,fact
spare,save
internettet,the Internet
svinet,hog
sange,songs
kriger,warrior
ellen,ellen
mødre,mothers
race,race
nytte,benefit
forandre,change
indrømmer,admit
resultatet,the result
tusindvis,thousands
stjerner,stars
hængt,hanged
studerende,student
samt,as well
alverden,the world
farmand,daddy
bagud,rear
klamt,clammy
foretage,make
steg,roast
røret,the tube
forvente,expect
skrige,scream
seje,cool
naturen,the nature
sommeren,the summer
hyrede,hired
curtis,curtis
bryst,breast
undrer,wonder
foto,photo
kanon,cannon
doktoren,dOCTOR
påvirker,affects
psykopat,psychopath
fødderne,the feet
særlige,special
lektier,homework
tyskerne,Germans
base,base
sport,sport
seth,seth
kram,Hug
forfærdelige,terrible
juli,July
single,single
blander,mixer
opleve,experience
skræmt,frightened
rive,tear
nuværende,present
tjent,earned
brevet,the letter
chauffør,driver
skuffe,disappoint
civile,civilians
grimt,ugly
gymnasiet,high school
huller,holes
virus,virus
svaghed,weakness
enheder,units
lortet,shit
kampe,matches
kunstner,artist
efterforskningen,exploration
byer,cities
lær,learn
central,central
kilder,sources
ca,ca
kreditkort,credit card
rapporten,report
hentet,downloaded
nødig,loath
k,k
offentligt,in public
terapi,therapy
teal,teal
efterforskning,investigation
score,score
idéer,ideas
frivilligt,voluntarily
kidnappet,kidnapped
ryster,is shaking
allen,allen
ejeren,the owner
trykker,push
blød,soft
repræsenterer,represents
smerter,pain
gevær,gun
mitchell,mitchell
kæmpet,fought
tankerne,thoughts
afslører,reveals
nøjagtig,accurate
i.,in.
værk,work
katherine,katherine
irak,Iraqis
isen,ice
mærkelige,weird
personlig,personal
skubbe,push
benny,benny
håndjern,handcuffs
forsvarer,defends
jersey,jersey
aktiv,active
sluppet,released
klovn,clown
brystet,chest
loftet,the ceiling
bomber,bombs
hoveder,heads
stillede,Asked
fort,fort
megan,megan
igang,on it
jennifer,jennifer
sophie,sophie
gris,pig
noah,noah
sol,sun
søns,son
kommandør,commander
forbrydelser,crimes
forvejen,advance
sving,swing
tung,heavy
naboer,neighbors
opfør,behave
boksen,box
vind,wind
dyrke,cultivate
grib,vulture
reagerer,reacts
dropper,drop
levere,deliver
smukkeste,most beautiful
knalde,swipe
raymond,raymond
wendy,wendy
surt,Sour
materiale,material
cm,cm
bland,mix
christine,christine
boy,boy
begrave,bury
nytter,useless
kristus,Christ
brors,brother
eks,example
julen,Christmas
tusinde,thousand
pga.,due.
gammeldags,old-fashioned
elev,student
samling,collection
so,lake
online,online
chandler,chandler
gård,farm
mørk,dark
gaderne,the streets
gu,gu
siddende,seated
brennan,brennan
strisser,cop
forklar,explainable
partnere,partners
me,Me
regning,bill
russell,russell
mus,mouse
nægtede,refused
carson,carson
betty,betty
skred,slithered
uhyggeligt,scary
datters,daughter
tæppe,blanket
retssag,lawsuit
genialt,brilliant
harris,harris
smadrede,smashed
manny,manny
ligene,bodies
stanley,stanley
biblioteket,the library
lake,lake
midler,agents
overrasker,surprises
består,consists
meldt,reported
keder,bored
bay,bay
andens,else
tip,tip
stillet,asked
øverste,top
monroe,monroe
ian,nec
møg,dung
ræk,Reach
forbandelse,curse
jonathan,jonathan
sådanne,such
ankommet,arrived
kasser,boxes
holdes,kept
japan,japan
dansk,Danish
rapporter,reports
klippe,cut
ford,Ford
mitch,mitch
vokset,grown
spar,save
antager,assuming
prøven,sample
p,p
sultne,hungry
afbryde,interrupt
lugt,smell
forandring,change
hill,hill
skilles,separated
garagen,garage
leje,rent
mulig,possible
cam,cam
heroin,heroin
warren,warren
slange,snake
bestilte,ordered
formand,Chairman
afvist,rejected
tøser,girls
lommen,pocket
dale,valleys
vægt,weight
onsdag,Wednesday
peger,points
spark,kick
artie,artie
læber,lips
bøde,lived
craig,craig
nate,nate
bekymring,concern
dyre,expensive
juni,June
margaret,margaret
lance,launched
jøde,Jew
penis,penis
karakter,Grade
angel,angel
kg,kg
sikkerheds,security
ruth,ruth
frugt,fruit
fjolser,fools
pilot,pilot
one,one
truet,threatened
bind,Volume
gentage,repeat
slaget,battle
tilfældigt,random
våd,wet
krone,Crown
klæde,cloth
mellemtiden,Meanwhile
katten,the cat
fjernsyn,TV
personen,the person
yo,yo
kæmp,fight
ko,cow
lager,stock
armene,arms
rimeligt,reasonable
landsbyen,the village
snydt,cheated
måltid,meal
revet,grated
kok,chef
bones,bones
earl,earl
kusine,cousin
greb,grip
ku,ku
formentlig,probably
wyatt,wyatt
nakke,neck
engle,angels
konkurrence,competition
alison,alison
stjernerne,the stars
sund,healthy
laboratorium,laboratory
version,version
privatliv,privacy
helvedes,hell
lane,borrow
skride,take
kenny,kenny
cæsar,Caesar
følgende,following
gus,gus
hjørne,corner
landets,country
lægerne,the doctors
folkene,people
sprænger,blow
spansk,Spanish
udstyret,equipment
røget,smoked
tynd,thin
spildt,wasted
friske,fresh
kigget,looked
svigtede,failed
sparke,kick
hæng,hangings
sue,Sue
kapitel,chapter
overfladen,surface
justin,justin
serier,series
binde,tie up
sans,sense
stark,Stark
hang,hung
evan,evan
faret,farrowed
skider,motherfuckers
tina,tina
udseende,appearance
mystisk,mysterious
kriminel,criminal
tålmodighed,patience
presser,presses
afsluttet,finished
havnen,harbor
pæne,pretty
skulder,shoulder
overfaldet,assaulted
landsby,village
afdelingen,department
pung,purse
tyk,thick
hector,hector
afhængig,dependent
oplevelse,experience
hytte,cabin
ånder,spirits
blinde,blind
e-mail,email
bjerget,mountain
gule,yellow
beskyttede,protected
feste,partying
farver,colors
hal,hall
daggry,dawn
hermed,hereby
nævner,mentions
overraske,surprise
kastet,thrown
just,just
elliot,elliot
zack,zack
kones,wife
little,little
brody,brody
pot,pot
total,total
fræk,naughty
tilfældigvis,coincidentally
stående,standing up
maya,maya
stephen,stephen
præsten,priest
narrøv,narrøv
jill,jill
regningen,the bill
cigaret,cigarette
avis,newspaper
billigt,cheap
amerikanerne,Americans
wells,wells
ofrene,victims
bebrejde,blame
gloria,gloria
fascinerende,fascinating
rotte,rat
måneden,the month
soveværelset,bedroom
oprør,rebellion
udnytter,exploits
afghanistan,afghanistan
koma,coma
canada,Canada
morer,amuses
baggrund,background
udfordring,challenge
enorm,enormous
lauren,lauren
spjældet,damper
røvfuld,ass
påvirke,affect
hviler,rests
fyrer,fire
tårer,Tears
forbindelser,compounds
nødvendige,necessary
samtalen,interview
samfundet,community
skiftede,changed
catherine,catherine
b.,b.
viiie,VIIIe
politiske,political
tara,tara
ulykken,accident
puls,pulse
fyrene,the guys
beslutter,decide
bishop,bishop
vækker,waking
beskrive,describe
pakken,package
hoppede,jumped
louise,louise
bankede,pounded
videoen,video
jenna,jenna
straffe,criminal
tropper,troops
interview,interview
forlanger,demand
shane,shane
reb,rope
ga,go
videnskab,science
undgår,avoid
ethvert,any
himmel,sky
maj,May
oktober,October
hekse,witches
vasker,wash
robot,robot
enestående,unique
kvik,quick
træerne,the trees
udført,performed
enormt,huge
mona,mona
kede,bored
sønnike,sonny
alexander,alexander
motor,engine
laden,barn
antyder,suggests
mindes,remember
walt,walt
forlovet,engaged
katte,cats
nogens,anyone
baseball,baseball
dufter,smells
rådne,rot
fejrer,celebrates
legede,played
leslie,leslie
spanien,Spain
ziva,ziva
skreg,scream
toilet,Toilet
ken,ken
billig,cheap
terrorister,terrorists
fandme,dammit
bund,bottom
forrådte,betrayed
gina,gina
pladser,seats
ædru,sober
skrivebord,desk
afgørende,essential
holly,holly
vænne,turn
faderen,father
truffet,taken
aftensmad,dinner
feber,fever
flag,flag
smile,smile
drager,dragons
komplet,complete
road,road
galning,madman
ærlige,honest
droppede,dropped
dybere,deeper
stolen,the chair
dagbog,diary
cent,cents
hule,cave
omme,helpful
slips,tie
wallace,wallace
thanksgiving,thanksgiving
kager,cakes
koncentrere,concentrate
ulv,wolf
overvåger,monitors
motiv,design
knuste,crushed
ry,reputation
rotter,rats
resultater,results
krise,crisis
kanin,rabbit
grænse,limit
studere,study
fokus,focus
may,may
begravelsen,the funeral
pille,pill
madame,madame
santa,santa
ignorere,ignore
samantha,samantha
modtage,receive
misforståelse,misunderstanding
forstanden,the mind
alfred,alfred
hurtige,fast
forræderi,treason
behøves,needed
jonas,jonas
vinger,wings
sekretær,secretary
klager,complaints
sangen,the song
hot,hot
udviklet,developed
golf,golf
gabriel,gabriel
kanten,the edge
fjernede,removed
forældrene,parents
guvernør,governor
centrum,center
tie,tie
antal,number
flov,embarrassed
rodney,rodney
sky,cloud
anklageren,prosecutor
smarte,smart
indien,India
hytten,hut
trøje,Shirt
ammunition,ammunition
bevidstløs,unconscious
cal,cal
værst,worst
sikkerheden,safety
metal,metal
diego,diego
udgivet,released
lastbilen,truck
korte,driving
tungt,heavy
sprede,spread
nicky,nicky
liz,liz
svigter,fail
fase,phase
kø,queue
kanal,channel
frygtede,feared
foreslå,propose
myrder,murder
leon,leon
suppe,soup
randy,randy
pistoler,guns
vejr,weather
seriøs,serious
alibi,alibi
straffet,punished
forstand,sense
stodder,motherfucker
shh,shh
kriminalitet,criminality
skuespil,play
blake,blake
populær,popular
gar,walks
affald,trash
ballet,ballet
rejsen,the journey
betragtning,consideration
gribe,to catch
eli,eli
fatte,comprehend
apropos,apropos
utrolige,incredible
sæson,season
hvil,rest
områder,areas
skille,discard
militær,military
paranoid,paranoid
ordnede,orderly
udsigt,view
kysten,the coast
forelskede,in love
omgående,immediately
rådet,the advice
besejre,defeat
klienter,clients
eksplosionen,explosion
forbryder,criminal
vietnam,vietnam
trøst,comfort
mobiltelefon,cell phone
anklaget,accused
reparere,repair
sandy,sandy
stormen,the storm
avenue,avenue
neill,neill
advarer,warns
metoder,methods
lokal,local
virussen,the virus
skrig,cry
venligt,friendly
mærket,mark
bli,bli
sværdet,the sword
rory,rory
juice,juice
gader,streets
nætter,nights
blue,blue
gade,Riddle
livets,life
satser,rates
seattle,seattle
hale,tail
vaere,be
thompson,thompson
kongens,king's
trætte,weary
tusinder,thousands
simpel,simple
nem,easy
tørstig,thirsty
vince,vince
maler,painter
ng,ng
humor,humor
almindeligt,generally
bond,peasants
ryddet,cleared
tiger,tiger
owen,owen
flasken,bottle
paradis,paradise
insisterer,insists
brændstof,fuel
fabrikken,factory
filme,filming
terrorist,terrorist
stykket,crunch
syng,sing
brækker,breaks
biografen,the cinema
stuen,the living room
cameron,cameron
bebrejder,blame
døv,deaf
bagi,rear
jagter,chasing
lageret,warehouse
evig,eternal
køleskabet,the refrigerator
krigere,warriors
kræve,require
mikey,mikey
overvågning,monitoring
årsagen,the reason
bestyrelsen,Board of Directors
identificeret,identified
national,national
værelser,rooms
døgnet,day
fingeren,finger
opgaver,tasks
beslutte,decide
djævelen,the devil
betaling,payment
eksplosion,explosion
stirrer,stare
ånde,breathe
slukker,off
hyret,hired
styrker,forces
flygtet,escaped
vækkede,woke
ellie,ellie
døtre,daughters
grå,gray
italien,Italy
svigtet,let down
græs,grass
delte,shared
ment,ment
efterforsker,investigator
smittet,infected
bekræfter,confirms
hyg,mingle
knus,hug
moskva,Moscow
længst,longest
overtale,persuade
ludere,whores
dødt,dead
flad,flat
cigaretter,cigarettes
tilhørte,belonged to
upassende,inappropriate
caleb,caleb
religion,religion
rykke,advance
bøn,prayer
branden,fire
nøgne,naked
brooklyn,brooklyn
kontakten,switch
hundene,dogs
rob,rob
undersøgte,investigated
helbred,health
huden,skin
lovligt,legally
langsom,slow
kent,kent
arv,inheritance
gangs,transition
filer,files
lederen,leader
sær,weird
south,south
periode,period
hestene,horses
opmærksom,attentive
skamme,shame
graven,grave
freddy,freddy
elendige,miserable
finch,finch
optager,recorder
manglende,lacking
motel,motel
følsom,sensitive
hygge,fun
allierede,Allied
teste,test
tilgivelse,forgiveness
gutterne,the guys
ncis,ncis
philip,philip
skilsmisse,divorce
dana,dana
bunke,pile
ridder,knight
skubbede,pushed
støvler,boots
lex,lex
tryg,safe
fædre,fathers
skyldige,guilty
skæg,beard
sparker,kicks
overraskende,surprising
putte,put
samtaler,conversations
hævne,avenge
frakke,Coat
lomme,pocket
sodavand,soda
vejer,weighs
holdning,attitude
tilladt,Allowed
forandrer,change
skammer,chamber
kvalt,strangled
forsigtige,cautious
virksomhed,Corporation
anderson,anderson
bagagerummet,trunk
nøjes,just
november,November
intelligent,intelligent
kraften,power
venlige,friendly
øvelse,exercise
vældig,mighty
porno,porn
djævlen,the devil
kristen,Christian
lur,nap
skrub,roughing
naomi,naomi
benjamin,Benjamin
marken,field
morfar,grandfather
bidt,bitten
d.,d.
modtog,received
ydre,exterior
hatten,hat
klassisk,classic
bell,bell
besvær,trouble
professionelle,professional
vært,host
duke,duke
diane,diane
skæv,offbeat
kørende,running
alarmen,alarm
nelson,nelson
nøje,carefully
fortsatte,went on
lykkeligt,happily
organisation,organization
pga,because
navnene,names
ilt,oxygen
hjerteanfald,heart attack
grand,grand
jax,jax
serie,series
boks,box
lånte,borrowed
arrangere,arrange
cass,cass
sebastian,sebastian
stædig,stubborn
flyvende,flying
melissa,melissa
stone,stone
menneskets,man
diamanter,diamonds
offentlige,public
neil,neil
ideen,idea
skoene,shoes
kontant,cash
kongressen,Congress
hurra,hurray!
tabere,losers
orange,orange
vodka,vodka
computere,computers
vinderen,the winner
riley,riley
midlertidigt,temporarily
skrue,screw
lokke,lure
guy,guy
landede,landed
ekstremt,extremely
djævel,devil
direktøren,Director
scully,scully
dusin,dozen
bortført,kidnapped
pat,pat
north,north
spreder,spreads
trykket,pressure
fox,fox
flyder,floats
rygte,rumor
no,no
ulykkelig,unhappy
bingo,bingo
trusler,threats
tåle,endure
sladrer,gossip
storartet,grand
stress,stress
damerne,the ladies
ryste,shake
graver,digs
frygte,fear
hævet,raised
graham,graham
praktisk,practical
aftryk,imprint
soveværelse,Bedroom
orleans,orleans
overfald,assault
jeps,Yep
hegnet,fence
gidsel,hostage
traf,took
afdøde,deceased
knald,bright
værktøj,tool
brænd,calorific
mobilen,phone
retssagen,trial
negativ,negative
specielle,special
kvalme,nausea
poolen,the pool
afbryder,circuit breaker
hundredvis,hundreds
turde,dare
årets,the year's
genial,brilliant
club,club
skaffede,sourced
mel,flour
ressourcer,resources
bide,bite
huskede,remembered
a.,a.
loyal,loyal
queen,queen
alvorlige,serious
hjul,wheel
modstå,withstand
genere,annoy
logan,logan
dessert,dessert
kuffert,suitcase
strømer,cop
ralph,ralph
willie,willie
rita,rita
kennedy,kennedy
aviserne,newspapers
matematik,mathematics
jøder,Jews
junglen,jungle
em,em
timing,timing
linjen,line
helikopteren,helicopter
blandet,mixed
marked,market
lugten,the smell
køkken,kitchen
trænge,permeate
dømmer,judging
knuser,crush
fans,fans
mystiske,mysterious
fiske,go fishing
fiasko,failure
britiske,British
tilstå,confess
kommunikation,communication
kinesiske,Chinese
plet,spot
kaffen,coffee
genkendte,recognized
omringet,surrounded
ordene,the words
tatovering,tattoo
projektet,project
bilerne,cars
parti,party
medicinen,medicine
posen,the pouch
klage,complaint
stilhed,silence
søg,Search
neal,neal
vinteren,the winter
påvirket,affected
diskret,discreet
ashley,ashley
rydder,Cleaner
tværs,across
offentlig,public
dyrker,grow
nåh,Oh
frygtelige,terrible
judy,judy
kvarteret,neighborhood
homer,homer
regnen,the rain
larm,noise
flipper,flipper
åndssvage,moronic
TRUE,THREATEN
cowboy,cowboy
spyt,saliva
universitet,University
glasset,glass
harrison,harrison
oprevet,upset
slapper,relaxes
beach,beach
rute,route
dato,date
kontrollerer,controls
enorme,enormous
h,H
hiv,HIV
blade,leaves
hurtigst,soon
guvernøren,governor
mars,mars
øjeblikke,moments
mm,mm
bla,Among other things
anfald,attack
moses,moses
aflyst,cancelled
center,center
flydende,liquid
stål,steel
foden,foothills
udvalgte,selected
kammerater,companions
adfærd,behavior
rollen,the role
mangel,lack
bemærkede,noticed
patter,pattern
ægteskabet,marriage
chase,chase
rosie,rosie
bernie,bernie
psykiater,psychiatrist
døgn,Day
hængende,hanging
lloyd,lloyd
kroppe,bodies
hilsen,Regards
dallas,dallas
allison,allison
efternavn,last name
boyd,boyd
opfandt,invented
sigt,term
laurel,laurel
kagen,the cake
heather,heather
dages,day
besvare,answer
phillip,phillip
stød,shock
aktivitet,activity
hastighed,velocity
kommandoen,command
permanent,permanent
skaffet,obtained
krydse,crossing
bevæbnede,armed
interesserer,interests
manhattan,manhattan
chip,chip
møgsvin,bastard
felix,felix
franklin,franklin
ih,I h
indlagt,Hospitalized
keith,keith
aftaler,agreements
aftalt,agreed
bevidsthed,consciousness
tegne,draw
cody,cody
burke,burke
resultat,result
ledere,leaders
generalen,the General
hunter,hunter
udvikle,develop
underviser,teacher
grundigt,thoroughly
hawaii,hawaii
optagelse,recording
begravede,buried
forestiller,imagine
skærmen,the screen
tæve,bitch
halloween,halloween
driller,teases
dansede,danced
janet,janet
afbrudt,interrupted
symbol,symbol
marts,March
genert,shy
harjeg,have I
hive,heave
guldet,gold
ctu,CTU
sjette,Sixth
renset,purified
bur,cage
motorcykel,motorcycle
reese,reese
advaret,warned
knække,break
tragedie,tragedy
overlevet,survived
diana,diana
rulle,roll
tæsk,beating
deltager,participant
besætningen,crew
vask,wash
dokumenter,documents
huh,huh
undertøj,underwear
anklage,charge
arrangeret,arranged
zone,zone
vane,habit
fandtes,found
buddy,buddy
tragisk,tragic
forgæves,in vain
ørerne,the ears
angie,angie
ordren,the order
borgere,citizens
overgiver,surrenders
slottet,castle
planlagde,planned
affyret,fired
hyre,hire
halvdel,half
matcher,matches
kroner,crowns
reed,reed
lawrence,lawrence
rocky,rocky
underskrive,sign
søsters,sister
becky,becky
korporal,corporal
vinter,winter
koncert,concert
chester,chester
således,thus
jean,jean
mur,wall
ruller,rolls
wade,wade
nuttet,cute
sundt,healthy
lev,lev
svømmer,swim
mama,mama
verdenen,the world
mægtige,Grand
spærret,blocked
debbie,debbie
rådgiver,adviser
billige,cheap
hævder,claims
velsignelse,blessing
jobs,jobs
kansas,kansas
harvard,harvard
tænderne,teeth
passet,looked after
kjolen,the dress
gps,gps
sydpå,south
sporer,spores
leverer,supply
ledig,available
lag,layer
flår,fleecing
nicole,nicole
forsyninger,supplies
herrens,Lord's
branche,business
rystet,shaken
syne,sight
seksuelt,sexually
krydser,crossing
gul,yellow
doyle,doyle
usynlig,invisible
egoistisk,selfish
detektiv,detective
interessante,interesting
sonny,sonny
nødsituation,emergency
maleri,painting
house,house
budskab,message
bjerg,mountain
forstærkning,reinforcement
vinkel,angle
udfører,performing
byrde,burden
næh,nay
vidnet,witness
overfaldt,mugged
undervise,teach
moderen,mother
um,um
victoria,victoria
årh,century
anmoder,asks
flåde,fleet
mick,mick
j,j
gennemgår,through
skov,Forest
indefra,from the inside
afleverer,submit
retfærdigt,fair
respektere,respect
liggende,lying
campbell,campbell
gentleman,gentleman
iris,iris
begyndelse,beginning
rygtet,rumor
kultur,culture
hygger,having fun
babyer,babies
kiste,chest
foretager,make
gwen,gwen
lam,lamb
jon,jon
monstre,patterns
addison,addison
kontaktet,contacted
klassen,the class
udvikling,development
substance,substance
barndom,childhood
bestiller,book
pablo,pablo
trevor,trevor
personale,staff
farer,dangers
adams,adams
blåt,blue
interesser,interests
fangerne,prisoners
kneppede,fucked
tallene,figures
udefra,from the outside
forsvundne,missing
ændringer,changes
mode,fashion
nicholas,nicholas
forsikre,assure
mønster,pattern
italiensk,Italian
stresset,stressed out
ægtemand,husband
økonomi,economy
svigte,betray
snakkes,talk
pil,arrow
låser,locks
reggie,reggie
vidunderlige,wonderful
farmor,grandmother
samles,assembly
tilstedeværelse,presence
skulderen,shoulder
spred,spread
cirkus,circus
låste,locked
fattig,poor
flash,flash
prinsen,prince
bær,berry
houston,houston
stemmen,the voice
ryd,clear
bates,bates
psykolog,psychologist
spredt,spread
east,east
turner,turner
hammer,hammer
dragt,suit
foster,fetus
brormand,Bro
tilbudt,offered
forbedre,improve
planter,plants
forsvaret,defense
drev,drive
kontaktede,contacted
overvåget,watched
strategi,strategy
forsikring,insurance
kandidat,candidate
marco,marco
sociale,social
positiv,positive
varsel,notice
sverige,sweden
sandsynligt,likely
atlantis,atlantis
ms.,ms.
bree,bree
erjeg,am I
tålmodig,patient
udslette,wipe out
tank,tank
gyldne,golden
adskillige,several
smør,butter
ansvarlige,responsible
styrtede,crashed
lyse,bright
kontrakten,contract
kane,sleigh
kameraerne,the cameras
væg,wall
underskrevet,signed
røve,rob
troldmand,sorcerer
lettet,eased
sluttede,ended
dreje,turning
samuel,samuel
uventet,unexpected
indviklet,complicated
forbrydere,criminals
claudia,claudia
rester,residues
blæse,blow
lokalet,room
drikkepenge,tip
flå,tear
von,von
kongelige,Royal
rektor,Rector
legende,legend
undvære,do without
bagfra,from behind
air,air
eksploderer,explodes
guitar,guitar
foregik,going
haster,urgent
panden,forehead
jules,jules
dødsfald,death
efterlad,leave
skiderikker,motherfuckers
uretfærdigt,unfair
undergang,downfall
vinduer,windows
skænderi,quarrel
bacon,bacon
tradition,tradition
re,re
tekst,text
bøgerne,the books
vesten,West
journal,journal
omgås,bypassed
afslappet,relaxed
fyrede,fired
forsiden,Home
australien,Australia
knappen,button
eksperiment,experiment
robbie,robbie
kæledyr,Pet
international,international
nation,nation
dermed,thus
ms,ms
x,x
inklusive,including
drukne,drown
beverly,beverly
tosse,simpleton
reklame,advertising
batman,batman
horn,horn
invitation,invitation
kvindelige,female
engelske,English
tykke,thick
bagdøren,back door
udnyttede,utilized
port,gate
lidelse,suffering
dyrene,the animals
bevist,proven
fløjet,flown
juryen,jury
ukendte,unknown
overtaget,taken over
hall,hall
rebet,rope
skiltet,signposted
sære,strange
rev,rev
kid,kid
voldsomt,violently
bailey,bailey
bedes,please
morris,morris
tungen,tongue
overraskelser,surprises
himlens,heaven
zach,zach
kendelse,order
øverst,On top
troen,the faith
aflyse,cancel
skubber,push
posten,mail
forrådt,betrayed
fotos,photos
spøger,haunt
netværk,network
nora,nora
plante,plant
trængte,needed
meddelelse,announcement
teenager,teenager
krævede,demanded
narrede,deceived
sølv,silver
tøsedreng,sissy
kortene,the cards
forfølger,persecute
tand,tooth
fattet,succinct
admiral,admiral
liam,liam
jagten,hunt
ho,hay
kvindes,woman
afslørede,revealed
fyldte,filled
koner,wives
metode,method
slot,castle
ligget,been
harper,harper
donald,donald
bakken,tray
smykker,jewelry
ambassadør,ambassador
erstatte,replace
slettet,deleted
anders,anders
risikabelt,risky
betal,pay
aktier,equities
foreslog,suggested
skak,chess
saul,saul
udsætte,postpone
stu,stu
aktiveret,activated
tæppet,the carpet
dybe,deep
ler,clay
pool,pool
undskyldninger,excuses
delt,partitioned
burt,burt
medicinsk,medical
accent,accent
støv,dust
velsignet,blessed
sjælen,the soul
christopher,christopher
pandekager,pancakes
iige,a straight
voldtaget,raped
imponere,impress
silver,silver
livstid,lifetime