German,English
stellung,position
höhle,cave
schokolade,chocolate
angeboten,offered
befreundet,friendly
weib,woman
ausgerechnet,just
walker,walker
beibringen,teach
nelson,nelson
ex,ex
belohnung,reward
seelen,souls
steine,stones
garage,garage
scheißkerl,motherfucker
gestört,disturbed
cooper,cooper
ruhen,rest
pillen,pills
gepäck,Luggage
carol,carol
norman,norman
zoe,zoe
amerikanischen,American
telefonieren,to phone
heirate,marry
erkenne,recognize
funk,Wireless
grüß,grüß
hurensohn,son of a bitch
mögliche,possible
spring,spring
uni,University
scheinbar,seemingly
fakten,facts
informieren,inform
jugend,youth
feier,celebration
wenigen,few
söhne,sons
benzin,petrol
nix,nothing
vampire,vampire
erkennt,recognizes
sicherer,secure
zigaretten,cigarettes
dummes,silly
mauer,Wall
erneut,again
flügel,wing
schluck,sip
hierbleiben,stay here
abschluss,graduation
christus,Christ
bezahle,pay
böses,bad
dummkopf,fool
gerüchte,rumors
eingestellt,adjusted
m.,m.
weitergehen,go on
technik,technology
ali,ali
bezweifle,doubt
piper,piper
over,over
gekostet,tasted
anzeige,display
wohnst,live
hans,Hans
ergebnis,Result
bedingungen,conditions
brad,brad
aufzuhalten,stop
versprich,promise
verdiene,deserve
geschnappt,caught
francis,francis
eile,Hurry
innen,Inside
italien,Italy
einig,Some
verhandeln,negotiate
weswegen,why
nützlich,useful
inneren,inner
gentleman,gentleman
felix,felix
vergesse,forget
dunkle,dark
warnung,warning
gemeinde,local community
diamanten,diamonds
wächst,grows
gewöhnlich,usually
seil,rope
bär,bear
euro,Euro
großartige,great
beth,beth
ware,would
traurige,sad
persönliche,personal
figur,figure
time,time
roboter,robot
anschauen,look at
kürzlich,recently
material,material
paula,paula
käme,would
stellst,ask
bereitet,prepares
einfallen,come to mind
käfig,Cage
fantasie,fantasy
brach,broke
satz,sentence
kommissar,commissioner
exzellenz,excellency
schuldest,owe
nass,wet
rächen,revenge
womöglich,possibly
begrüßen,welcome
lou,lou
davis,davis
überraschen,to surprise
menschlichen,human
repariert,repaired
führung,guide
gestanden,been
jacob,jacob
schütze,Sagittarius
störe,bother
nina,nina
filmen,film
jobs,jobs
maschinen,machinery
unterlagen,documents
palast,palace
graben,dig
kette,Chain
auftauchen,Pop up
interessante,interesting
wovor,before what
springt,jumps
terroristen,terrorists
stan,stan
bekämpfen,fight
lärm,noise
flehe,implore
aufgewachsen,grew up
arbeiter,worker
größere,more
humor,humor
betrachten,consider
be,be
organisation,organization
widerstand,resistance
bergen,recover
studio,Studio
hausaufgaben,homework
vögeln,fuck
bescheuert,stupid
weggehen,walk away
teller,Plate
original,original
revolution,revolution
hitler,Hitler
mädel,girl
verbinden,connect
nathan,nathan
ermittlungen,investigations
steck,plug
wäsche,Laundry
rätsel,mystery
besonderen,special
hunderte,hundreds
versetzt,added
bibel,Bible
heiliger,holy
reiß,tear
kopie,Copy
besitzen,have
zeitungen,newspapers
zurückgekommen,returned
süßes,sweet
barbara,barbara
ungewöhnlich,unusual
höhe,height
geschaffen,created
beschreiben,describe
ausgesucht,select
notwendig,necessary
dunklen,dark
ignorieren,to ignore
toter,Dead
deck,deck
narr,fool
scheißegal,I do not give a shit
höchstens,at the most
übersehen,overlook
geirrt,wrong
darunter,among them
außen,Outside
einzig,only
stirbst,die
lhren,NOT CONNECT
spielchen,spielchen
girl,girl
fahrrad,bicycle
nutte,hooker
wilde,wild
jordan,Jordan
bequem,comfortable
rauch,smoke
verschiedenen,different
kamst,came
l,l
betty,betty
pool,pool
hubschrauber,helicopter
wüssten,know
erstmal,for now
kollege,colleague
vernichtet,destroyed
gesichter,faces
derselbe,the same
hattet,you had
konto,account
freie,free
casey,casey
haken,hook
munition,ammunition
sünde,sin
militär,military
gefasst,collected
anzeichen,sign
geklappt,folded
hintergrund,background
erwähnen,mention
tipp,tip
reißen,tear
keins,no
genial,ingenious
berichte,reports
kram,junk
schnapp,snap
solle,should
randy,randy
umziehen,move
zunächst,first
keinerlei,no
typisch,typical
bietet,provides
leb,leb
technologie,technology
john-boy,john-boy
ruinieren,ruin
jünger,younger
poirot,poirot
umso,more
starben,died
rette,save
triffst,hit
unhöflich,not polite
safe,safe
anzurufen,call
universität,university
mai,May
heben,to lift
koch,cook
derselben,the same
katastrophe,catastrophe
male,times
olivia,olivia
prüfung,exam
brown,brown
gesetze,laws
meeting,meeting
versicherung,insurance
getragen,carried
ehefrau,wife
mitmachen,participate
tauschen,To deceive
ergebnisse,Results
boston,Boston
reg,reg
einstellen,to adjust
reagieren,react
gefehlt,missing
verwandeln,transform
gedauert,lasted
senden,send
blair,blair
reporter,reporter
abgeben,submit
mm,mm
parker,parker
anhören,listen to
bibliothek,Library
japan,Japan
hinsetzen,sit down
hannah,hannah
serena,serena
motiv,motive
paige,paige
schalten,switch
derek,derek
gewöhnen,accustom
lernte,learned
vereinigten,united
gewicht,Weight
zweiter,second
badezimmer,bathroom
schieben,push
dreimal,3 times
weich,soft
echtes,real
zweitens,Secondly
drachen,dragon
bahnhof,railway station
erschöpft,exhausted
genauer,more accurate
verlange,demand
spanisch,Spanish
verrat,Treason
hexen,witches
live,live
legende,legend
taub,deaf
freu,became
konzert,concert
hopp,hopp
wiederzusehen,see again
doppelt,double
last,load
vergleich,comparison
böser,bad
herzlich,warmly
monica,monica
taschen,bags
genügt,enough
besucher,visitors
spanien,Spain
großzügig,generously
teddy,teddy
hauses,house
leihen,lend
scheiden,divorce
einstellung,attitude
köstlich,delicious
watson,watson
einheiten,units
wichtigen,important
go,go
warne,warning
russland,Russia
angeschossen,shot
sammy,sammy
pierre,pierre
sklaven,slaves
laune,mood
gesamten,overall
stille,silence
asche,ash
geflogen,flown
spion,spy
what,what
aaron,aaron
weihnachtsmann,Santa Claus
hervorragend,outstanding
can,can
verärgert,upset
puppe,Doll
überfall,raid
unwichtig,unimportant
santa,santa
linke,left
übung,exercise
buffy,buffy
franzosen,French people
wehgetan,hurt
schwäche,weakness
couch,couch
cousine,cousin
grant,grant
atme,breathe
irgendeinem,any
unterstützt,supports
oscar,oscar
ausdruck,Expression
pleite,broke
beleidigt,offended
knopf,stud
stop,stop
schlimme,bad
beweist,proves
katie,katie
dramatische,dramatic
heutigen,today
leere,empty
island,Iceland
shane,shane
daisy,daisy
trinkst,drink
heimlich,secretly
eingehen,enter
rad,wheel
greift,attacks
mächtig,powerful
williams,williams
sinnlos,senseless
versaut,dirty
netz,network
atem,breath
anstellen,do
milliarden,billions
flotte,fleet
umgebung,Surroundings
mitbringen,bring
beteiligt,involved
dunkeln,dark
entwickeln,develop
schämen,be ashamed
erwachsene,Adults
zack,pow
durchsuchen,search
hollywood,Hollywood
rollen,roll
vergesst,forget
tricks,tricks
plätze,places
gefangene,prisoner
sünden,sins
sender,Channel
verlass,verlass
räumen,clear
lerne,learn
rettet,save
hinweise,hints
ausreden,excuses
alexander,Alexander
mommy,mommy
diejenige,the one
nächte,nights
herrscht,prevails
bud,bud
jahres,year
dna,dna
romantisch,romantic
flüstert,whispers
drück,suppressive
jeremy,jeremy
bedanken,thank
verabredet,appointment
pilot,pilot
colt,colt
nigger,nigger
reizend,lovely
grade,grade
stanley,stanley
leib,body
stecke,put
scheisse,Shit
ärztin,doctor
vergewaltigt,raped
mußt,must
lieferung,delivery
botschafter,ambassador
studieren,to study
köpfe,heads
duschen,take a shower
kopfschmerzen,a headache
öl,oil
knarre,rattle
sekretärin,secretary
phase,phase
handschellen,handcuffs
lewis,lewis
versehen,Mistake
bande,band
treu,loyal to
positiv,positive
meiste,most
museum,museum
albtraum,nightmare
margaret,margaret
verlobt,engaged
besiegt,defeated
existieren,exist
könne,could
proben,rehearse
beschissen,crappy
gewinne,win
personal,staff
christian,Christian
bewaffnet,armed
fällen,make
wecken,wake up
wirkung,effect
kurt,kurt
connor,connor
rebecca,rebecca
therapie,therapy
travis,travis
amüsieren,amuse
ordentlich,orderly
weglaufen,run away
aufgewacht,woke up
nähern,draw closer
decken,cover
sinne,senses
leutnant,lieutenant
zauberer,wizard
hogan,hogan
bittet,asks
ankunft,Arrivals
klopft,knocking
abstand,distance
bewusstsein,awareness
nation,nation
kontrolliert,controlled
treffer,hit
abnehmen,lose weight
ratten,rats
anwälte,lawyers
tempel,temple
vergiftet,poisoned
kunde,customer
august,August
wunden,sore
unangenehm,unpleasant
ausrüstung,equipment
segen,blessing
präsentiert,presents
schließ,closing
kehle,throat
krone,Crown
garantiert,guaranteed
durchsucht,searched
president,president
tracy,tracy
verfluchte,accursed
bestimmten,certain
clay,clay
ladies,ladies
b.,b.
ladung,charge
beinen,legs
hell,bright
kent,kent
kapitel,chapter
chase,chase
benutze,use
alibi,alibi
ziele,aims
bestie,beast
gus,gus
nirgends,nowhere
wohnzimmer,living room
beute,prey
bau,construction
brennen,burn
lex,lex
durst,thirst
logan,logan
schwarzer,black
schmutzig,dirty
liebhaber,Lover
ersetzen,replace
juli,July
verfahren,process
kirk,kirk
stiefel,Boots
inspector,inspector
allzu,too
camp,camp
dürft,may
orten,locate
hitze,heat
spielzeug,toy
tv,tv
gloria,gloria
wolle,wool
knurrt,growling
meldet,reports
rita,rita
zone,Zone
trocken,dry
lincoln,lincoln
schreibst,write
audrey,audrey
quinn,quinn
probier,try
le,le
kids,kids
unterschrieben,signed
do,do
heulen,howl
entschlossen,determined
paket,package
gefiel,liked
bekamen,got
netten,nice
geheime,secret
jennifer,jennifer
aktiviert,activated
ausweg,way out
hinweg,away
schmuck,Jewellery
ausgang,exit
wunderschöne,beautiful
zurückkommt,returns
ann,ann
illegal,illegal
ferien,vacation
persönlichen,personal
geiseln,chastise
segne,bless
normaler,normal
steuer,tax
aufgepasst,watch out
murphy,murphy
raumschiff,spaceship
dummen,stupid
weißer,white
ausbildung,training
klavier,piano
hauptsache,main thing
admiral,admiral
entgegen,opposite
fasse,summarize
strecke,route
julian,Julian
version,version
hilfreich,helpful
schweren,serious
h,H
jahrelang,for years
leeren,to empty
küste,coast
baron,baron
behörden,authorities
grüße,greetings
geklärt,clarified
bruders,brother
kaufte,bought
stone,stone
puls,Pulse
blue,blue
flur,Hall
denselben,the same
rettung,rescue
widerlich,disgusting
parkplatz,parking spot
katzen,cats
laster,vice
sozusagen,so to speak
mittwoch,Wednesday
unschuldige,innocent
abwarten,wait
grandma,grandma
florida,Florida
re,re
grünen,green
könntet,could
aufnahmen,Recordings
vision,vision
schauspielerin,actress
passe,passe
sing,sing
glückliche,happy
highschool,high school
friedhof,graveyard
irrtum,mistake
klienten,client
nervt,sucks
leidet,suffers
reverend,reverend
trainieren,work out
gegenwart,present
zurückbringen,return
herman,herman
protokoll,protocol
studenten,students
durchaus,absolutely
grausam,horrible
höchste,highest
verwickelt,involved
schmecken,taste
klappen,Valves
apropos,by the way
liz,liz
alfred,alfred
ansonsten,otherwise
wade,calf
missverständnis,misunderstanding
mitglieder,members
motorrad,motorcycle
mickey,mickey
blicken,look
glücklicher,fortunately
hübschen,pretty
dicke,thickness
gewünscht,required
gejagt,hunted
diejenigen,those
diskutieren,to discuss
pinkeln,to pee
huhn,chicken
erheben,raise
paradies,paradise
tagebuch,diary
möglichen,potential
jenseits,beyond
arschlöcher,assholes
apartment,apartment
mason,mason
pfeift,whistles
dieselben,the same
wilden,wild
vergaß,forgot
enttäuschen,disappoint
greg,greg
konsequenzen,consequences
fleck,spot
macgyver,macgyver
führerschein,driver's license
online,on-line
bete,pray
verdächtige,suspicious
enkel,grandson
normalen,normal
stift,pen
interview,interview
süßen,sweeten
riesige,huge
aussicht,view
ned,ned
wiederkommen,come back
werbung,advertising
warf,threw
telefoniert,phone
anblick,sight
einzelnen,each
teppich,carpet
hielten,held
handel,trade
gekannt,known
getrieben,driven
trainer,Trainer
scully,scully
schuh,shoe
bomben,bomb
kämpfer,fighter
victoria,victoria
bedenken,concerns
sitzung,meeting
ken,ken
sicheren,secure
verkaufe,sell
ron,ron
tapfer,brave
experiment,experiment
besorge,get you
tiefe,depth
narren,fool
abgeholt,picked up
abhalten,discourage
bestimmte,certain
laufenden,current
auftaucht,shows up
school,school
löschen,Clear
tara,tare
sebastian,sebastian
mies,bad
sarg,coffin
r,r
vertragen,tolerate
gebissen,bitten
geheimen,secret
drinks,drinks
schlief,fell asleep
tradition,tradition
soeben,just
komische,comic
schultz,schultz
aufgehalten,stopped
fähigkeit,ability
attraktiv,attractive
begriff,term
versichere,assure
schilde,shields
legte,put
mitteilen,tell
sdh,sdh
gemütlich,cozy
muster,template
versprach,promised
überwachen,monitor
eingeschlafen,fell asleep
schlimmsten,worst
verlierst,lose
einzelne,separate
vergib,forgive
vorbeikommen,come round
aua,ouch
brüste,breasts
sandwich,sandwich
gewinner,winner
verständnis,understanding
g,G
raymond,raymond
papst,pope
toast,toast
matthew,matthew
einsteigen,enter
löwen,lions
einsetzen,deploy
gewinn,profit
schüchtern,shy
scheinst,seem
pflanzen,plants
green,green
sheldon,sheldon
christopher,christopher
hätt,hätt
coach,coach
werte,values
modell,model
übernimmt,takes over
walton,walton
heftig,violently
vorfall,incident
motel,motel
teams,teams
irgendeinen,any
müsstest,would have
freier,free
zirkus,circus
ruhm,Fame
zurzeit,for now
ausmachen,turn off
rezept,recipe
töchter,daughters
laute,Lute
akzeptiert,accepted
geschwindigkeit,speed
beliebt,popular
verpflichtet,Committed
betrüger,deceiver
lohnt,worth
märchen,fairy tale
blöder,stupid
becky,becky
wille,will
hügel,hill
königreich,kingdom
dennis,dennis
kehren,sweep
baut,builds
chinesen,chinese
gesichert,secured
michel,michel
ruth,Ruth
block,block
belogen,lied to
malen,to paint
kofferraum,trunk
road,road
bursche,fellow
erin,erin
geständnis,confession
ausgegangen,went out
begreifen,understand
dana,dana
blitz,lightning
löst,triggers
furcht,fear
jersey,jersey
ernstes,serious
verteilt,distributed
bezüglich,in terms of
faszinierend,fascinating
aufmerksam,attentively
aufregung,excitement
wendy,wendy
ethan,ethan
orte,places
entführung,kidnapping
keucht,pants
erhielt,received
treue,loyalty
felsen,rock
malcolm,malcolm
kurzen,short
zorn,anger
taucht,dive
bestimmen,determine
ausgesetzt,exposed
zurückgeben,hand back
verkehr,traffic
bewiesen,demonstrated
generation,generation
liebste,favorite
ausrichten,align
ausnahme,exception
ebene,level
herrlich,gloriously
stürzen,fall
herausforderung,Challenge
gefälligst,kindly
farben,Colours
geliebten,beloved
ankommen,arrive
tempo,tempo
unterbrechen,interrupt
kindes,child
babe,babe
erden,earth
schrecklichen,terrible
falsches,false
täuschen,To deceive
tal,valley
irgendwer,anyone
deins,yours
witwe,widow
sichern,to back up
gerede,talk
betrug,amounted to
trauer,mourning
anwesenheit,presence
bilden,form
gewachsen,grown
ausflug,Excursion
jill,jill
verlaufen,run
rand,edge
kenny,kenny
rechnen,count
aufzug,elevator
befragen,consult
wegnehmen,take away
abschied,farewell
benötigen,need
pst,shush
amt,office
reiche,rich
otto,otto
beginn,beginning
daumen,thumb
bestrafen,punish
clarence,clarence
weine,cry
fremder,foreign
sachte,gently
identifiziert,identified
gestehen,confess
mac,mac
owen,owen
morris,morris
riesig,huge
entscheide,decide
koma,coma
prinzen,prince
bewusstlos,unconscious
county,county
marke,brand
harter,harder
hill,hill
höflich,polite
jude,Jew
setzte,sat
besorg,Please bang
absichtlich,intentionally
vermasselt,screwed up
verschlossen,locked
sowie,such as
gesang,singing
gedreht,turned
ford,ford
religion,religion
ey,ey
unterschrift,signature
rosen,roses
persönliches,personal
queen,queen
fortschritte,progress
eingang,entrance
zugehört,listened
biete,offer
clara,clara
vorhaben,project
kultur,Culture
patientin,patientin
stephen,stephen
explodiert,explodes
nichte,niece
verzichten,dispense
steven,steven
harris,harris
existenz,existence
drehbuch,script
football,football
anzusehen,to watch
ohnmächtig,unconscious
zaun,fence
anthony,anthony
geladen,loaded
guckt,peeps
privat,Private
peg,peg
brauchten,needed
liam,liam
heb,heb
virginia,Virginia
wächter,Guardian
eimer,bucket
blasen,blow
rakete,rocket
salz,salt
unfair,unfair
verzeiht,forgives
esel,ass
krankenschwester,Nurse
symbol,symbol
entscheidet,decides
fahrzeug,vehicle
unterwäsche,underwear
betrachtet,considered
bauern,farmers
engländer,English people
wartete,was waiting
schaust,look
genossen,enjoyed
tropfen,drops
probiert,tried
spock,spock
café,coffee shop
verhungern,to starve
versuchten,tried
mütter,mothers
september,September
aktion,action
bestanden,passed
haaren,moult
louise,louise
schluchzt,sobs
übertrieben,exaggerated
heilmittel,remedy
apparat,apparatus
vorm,front
friedlich,peaceful
richtiges,real
zuschauer,spectator
teenager,teenager
geliefert,delivered
may,may
gestritten,fought
maus,mouse
lediglich,only
charakter,character
riley,riley
krass,awesome
weiterer,Another
group,group
ricky,ricky
diana,Diana
geräusche,Sounds
lichter,lights
starken,strengthen
dexter,dexter
staffel,relay
flaschen,bottles
putzen,brush
einbruch,Burglary
geheilt,healed
beißen,bite
nicole,nicole
stammen,come
wände,walls
befürchte,fear
kostüm,costume
warren,warren
grüßen,to greet
versagen,to fail
übernommen,accepted
hoffte,hoped
verschieben,move
verspätung,delay
whiskey,whiskey
mars,Mars
media,media
entdecken,discover
traue,trust
thron,throne
riesigen,giant
zelt,tent
akzent,accent
truppe,troops
übertragen,transfer
kompliment,compliment
flammen,Flames
erkennst,recognize
erschrecken,scare
gemälde,painting
ari,ari
walt,walt
chip,chip
mannschaft,team
cindy,cindy
loyalität,loyalty
benjamin,Benjamin
dankeschön,Thank you very much
vertreten,represent
verhandlung,negotiation
lernst,learn
brüllt,yells
füllen,to fill
letztendlich,at long last
krise,crisis
verlierer,loser
spencer,spencer
with,with
kekse,Cookies
ausschalten,turn off
penis,penis
profi,professional
whisky,whiskey
erledige,kill
gelächter,laughter
fängst,begin
erklär,explanatory
einspruch,objection
angeln,fishing
rausgehen,go out
monk,monk
kaution,deposit
eures,yours
gesessen,sat
verrate,tell
kehrt,returns
boy,boy
summe,total
lade,drawer
billig,cheap
curtis,curtis
bernard,bernard
juni,June
gerissen,cracked
festgenommen,arrested
ralph,ralph
befohlen,commanded
überlege,think
koordinaten,coordinates
flog,flew
herzinfarkt,Heart attack
hinlegen,lay down
nahrung,food
liege,lounger
geflohen,fled
knall,bang
nebenbei,by the way
mylord,milord
nachbar,Neighbor
küss,kiss
lhrem,lhrem
geleistet,done
nutzt,uses
fröhliche,happy
nebel,fog
front,front
veränderung,change
affe,monkey
kontaktieren,to contact
brand,fire
fuhren,to lead
zwischenzeit,interim
eingesetzt,used
anton,anton
philip,philip
megan,megan
schlimmeres,worse
rennt,runs
anlegen,invest
nachzudenken,thinking
schwör,swear
übliche,usual
kreatur,creature
verderben,spoil
medizinische,medical
besetzt,occupied
zugriff,access
kanal,channel
blutdruck,blood pressure
grüne,green
ausgeben,output
papi,daddy
clown,clown
lhrer,lhrer
sonny,sonny
schwören,swear
hühnchen,chicken
arten,species
aufgebaut,built up
sydney,sydney
betrügen,cheat
steele,steele
trank,drank
glatt,smooth
trainiert,trained
indien,India
autor,author
geweint,cried
blume,flower
verletzungen,violations
special,special
zwillinge,Twins
mia,mia
reißt,rips
zeigst,show
stirb,die
justin,justin
diane,diane
gefickt,fucked
schlägst,beat
moskau,Moscow
erwartest,expect
gestoßen,pushed
durchgehen,go through
praxis,practice
gründlich,thoroughly
benny,benny
eingeschlossen,locked in
tragödie,tragedy
vollständig,Completely
psychiater,psychiatrist
rasse,race
lance,lance
vertraust,trust
kummer,sorrow
eigener,own
christine,christine
partei,Political party
zentrum,center
testament,testament
entfernung,distance
private,private
welten,worlds
verlegen,embarrassed
heroin,heroin
erfuhr,learned
gelände,terrain
kutsche,coach
dummer,dumber
homer,homer
stabil,stable
ausgeschlossen,locked out
out,out
draus,out of it
aufgehoben,canceled
single,single
regisseur,Director
vielmals,very much
dylan,dylan
bestand,duration
k,k
erbe,heritage
weggelaufen,Run away
jim-bob,jim-bob
noah,Noah
leichte,light
zuständig,responsible
losgehen,start
long,long
hustet,coughs
brutal,brutally
besprochen,discussed
halbes,half
bargeld,Cash
peggy,peggy
action,action
zusammenarbeiten,work together
beunruhigt,worried
achte,eighth
innere,inner
kanone,cannon
eklig,disgusting
x,x
armes,low
avenue,avenue
öffentlich,public
nützt,benefits
marine,marine
brillant,brilliant
köder,bait
gespräche,conversations
nähert,approaches
vorgehen,Action
kleinigkeit,small thing
kissen,pillow
manny,manny
geisel,hostage
gerecht,just
trost,consolation
gehasst,hated
a.,a.
gesorgt,provided
archer,archer
spinner,crackhead
vergebung,forgiveness
vieh,cattle
schnelle,fast
normales,normal
gefesselt,bound
lautes,loud
kalte,cold
leitet,passes
angehen,approach
ekelhaft,disgusting
salat,salad
schicht,layer
intelligent,intelligent
meg,meg
verhältnis,relationship
socken,socks
brieftasche,wallet
holly,holly
packt,grabs
eventuell,perhaps
nirgendwohin,nowhere
methode,method
gelangen,reach
gespannt,curious; excited
vernunft,reason
zurückgehen,return
regnet,raining
drama,drama
entspannt,relaxed
wörter,words
klingeln,ring
ruhige,quiet
sprung,Leap
anständig,decent
gangster,gangster
harten,tough
aufzeichnungen,records
ofen,oven
cowboy,cowboy
endgültig,finally
aufgaben,tasks
ruh,ruh
deutsch,German
neil,neil
wodka,vodka
know,know
air,air
respektieren,respect
riskant,risky
lohn,wage
zuviel,too much
zustimmen,agree
schnaps,schnapps
troy,troy
stufe,step
erleichtert,facilitated
scheune,barn
vanessa,vanessa
klink,klink
spaziergang,walk
katherine,katherine
zettel,note
kotzen,puke
blödmann,dumbass
hurra,Hooray
lana,lana
symptome,symptoms
vorfahren,ancestors
nutzlos,useless
shaw,shaw
telefonnummer,phone number
nochmals,again
grey,gray
medien,media
faul,lazy
dient,is
russell,russell
ereignisse,events
aussuchen,choose
verprügelt,beat
zweites,second
sherlock,sherlock
fabelhaft,fabulous
klinge,blade
leistung,power
beileid,sympathy
castle,castle
durchführen,carry out
mitchell,mitchell
eröffnen,open
unschuld,innocence
seist,seist
stoßen,bump
palmer,palmer
like,Like
genügend,enough
sofa,sofa
gestatten,allow
gekocht,cooked
biest,beast
lydia,Lydia
bräuchte,need
ausgelöst,triggered
väter,fathers
verarscht,verarscht
butter,butter
nachbarschaft,neighborhood
villa,villa
data,data
goldene,golden
schließe,clasp
saft,juice
begehen,commit
hauptquartier,headquarters
geschworen,sworn
abgenommen,removed
werkstatt,Workshop
überreden,persuade
nannten,named
gemüse,vegetables
schläger,bat
frisst,eats
bewundere,admire
geschieden,divorced
assistentin,assistant
wettbewerb,competition
lebten,lived
sieger,winner
verfassung,constitution
küsst,kissing
fußball,Soccer
geschnitten,sliced
master,master
quietschen,squeak
füttern,feed
gürtel,belt
unschuldigen,innocent
menschlich,human
eigenartig,peculiarly
oje,oh dear
hanna,hanna
kabel,electric wire
duke,duke
franz,French
zahn,tooth
landet,lands
kisten,crates
liegst,lying
mona,mona
krankenstation,infirmary
leine,rope
beschreibung,description
ausmacht,makes
beschädigt,damaged
grundstück,Property
steckte,put
bahn,train
turm,tower
mine,mine
sauerstoff,oxygen
nö,nope
angesichts,in view of
ll,ll
versager,failure
deinetwegen,because of you
vic,vic
angeklagt,accused
aufhört,ends
baden,to bathe
knacken,crack
verbindungen,links
panzer,tank
marcel,Marcel
bach,creek
leiser,quieter
stimmengewirr,buzz
zerstörung,destruction
stirn,forehead
finn,finn
sanft,gently
kloster,monastery
charmant,charming
aufbauen,build up
thanksgiving,thanksgiving
anlass,occasion
zähle,count
verlieben,falling in love
atmosphäre,the atmosphere
ronnie,ronnie
samantha,samantha
leber,liver
jener,that
begegnen,to encounter
dämlich,stupid
krawatte,tie
juan,Juan
tarnung,camouflage
kanada,Canada
alpha,alpha
baker,baker
tabletten,tablets
faust,fist
auftreten,occur
monroe,monroe
blatt,sheet
gelöscht,deleted
dschungel,jungle
alison,alison
niedlich,cute
c.,c.
klage,legal action
wolltet,wanted
jonas,Jonah
akt,act
schießerei,shoot-out
anwältin,lawyer
überleg,überleg
frisur,hairstyle
spruch,saying
jene,those
moral,moral
angelegenheiten,Affairs
dokumente,Documents
fröhlich,Happy
spezies,species
oktober,October
schachtel,box
opfers,victim
noten,grades
ellie,ellie
irgendwohin,somewhere
nora,nora
brunnen,Fountain
toby,toby
sandy,sandy
lampe,lamp
craig,craig
jagt,hunts
eigentum,property
diebstahl,theft
spenden,donate
betrieb,business
gemeinsame,common
absurd,absurd
gegensatz,contrast
frühling,spring
dünn,thin
ausland,foreign countries
schultern,Shoulders
entwicklung,development
vergehen,elapse
ahnen,suspect
verbessern,improve
herzog,duke
diskussion,discussion
gehalt,salary
lemon,lemon
freak,freak
glocke,Bell jar