Korean,English
용감한,brave
맞은,stricken
돌아왔어,I came back
시작하자,Let's begin
작년에,Last year
묻는,Asked
하거든요,Hageodeunyo
브라보,bravo
글을,Posts
토마스,Thomas
왔다고,Came
바란다,Hope
났어요,Wobbled
시간,time
불가능한,impossible
뇌,brain
넘게,Over
상처가,Wound
그럴게요,Okay
정확하게,Accurately
혼자가,Alone
점은,Points
이사,move
없군요,Airhead
임신,Pregnant
그림을,Picture
속도를,The speed
잔뜩,loads
알았다고,I knew
떠나야,Leave
에드워드,Edward
토니,Tony
하진,Not
준비됐어요,I'm ready
세워,Erected
여름,summer
감독,director
만지지,Touching
저기에,There is a
보여주고,Show
대충,Roughly
경,circa
친구도,Friends
장소를,A place
어떡하지,What do we do
이해하지,I understand
많고,Many
아무거나,anything
조지가,George
신경을,The nerves
악마가,The devil
자랑스러워,Proud of
규칙을,The rules
굴지,Prominence
말인가,Incorporated
저기서,Over there
시체,dead body
임무,mission
하기로,To a
쉬,wee
어쩜,How
누나가,Sister
가야해,Have to go
하든,Whether
배운,Learned
떠나고,Leave
아야,Ouch
감옥,prison
오전,morning
사망,Dead
창문,window
가족과,Family and
보네,BONNET
걱정은,Worry
잡았다,Caught
제리,Jerry
당겨,Pull
맞고,Hit
방식으로,In a way
돌아오면,Come back
리코,Rico
각,bracket
라그나,Ragnar
벗어,Out
데려,Take
줄래요,Would
방법으로,How to
일어나고,Happening
알어,Know
바람이,The wind
갔지,I went
이용해서,Using
들어올,Coming
없다고요,Not calm
안해요,'M not
읽어,read
쓰면,Write
마을을,The town
조금이라도,Even a little
어디든,Everywhere
번에,The times
미안하네,I'm sorry.
건드리지,Touching
대령님,Colonel
언젠간,Someday
알기,Know
구하고,Seeking
해주지,Haejuji
번,time
자긴,Jagin
찾게,Find
데려갈,Bring to go
만나면,Encounters
조사를,Investigations
바래요,Hope
더그,Doug
오줌,urine
없었고,There was no
생각했지,Thought
운,luck
갔는데,I went
지키고,To keep
재판장님,Your Honor.
종종,often
못하겠어요,I'll never
병원으로,To hospital
죽어가고,Dying
했다는,That
고맙지만,No thanks
엔진,engine
거기다,"Plus,"
같진,Unlikely
레지던트,Residents
두지,Leave
언니는,My sister
살면서,To live
각하,dismissal
훌륭해,Excellent
애들한테,My kids
차고,garage
촬영,shooting
스트레스,stress
여기에서,From here
의사를,The doctor
내는,smoking
지는,losing
바람을,Wind
어느날,One day
알지도,Not even know
블랙,black
않았나,Did
지키는,Keeping
시신을,The body
애초에,First place
있을게,I have
연방,commonwealth
그분은,He is
고통,pain
하시죠,Hasijyo
걸렸어,Busted
비밀로,Secret
결혼한,Married
들어와서,Come in
당한,Who
나라를,Country
그런건,Such thing
지내고,To stay
어딘지,Brea
즐겁게,with joy
연구,Research
허나,But
뜻인지,Means
줄게요,I'll
솔직하게,honestly
나리,Lily
아닌데요,'S not
서류,document
가슴이,The chest
안했어요,I do not
작전을,Operations
것이고,Will
대가를,The price
일본,Japan
온갖,All
장난해,Are you kidding me
현장에서,In the field
영상을,Video
말씀이,The word
왔나,Watna
시스템,system
대부분은,Most
데릭이,Derek
하고요,Wo
아이스크림,Ice cream
원했던,Wanted
엄마야,Mother
엉덩이를,The ass
버스,Bus
돌아가야,Get back
부탁해요,please
혈압이,Blood pressure
묻지,Ask
핸드폰,cell phone
모르게,Unknowingly
멍청아,Asshole.
준비하고,Prepare and
유카와,Yucca
처리할,To handle
정말이에요,Really
뜻이지,You mean
비싼,expensive
잃게,To lose
허,Huh
올거야,Coming
잡는,grasped
벽,wall
부탁해,please
눈은,Snow
배고파,I'm hungry
주로,mainly
저것,that
놔두고,Leave
남자들은,The men
구멍을,The hole
했나요,Has
일만,Days
힘들,Tiring
돈으로,The money
우연히,by chance
시스템을,The system
대위님,Captain
애기,Baby
가져왔어요,I brought
않는다는,Do
없었는데,Eopeotneunde
총이,The total
너희를,You
말했듯이,Like I said
네이단,Nathan
자식아,Asshole
무,radish
조엘,Joel
받으면,When
사실대로,Barely
않습니까,Is
뜨거운,hot
멋지네요,awesome
같고,Like
오버,over
상황에서,In situations
편히,Relax
말해도,To say
좋겠네,Be great
때문이다,Because
파트너,partner
존재하지,It does not exist
감시,watch
공,zero
돕는,Help
것이오,To five
클리어,clear
위,top
누구시죠,Who are you
앞으로도,The future
올리버,Oliver
홀로,alone
신이시여,Oh God
그래서요,So what
왜그래,What is it
덕에,Thanks
상대가,Opponents
그쵸,Huh
아시겠죠,You know
위험,danger
나라면,I would
인턴,Intern
그럴거야,I will
거였어요,It was going
서둘러요,Hurry
님,sir
병,bottle
점이,Points
치료제를,The cure
시작하면,When you start
누군가의,Someone's
못할거야,You will not
긴급,Emergency
아무나,anyone
자기를,His
리디아,Lydia
정부가,Government
그러니깐,I mean
싱크,Sinks
말이예요,You mean
작업을,The work
아니라고요,As calm
마이,my
기술을,The technology
느끼고,Feeling
출발,Start
언제든지,anytime
나간,Out
들어서,Heard
젠장할,Shit
꽃,Flower
동물,animal
과장님이,The chief
묻고,To ask
짧은,short
가슴에,The chest
도시에,The city
다르지,Different
백,back
죽었다,dead
여자애,Girls
구해,Calculated
무서워요,scary
분,minute
딱히,No apparent
코,nose
제이슨,Jason
볼래,Want
있냐,Can
또다른,Other
드레스,dress
사이,between
하나야,Hanaya
사이가,Between the
남자친구,Boyfriend
부분은,Part
남자와,Man and
않겠지,Angetji
운전,driving
선장님,Skipper
늦은,late
거에,Geoe
밤이,Night
삶에,To life
영원한,forever
좋아서,Good to
갔을,I went
최대,maximum
쪽에,On the side
무섭네,Frightening
바다,Sea
앨런,Alan
졸라,Zola
오후에,Afternoon
애나,Anna
자네와,With you
될거에요,It's going to be
긴장,Nervous
폭풍이,Stormy
마저,Even
연락해,call
가슴을,Breasts
빌어,Wish
나가게,Out
밤은,Night
사건의,Events
주말에,On the weekend
하얀,White
한대,one
시체가,Bodies
참아,Bear
스타크,Stark
암,cancer
론,theory
본적이,Have seen
테스트,Test
아서,Arthur
통,barrel
집도,House
뭐에,About what
약속할게,I'll promise
찍고,Taking
찍어,Take
죽었을,Dead
확,OK
나라,country
배울,Learn
위해선,Make
많아서,Many
시애틀,Seattle
너에,On you
윌리엄,William
어떨까요,What
해줄게,I give
영광입니다,It is an honour
공연,show
자체가,Itself
자신,Myself
하나씩,singly
상태를,The state
장군님,Sir.
읽을,Read
꺼내,Out
옆에서,In the next
흑인,black
사람이라고,Who called
총은,The total is
현장에,On the scene
잡아요,Take
다녀,Go
근처,near by
빛을,Light
테니까요,'Ll
꼴을,Forages
나오고,Out
해군,Navy
종양이,Tumor
이것을,this
따윈,Me
모르니까,Do not know
방이,The room
길로,Way
않았는데,I did
바보야,Idiot
발견한,Found
나오지,Come out
일,Work
메이,may
괴물,monster
하더군,Hadeogun
했소,Served
말할게,To tell
번호,number
마을에,The town
베일리가,Bailey
온다고,Coming
됐다고,Dwaetdago
넷,four
기다려야,To wait
집어,Up
강하게,strongly
당신들을,You guys
잘했어요,Well done
했다면,If you
그렇다,Yes
알아낼,Find out
그놈,GNOME
여자친구,Girlfriend
지낼,Stay
주인이,Owner
그렇소,exactly
완벽해,Perfect
않았다고,Did
존재를,The presence
모두의,All
작업,work
그레이스,Grace
주요,main
걔를,For him
늦어서,late
날을,Day
자기는,Self
그녀도,She also
있었다는,It was
천만에요,You're welcome
조심하세요,Look out
사라져,Live
케프너,You Kef
죽였다고,Killing
아무한테도,Anyone
레이첼,Rachel
막아,Save
의료,Medical treatment
마시오,Do not
현명한,wise
이유야,Why
내려와,Down
없음,none
잊을,Unforgettable
하려면,To
한동안,for a while
닫아,Closes
스캇,Scott
공식적으로,officially
여기를,Here
걱정이,Worry
그러네,You're right
무고한,Innocent
발견,discovery
할거에요,I'm going
노는,Playing
뚫고,Through
빅터,Victor
끝내주는,Rockin
나하고,Me and
그랬던,Did
봤잖아,You saw
내릴,Make
다물어,Shut up
없거든요,I can not
같지만,The same
나한테서,From me
나가지,Leaving
대단히,very
느낌,feeling
병이,Ill
양반,Man
수술실로,To the operating room
만났을,MET
낯선,unfamiliar
않을까요,Would
울지,Cry
싫으면,Do not like
경고,warning
탐정,Detective
사진이,Photos
이라는,Named
괜찮아질,It's okay to be
사악한,evil
그야,Geuya
·,·
보렴,Look
믿어야,Trust
애한테,For him.
사이의,Between
않거든,I do not
기사,Article
병원을,Hospitals
사소한,Minor
마침,Finish
어쨋든,anyways
여기도,Here too
안젤라,Angela
저녁을,Evening
왼쪽으로,to the left
위치,location
당장은,"Right now,"
겠어요,Would
노력,effort
바지,Pants
멋지다,cool
아닙니까,Not
요원이,Agents
세계에서,in the world
중인,Online
다니엘,Daniel
보아하니,Apparently
계셔,Gyesyeo
것이지,Geotyiji
하는건,Gon
임무는,Mission
의식을,Consciousness
빵,bread
수만,Tens of thousands
없어도,Without
정신과,Psychiatry
질문은,The question is
얼마든지,However much
믿기,Unbelievable
들어간,Into
제말은,I mean
말일세,Dir
집중해,Focus.
파리,Paris
어떤가요,How is it
마무리,Wrap-up
놀랄,Surprising
보이게,Look
방향으로,Direction
경기,game
예뻐,Pretty
특별,Special
뭐하러,Why would
테고,Tego
도와줄게,I'll help
말자,Let's
북쪽,North
주변,around
메시지,message
만들어서,Making
좋군,Good to
제작,making
피곤해,I feel tired
말해주세요,Tell me please
발견했어요,I found
밋첼,Mitchell
공을,The ball
쉬는,rest
움직이는,moving
알겠니,Savvy
참을,Bear
간호사,nurse
번,time
한다고요,Be calm
구하러,Rescue
그리고는,And
나아,better
소문이,Rumor
웃고,Laughing
아파트,Apartment
헛소리,gibberish
악마,Devil
살려줘,help me
한게,Thats
배는,The ship
먹자,let's eat
코드,code
하지도,Neither
인생에,To life
겁을,Scare
분,minute
물건이,the thing is
올바른,proper
불구하고,Despite
하신,You
되었다,It was
살았어,Lived
돌아가면,Returning
노,furnace
콜,Call
나가고,Out
산소,Oxygen
가는거야,let's go
떨어지고,Falling
땜에,The distressed
뭐래,What did you say
자유롭게,freely
안의,in
던져,Throw
만들었지,Made
냄새를,The smell
등을,My back
아버지도,Father
신호,signal
거기가,There is
제인,Jane
좋겠는데,I hope
쟤는,Jyaeneun
말아,Do not
쇼를,Show
기회는,Opportunities
할래요,Halraeyo
켈리,Kelly
했었죠,Aced
집이야,Is it your house
에이프릴,April
말인가요,Horse Is
천만에,You're welcome
한번만,only once
노력하고,Efforts
비켜요,Get out of the way
때론,Sometimes
가족의,The family
그만하고,Stop and
너희들을,You guys
속이,Deceive
기사를,Articles
조금씩,gradually
꿈이야,Dream's
의견을,Opinions
안하고,Laid
그랬잖아,You said
브루스,Bruce
무사히,safely
쓸데없는,unnecessary
이해합니다,I understand
주위를,Around
해봤어,I have tried
잘못한,Wronged
부디,Please
로빈스,Robbins
해피,happy
숲,forest
렉시,Lexi
잊어버려,Forget it
매기,tying
뭐랄까,Sort of
벗고,off with
그랬으면,If you did
강아지,puppy
말했다,said
먹어요,eat
주실래요,Would you
거군,Geogun
빅,Big
약이,About the
자리가,Spot
흔적이,This trail
판,plate
싸움을,Fight
그럴까,Geureolkka
해야해,Need to
가방을,Bags
우는,Cry
빛이,Light
조용,quiet
떠났어,And left
하며,And
머리는,Head
대단해,amazing
울고,Cry
여러분은,you guys are
죽음이,Death
안드레,Andrew
있잖니,You know
가족들이,Family members
충분하지,Not enough
어디까지,Where to
반응이,This reaction
데서,Deseo
대위,Capt.
역사상,History
시작하는,To start
있다구,It can obtain
테러,terror
느껴져,I feel
땅,land
있지요,Itjiyo
변화를,Change
단단히,firmly
어쩌죠,What if
그리워,Miss
돌아가지,Return
콜롬비아,Columbia
뇌가,The brain
년,year
캣니스,Cat Nice
거리에,on the street
훈련,training
거라도,Anything
있겠네요,Sounds like
도와주고,Help
있겠지만,But
군대가,Army
대통령이,President
베니,Benny
결과는,result
제프,Jeff
입어,Thanks
되겠네,Doegetne
숨기고,Hide
아주머니,old lady
주여,"Sir,"
잡지,magazine
클럽,club
순간에,At the moment
일해,work
직업을,A job
스타일즈,Stiles
맛,flavor
끊어,Cut off
아니고요,No quiet
사용할,Available
분,minute
니네,GALS
되었어,I became
사업,business
깊게,deep
신고,Declaration
굉장한,amazing
내에,Within
자신에게,Himself
우리끼리,Ourselves
피할,Avoided
믿음을,The faith
멋져요,cool
뜻이에요,I'm mean
하나로,One
어떠니,How about
거리,Street
아버님,father
찾았습니다,Found
있음,has exist
지켜보고,Watching
사과,Apple
남았어요,I have left
싫어해,Hate
함부로,thoughtlessly
걸을,Walking
거길,Cock
문은,Statements
말하는데,Telling
시작합니다,Start
듯이,As
않겠어요,I will
만났어요,I met
저희를,Us
주시겠어요,Could
재능이,Talent
이후에,Since the
끝나지,Ends
그러자,OK
나갔어,I went out
버린,Abandoned
일어나요,wake up
회사에,The company
열이,fever
죄다,tighten
이들이,They
결혼식에,The wedding
비행,flight
정도의,About
설명해,Explain
사람이죠,People's
잡았어요,Caught
나치,Nazi
말하게,Tell
변호사가,Lawyer
필요하다,need
게만,Geman
팀은,The team
모르잖아요,You know
포함해서,including
사무실,office
유감이야,I'm sorry
맡은,undertaken
환자에게,Patients
죽음,death
들어가요,Is example
재미있는,funny
걱정하는,Anxious
프랭키,Frankie
살기,To live
경험이,Experience
어딘가,somewhere
자살,Suicide
잘하는,fast
저들을,Them
라이온,lion
리무,Limousin
아시다시피,As you know
이식,transplantation
그런데도,"Nevertheless,"
카드를,The card
란,What
설명,Explanation
평생을,Lifetime
알렌,Allen
여자들,girls
힘내,cheer up
순간이,This moment
가운데,middle
거랑,Haves
없겠죠,Would not
부인을,His wife
사이먼,Simon
옛날에,Long ago
꺼야,Turned off
조사,Research
유감이에요,I'm sorry.
죽여야,Kill
손은,Hand
정지,stop
장군,General
키가,Tall
하늘을,The sky
봐야지,Ll
안좋은,not good
부모가,Parents
있는거죠,Did that
겁에,Terrified
물어봐도,Ask
가지마,do not go
그들도,They also
밑으로,Below
스타,star
오렴,Come
달에,On the moon
거리가,The distance
아름다워,beautiful
살해,killing
싫다,hate
잡으러,Haunt
몰랐네,I did not know
사무실로,The office
얼레,reel
수잔,Susan
마법의,Magic
화나게,Upset
보셨어요,Have you seen
메세지를,The message
가끔씩,sometimes
지금의,Now
증명할,Prove
주의를,Caution
구하려고,To save
누구의,Someone's
인터넷,Internet
이래요,Yiraeyo
죽음에,Death
때려,Beat
놈아,Motherfucker
루이,Louis
영혼이,The soul
필요한데,Need
개는,Dogs
이러한,Such
의미,meaning
피트,feet
받았습니다,received
자네한테,Tell you
들어보세요,Hear
울,fence
인형,doll
리차드,Richard
전에요,Ago.
좋을거야,You better
장기,long time
모르겠군,Sure County
인간을,The human
맞서,Against
다행이네요,That's fortunate
살아서,Alive
궁금한,curious
기회야,Opportunity to be
감당할,Bear
해결,solution
얘기한,Talking
버틸,Hold out
지나면,Over
버렸어,Ditched
방해해서,To disturb
마시는,Drinking
착하지,Good girl
장소,Place
원한,resentment
뉴욕에,New York
지옥에,Hell
걔네,Gyaene
다를,Different
저지른,guilty
나지,Forgot
시작하지,To start
도착할,To arrive
하이,Hi
책이,book
같던데,Sounded
카레프,Karev
저쪽에,Yonder
가방에,In the bag
불법,illegal
그런가요,is that so
에드,Ed.
캐롤,Carol
싶어하는,Wants
비행기가,Airplane
위험이,Risks
학교를,The school
바라,want
가능해,Is it possible
지금이야,Now's
어디죠,Where
올라가서,Go up
자식을,Children
실험,Experiment
실험을,Experiment
추적,Tracking
유전자,gene
치는,striking
기억나요,Remember
호텔에,The hotel
부른,Call
그러지마,do not do that
예쁘다,pretty
미안하구나,I'm sorry.
서로에게,To each other
없었을,Not have been
떠나면,Leave
기다리세요,Wait
무조건,must
왕을,The king
찬,cold
할지도,Might
자길,Fuck
전원,power
안고,Hold
전화할게,I'll call you
이런거,like this
일이나,One or
죽어요,Dies
않는데,It does
언제까지,How long
퀸,queen
흔적을,The trail
따위,et cetera
막고,Blocking
어둠,darkness
바빠,busy
싸우지,Fight
않았던,It was
분을,The minutes
가지는,With
애들도,Kids.
말씀해,Tell
저쪽으로,Thither
파일을,The file
가자구,Let's go
옷이,Clothes
아빠의,Dad's
리코야,Rico must
이래서,This is why
알면서,Knowing
멋진데,Cool
저희도,We also
빼,Out
몰랐는데,I did not know
역,station
제군들,Gentlemen
뉴스,news
정말로요,Really.
사격,shooting
하는데요,I'd like
고기,meat
떠,Leave
틀린,wrong
말하는거야,I'm talking
밴드,band
먹을래,Want to eat
바라지,Wish
이안,Ian
귀,ear
들어본,Heard
인터뷰,interview
잡은,Caught
있기를,To be
들었습니다,I heard
갔었어,I went
기분을,Mood
남아서,behind
커,Kerr
사고로,Accident
도시의,Town
달고,Sweet
짓이,Doing this
해주면,Haejumyeon
누구인지,Who
괜찮다면,If you do not mind
의한,by
씨의,Seed
생각하는지,What you think
비밀이,Secrets
반지,ring
휴대폰,cellphone
당신들의,Of you
선수,player
하겠다고,Would
사람처럼,Like a man
멍청이,dummy
않다는,It does
때때로,sometimes
당신은요,Do you
살아야,To live
아니겠죠,Would not
트럭을,The truck
물러나,Withdraw
그분이,His
가스,gas
가져온,Imported
쪽은,Side
구하는,Save
생각만,Think only
말예요,Bout
이따가,later
모양이야,Shape's
반가웠어요,Nice to
큰일,Big deal
지가,Land
하는거지,Am to
떠났어요,I've gone
도망가,Get away
피자,Pizza
싶었는데,Wanted
여자도,Woman also
걔한테,To her
번호를,The number
모르겠군요,I do not know
이상해요,Weird
휴가,vacation
미셸,Michelle
올라,Up
행동,behavior
여자한테,That girl
두번,twice
되,Being
일입니다,One is
있길,Thay
의원님,Congressman
끝내,Exit
낸시,Nancy
무어,Moore
이메일,e-mail
그러게요,"Iknow, right"
키스를,Kiss
있을겁니다,It will be
무엇이든,Anything
사적인,Private
겪고,Experiencing
책은,The book
사이에서,Between
주신,given
전쟁에서,The war
점,point
그것들을,Them
마약을,Drugs
통신,Communication
무엇입니까,What is
문제도,Problems also
잊어,forget
급한,urgent
말라,Malaga
셔츠,shirt
넘는,Over
풀,pool
진짜요,Really
인사,Greetings
라디오,radio
사촌,cousin
멕시코,Mexico
모건,Morgan
괜찮네,It's okay
이쪽이야,Here's the
여태,Ever
미국에,The United States
놀라게,Surprise
죽이면,Killing
없던,Unprecedented
거겠죠,It would remove
남자들이,Men
규칙,rule
형사,Detective
펄스,pulse
다요,You name
워싱턴,Washington
주변을,Around
근무,work
주실,Give
상을,Award
자네들,You-all
잘했다,Well done
아유,Ayu
가야겠다,I have to go
않으니까,Do not
미사일,missile
년이,Two years
영상,video
현실을,Reality
빨리요,Hurry
포기,Abandonment
중인데,'M
담당,charge
이는,this is
트럭에,The truck
원하는지,Want
이전,Previous
방송,broadcast
화장실에,The toilet
저쪽,there
내버려둬,Leave it alone
사라졌어요,Disappeared
곳이죠,That's where
뇌를,The brain
어리석은,Foolish
없인,Without
부르고,Call
무기가,Weapon
온통,all
표정,expression
보여줄게,I'll show
포드,ford
조금은,any
술에,Drunk
보이죠,Looks
고맙구나,Thanks
없구나,Eopguna
명령,Command
이겼어,Beat
전혀요,Not at all
다친,Injured
두는,Leave
겪은,Suffered
말하려고,To say
다예요,It's
재밌어,fun
웃는,smiling
한마디,one word
작고,Small
옷은,Clothes
못합니다,Do
불렀어,Sang
해보고,Try
확인할,identify
유령,Ghost
발로,expression
싶어서요,Wanted
누구보다,Than anyone
그렇진,Really.
구하기,exoneration
결정할,Decide
날에,On the day
때면,When
늦었어요,late
끝나는,Ends
누구냐,Who
싸워,Fight
지금껏,EVER
변하지,Change
예요,It's
거리에서,in the street
모르는데,Do not know
맡고,Responsible
이혼,divorce
내보내,Exported
자세한,Detailed
유리,Glass
손대지,Touching
싫은,loath
덤벼,Bring it on
악마의,Demonic
분위기,atmosphere
꼴,form
전부야,All Night
조그만,Small
실례,excuse
답이,Answer
끝내고,Exit
생활을,Life
하늘에,The sky
기억하고,Remember
선택할,Choose
얼음,ice
눈치,tact
싶네,I want
이상하지,Not more than
이런걸,Sort of thing
나나,Nana
메러디스가,Meredith is
화난,angry
도착하면,When you arrive
싫지만,Hate
발이,The feet
해주는,That
고대,ancient
클레어가,Claire
배우고,Learn
누구예요,Who are you
있어야지,Iteoyaji
구했어,SAVED
부동산,real estate
오른쪽으로,to the right
블루,blue
돌아가신,Death
못해서,I did not get
고양이가,The cat
멋지네,Swell
됐을,Would have been
적의,enemy
멋지게,ripping
첫째,first
신경도,Nervous
죽었고,Dead
그만큼,that much
군요,I
꿈은,Dreams
기억해요,I remember
말입니까,You mean
무릎을,Knee
올해,this year
사람입니다,Person
고든,Gordon
희망이,Hope
관해서,Regards
오빠는,brother is
요즘은,Nowadays
말았어야,Should not have
때나,Time
남지,Leave
한시간,one hour
일이라고,One called
했었어요,Pulls
캠프,camp
거고요,Still going
죽여라,Kill
이번이,This is
오늘밤에,Tonight
영웅,hero
세계의,World
주제에,On the subject
있는지도,Itneunjido
연기,Acting
병을,The bottle
있었소,It was small
번은,Once
타요,Get in
비행기에,On the plane
뭘로,Whereupon
노래가,The song
살라고,To live
보트,boat
용기를,Courage
나갔어요,I went out
프란시스,Francis
최선의,Best
날은,Day
때로는,sometimes
보통은,normally
트래비스,Travis
일해요,I work
맡을,Take
어울리는,matching
멋지지,Be great
못한다면,If you do
데려온,Brought
확신이,Unsure
아니거든요,No I
살아있어,Stay alive
되었어요,It became
애도,Mourning
잘한다,Well done
죽어도,Die
최소,Ieast
보내줘,Let him go
그딴,Geuttan
이라,Because
시계,clock
같죠,Likes
웃음,laugh
수를,The number
않을겁니다,Will not
꼴이,Enamored
댄스,dance
실수,mistake
위성,satellite
이들을,Them
회사에서,at work
남았습니다,Remained
내려가,Down
소녀,girl
다행이네,I'm glad
방은,The room
대해서도,About
같소,Gatso
종양을,Tumors
더요,One more
댄,Dan
아셨죠,Okay
가야겠어요,I have to go
그놈들이,They '
미쳤다고,Crazy
남자친구가,A boyfriend
일반적인,Normally
준다고,Bestows
짓도,Did also
확률이,Probability
목숨이,Lives
겁이,Terrified
들어왔어,All here
문제지,Questionnaire
아마도요,Maybe.
남는,Memorable
반복한다,Repeat
물론입니다,of course
중이다,Being
다양한,variety
불리는,Called
찾아요,Look
많은데,Lotta
왕은,The king
사람이지,People not
죽음은,Death
방향,direction
내부,inside
진실은,The truth is
나한테는,Or hanteneun
싶었던,Wanted
인마,men and horses
으로,to
약물,drug
누구에게,Who
얼굴은,The face
곳이지,Where not
통화,currency
살려,Alive
낸,Nancy
로라,Laura
알았는데요,I thought I
자비를,For mercy
생각하는데,To think
아니라구요,'M not
알아봐,Find out
데로,As having
직업이,the job is
멜,Mel
에밀리,Emily
맞네,'S right
농담이야,I'm kidding
이유도,Reason
써야,Write
수천,Thousands
그곳에서,There
호,arc
동생은,Brother
증거,evidence
그렇긴,That said
여기다,It's here
지내는,Stay
갇혀,Trapped
집안,house management
요리,Cooking
있을게요,I'll be
손가락을,Finger
다리에,On the bridge
이전에,Before
남자야,Man must
신성한,sacred
있었거든요,I had
죽일거야,Kill
상태는,States
들리나,Can you hear me
총알,bullet
벌어진,Happened
아니네요,I'm not
선생님의,The teacher
있었거든,I had
고통이,The pain
똑똑하고,"Smart,"
들었죠,I heard
동료,colleague
반은,Half of
너보다,You more
싶군요,I want
마셔요,drink
뭘까,What
공원,Park
교회,church
감사,thank
로비,lobby
적당한,Proper
거네요,Geoneyo
보네요,Boneyo
모른다는,It may have
사고를,Accidents
인,sign
슈퍼걸,Supergirl
밀어,Push
국가,country
신부,priest
희생자의,The victim
늑대,A wolf
둔,Dull
모자를,Hat
대학에,University
사탕,candy
위치로,To the position
하워드,Howard
구멍이,The hole
바꾸고,Change
슬슬,Seulseul
조차,Even
갈래요,Do you want to go
전해줘,Tell
좋겠군,Jotgetgun
아닌지,Or not
만나지,To meet
하루를,The day
들어오면,Comes in.
가족에게,Family-friendly
기억할,Remember
목적이,The purpose
죽겠어,Uh wait
신선한,fresh
써서,Writing
했니,Did you
기뻐요,happy
리즈,Reese
부탁합니다,please
들었다,heard
진작,Earlier
망쳤어,Ruined
왔군,Outset
드리겠습니다,I will
인도,India
매니가,Manny
라이언,Ryan
듣게,Hear
기록이,Record
영어,English
걷고,Walking
주님,Lord
자전거,bicycle
패트릭,Patrick
뱀이,The snake
보내지,Sent
기도를,Prayer
종이,paper
카메라를,The camera
관계,relation
잃었어요,I lost
목숨,life
하셨잖아요,You said
잘할,Do well
지나,Through
않다면,If you
마실래,I want a drink
킴,Kim
없었다고,Eopeotdago
친,Parent
않겠지만,Only angetji
안전할,Safe to
당신처럼,Like you
비상,emergency
않겠다고,Refused
가문의,The family
일과,daily lesson
돌아오는,Return
말이요,Horse am
알았으면,If you knew
조용한,quiet
한글자막,Hangul subtitles
과거에,In the past
전화로,By telephone
당연한,natural
미안하다고,Sorry
리무야,Limousin Night
나고,Sheds
과학,Science
보이나,Look
데도,Nowhere
바짝,Stay
한단다,Stumbles
양쪽,both side
있다는걸,There Hou
미래에,The future
넘겨,Over
감사드립니다,Thank you
양은,German silver
바꾸는,alterative
식사를,Meals
점을,Points
봤나,Have
있을거라,It would be
아빠야,Pa.
때에,When
총알을,The bullet
주무세요,Good night
말하지만,Say
차이가,The difference
치료할,Treat
없다구요,'M not
건강한,healthy
사람에,People
거울,mirror
걸리지,Take
왔네요,Watneyo
결정,decision
조언을,Tips
의미를,Meaning
나왔습니다,It came out
루크가,Luke
떨어졌어,Dropped
안해도,Anhaedo
받아들일,Accept accept
아니니,Is not
눌러,Press
여왕,Queen
틀림없어,It must
않았잖아,You did
회의,conference
올림픽,Olympic
뭐라구,Excuse
잃지,Losing
있으라고,Stay
여러분을,You
내린,Down
알았네,All right.
그때는,then
되겠네요,Doegetneyo
웃어,Smile
않았다는,Did
캠이,Cam
대령,colonel
거는,Hanging
옆으로,sideways
걱정마세요,Do not worry
마음의,Hearts
태워,Burned
하는거죠,Haneungeojyo
회사가,Company
영,spirit
외계인,alien
보군,Must be
미래의,The future's
옮겨,It moved
소설,novel
나더러,Want me
엄마에게,His mother